com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
com.yogcloud.nacos:nacos-common;com.yogcloud.nacos;nacos-common
com.yogcloud.nacos:nacos-client;com.yogcloud.nacos;nacos-client
com.yogcloud.nacos:nacos-auth;com.yogcloud.nacos;nacos-auth
com.yogcloud.nacos:nacos-api;com.yogcloud.nacos;nacos-api
com.yogcloud.nacos:nacos-all;com.yogcloud.nacos;nacos-all
com.yogcloud.nacos:nacos-address;com.yogcloud.nacos;nacos-address
org.webjars.npm:pagerjs;org.webjars.npm;pagerjs
com.101zj:open;com.101zj;open
cn.northsun:parent;cn.northsun;parent
com.lancethomps:lava;com.lancethomps;lava
com.lancethomps:lancethomps-build-tools;com.lancethomps;lancethomps-build-tools
com.lancethomps:lancethomps-java-cli;com.lancethomps;lancethomps-java-cli
com.lancethomps:lancethomps-parent;com.lancethomps;lancethomps-parent
io.github.theprez:jcmdutils;io.github.theprez;jcmdutils
com.liferay:com.liferay.petra.salesforce.client;com.liferay;com.liferay.petra.salesforce.client
com.liferay:com.liferay.commerce.salesforce.connector;com.liferay;com.liferay.commerce.salesforce.connector
com.aptopayments.sdk:pci;com.aptopayments.sdk;pci
com.aeontronix.aeon-commons:aeon-commons-spring;com.aeontronix.aeon-commons;aeon-commons-spring
com.aeontronix.aeon-commons:aeon-commons-security;com.aeontronix.aeon-commons;aeon-commons-security
com.aeontronix.aeon-commons:aeon-commons-jsf;com.aeontronix.aeon-commons;aeon-commons-jsf
com.aeontronix.aeon-commons:aeon-commons-http;com.aeontronix.aeon-commons;aeon-commons-http
com.github.auties00:reflection;com.github.auties00;reflection
de.acosix.alfresco.rest.client:de.acosix.alfresco.rest.client;de.acosix.alfresco.rest.client;de.acosix.alfresco.rest.client
io.github.iamthevoid.mediapicker:coroutines;io.github.iamthevoid.mediapicker;coroutines
io.github.iamthevoid.mediapicker:rx3;io.github.iamthevoid.mediapicker;rx3
io.github.iamthevoid.mediapicker:rx2;io.github.iamthevoid.mediapicker;rx2
io.github.iamthevoid.mediapicker:rx1;io.github.iamthevoid.mediapicker;rx1
io.github.iamthevoid.mediapicker:core;io.github.iamthevoid.mediapicker;core
com.commit451:bitmapji;com.commit451;bitmapji
io.github.yueliangrensheng:xutil;io.github.yueliangrensheng;xutil
com.microsoft.device.dualscreen:navigation-fragment-ktx;com.microsoft.device.dualscreen;navigation-fragment-ktx
com.microsoft.device.dualscreen:navigation-common-ktx;com.microsoft.device.dualscreen;navigation-common-ktx
com.microsoft.device.dualscreen:navigation-runtime-ktx;com.microsoft.device.dualscreen;navigation-runtime-ktx
com.microsoft.device.dualscreen:navigation-ui-ktx;com.microsoft.device.dualscreen;navigation-ui-ktx
com.microsoft.device.dualscreen:navigation-ui;com.microsoft.device.dualscreen;navigation-ui
com.microsoft.device.dualscreen:navigation-fragment;com.microsoft.device.dualscreen;navigation-fragment
com.microsoft.device.dualscreen:navigation-common;com.microsoft.device.dualscreen;navigation-common
com.microsoft.device.dualscreen:navigation-runtime;com.microsoft.device.dualscreen;navigation-runtime
com.github.permissions-dispatcher:permissionsdispatcher-processor;com.github.permissions-dispatcher;permissionsdispatcher-processor
com.github.permissions-dispatcher:permissionsdispatcher;com.github.permissions-dispatcher;permissionsdispatcher
com.github.permissions-dispatcher:ktx;com.github.permissions-dispatcher;ktx
com.github.permissions-dispatcher:permissionsdispatcher-annotation;com.github.permissions-dispatcher;permissionsdispatcher-annotation
com.pancakedb:spark-pancake-db-connector_2.12;com.pancakedb;spark-pancake-db-connector_2.12
com.microsoft.device.dualscreen:layouts;com.microsoft.device.dualscreen;layouts
com.microsoft.device.dualscreen:bottomnavigation;com.microsoft.device.dualscreen;bottomnavigation
com.microsoft.device.dualscreen:tabs;com.microsoft.device.dualscreen;tabs
org.noear:hasor-db-solon-plugin;org.noear;hasor-db-solon-plugin
org.webjars:pptxgenjs;org.webjars;pptxgenjs
org.webjars.npm:vue-select;org.webjars.npm;vue-select
com.trafi.maas:core;com.trafi.maas;core
com.trafi.maas:core-iosx64;com.trafi.maas;core-iosx64
com.trafi.maas:core-iosarm64;com.trafi.maas;core-iosarm64
com.trafi.maas:core-android;com.trafi.maas;core-android
com.trafi.maas:core-android-debug;com.trafi.maas;core-android-debug
com.trafi.maas:ui-android;com.trafi.maas;ui-android
com.trafi.maas:transit-ui-android;com.trafi.maas;transit-ui-android
com.trafi.maas:routes-ui-android;com.trafi.maas;routes-ui-android
io.github.chehsunliu.ossrh:ossrh-beta;io.github.chehsunliu.ossrh;ossrh-beta
io.github.chehsunliu.ossrh:ossrh-alpha;io.github.chehsunliu.ossrh;ossrh-alpha
org.reploop:json2bean-translator;org.reploop;json2bean-translator
org.reploop:json2bean-maven-plugin;org.reploop;json2bean-maven-plugin
org.reploop:json2bean-standalone;org.reploop;json2bean-standalone
io.github.fabiojose.klay:klay-core;io.github.fabiojose.klay;klay-core
com.virusbear.metrix:metrix-micrometer;com.virusbear.metrix;metrix-micrometer
com.virusbear.metrix:metrix-api;com.virusbear.metrix;metrix-api
io.javaoperatorsdk:operator-framework-framework-samples;io.javaoperatorsdk;operator-framework-framework-samples
io.holixon.avro.maven:axon-avro-generator-maven-plugin;io.holixon.avro.maven;axon-avro-generator-maven-plugin
ru.yoomoney.gradle.plugins:gradle-project-plugin;ru.yoomoney.gradle.plugins;gradle-project-plugin
com.baojieearth:ueditor-spring-boot-starter;com.baojieearth;ueditor-spring-boot-starter
com.github.lauhwong:poi_reassemble;com.github.lauhwong;poi_reassemble
com.github.lauhwong:microsoft-document-viewer;com.github.lauhwong;microsoft-document-viewer
cn.tuheishan:meteor-system-service;cn.tuheishan;meteor-system-service
com.github.lauhwong:document-viewer-base;com.github.lauhwong;document-viewer-base
com.isoterik:racken-animation;com.isoterik;racken-animation
org.minbox.framework:message-pipe-bom;org.minbox.framework;message-pipe-bom
org.minbox.framework:message-pipe-spring-context;org.minbox.framework;message-pipe-spring-context
org.minbox.framework:message-pipe-client;org.minbox.framework;message-pipe-client
org.minbox.framework:message-pipe-server;org.minbox.framework;message-pipe-server
org.minbox.framework:message-pipe-core;org.minbox.framework;message-pipe-core
org.minbox.framework:message-pipe;org.minbox.framework;message-pipe
com.yzk18:yzk18-commons;com.yzk18;yzk18-commons
com.github.lucadruda:iotc-device-client;com.github.lucadruda;iotc-device-client
org.bitbucket.thibaudledent.j8583:j8583;org.bitbucket.thibaudledent.j8583;j8583
com.github.nithril:xml-stream-css;com.github.nithril;xml-stream-css
cn.featherfly.constant:constant-spring;cn.featherfly.constant;constant-spring
io.github.hlg212.fcf:fcf-web;io.github.hlg212.fcf;fcf-web
io.github.hlg212.fcf:fcf-core;io.github.hlg212.fcf;fcf-core
io.github.hlg212.fcf:fcf-service;io.github.hlg212.fcf;fcf-service
io.github.hlg212.fcf:fcf-common;io.github.hlg212.fcf;fcf-common
io.github.hlg212.fcf:fcf-facade;io.github.hlg212.fcf;fcf-facade
io.github.hlg212.fcf:fcf-dependencies;io.github.hlg212.fcf;fcf-dependencies
io.github.hlg212.fcf:fcf-bom;io.github.hlg212.fcf;fcf-bom
io.github.hlg212.fcf:fcf-dbom;io.github.hlg212.fcf;fcf-dbom
io.github.hlg212.fcf:fcf-parent;io.github.hlg212.fcf;fcf-parent
io.github.tubaget:OSSRH-79388;io.github.tubaget;OSSRH-79388
io.github.hsci-r:lucene-perfieldpostingsformatordtermvectorscodec_3;io.github.hsci-r;lucene-perfieldpostingsformatordtermvectorscodec_3
io.github.hsci-r:lucene-perfieldpostingsformatordtermvectorscodec_2.13;io.github.hsci-r;lucene-perfieldpostingsformatordtermvectorscodec_2.13
com.bpfaas:bps-config-server-spring-cloud-starter;com.bpfaas;bps-config-server-spring-cloud-starter
com.bpfaas:bps-config-server-novault-spring-cloud-starter;com.bpfaas;bps-config-server-novault-spring-cloud-starter
com.bpfaas:bps-config-client-spring-cloud-starter;com.bpfaas;bps-config-client-spring-cloud-starter
io.github.dailinfeng66:mirai-java;io.github.dailinfeng66;mirai-java
com.github.stephengold:LemurPower;com.github.stephengold;LemurPower
io.github.bbstilson:sbt-codeartifact724599971;io.github.bbstilson;sbt-codeartifact
io.github.bbstilson:sbt-codeartifact-core724599971;io.github.bbstilson;sbt-codeartifact-core
io.github.chunyang4015:rxhttp2;io.github.chunyang4015;rxhttp2
com.alibaba.lindorm:lindorm-sql-ganos-executor;com.alibaba.lindorm;lindorm-sql-ganos-executor
com.alibaba.lindorm:lindorm-sql-search-test;com.alibaba.lindorm;lindorm-sql-search-test
com.alibaba.lindorm:lindorm-sql-parser;com.alibaba.lindorm;lindorm-sql-parser
com.alibaba.lindorm:lindorm-sql-search-executor;com.alibaba.lindorm;lindorm-sql-search-executor
com.alibaba.lindorm:lindorm-sql-assembly;com.alibaba.lindorm;lindorm-sql-assembly
com.alibaba.lindorm:lindorm-sql-table-test;com.alibaba.lindorm;lindorm-sql-table-test
com.alibaba.lindorm:lindorm-sql-ganos-test;com.alibaba.lindorm;lindorm-sql-ganos-test
com.alibaba.lindorm:lindorm-sql-server;com.alibaba.lindorm;lindorm-sql-server
com.alibaba.lindorm:lindorm-sql-router;com.alibaba.lindorm;lindorm-sql-router
com.alibaba.lindorm:lindorm-sql-table-executor;com.alibaba.lindorm;lindorm-sql-table-executor
com.alibaba.lindorm:lindorm-sql-protocol;com.alibaba.lindorm;lindorm-sql-protocol
com.alibaba.lindorm:lindorm-sql-client;com.alibaba.lindorm;lindorm-sql-client
com.alibaba.lindorm:lindorm-sql;com.alibaba.lindorm;lindorm-sql
com.alibaba.lindorm:lindorm-sql-cqr;com.alibaba.lindorm;lindorm-sql-cqr
com.squareup:android-times-square;com.squareup;android-times-square
com.squareup.phrase:phrase;com.squareup.phrase;phrase
io.github.nur858:com-microsoft-osdu-api;io.github.nur858;com-microsoft-osdu-api
com.pancakedb:pancake-db-client_2.12;com.pancakedb;pancake-db-client_2.12
io.github.xiaoyvyv:compiler-jdk8;io.github.xiaoyvyv;compiler-jdk8
io.github.xiaoyvyv:compiler-format;io.github.xiaoyvyv;compiler-format
io.github.xiaoyvyv:compiler-d8;io.github.xiaoyvyv;compiler-d8
io.github.dumarsma:player;io.github.dumarsma;player
io.github.dumarsma:player-sdk;io.github.dumarsma;player-sdk
com.masesgroup:jcoreflector_net5.0;com.masesgroup;jcoreflector_net5.0
org.librarysimplified.audiobook.audioengine:org.librarysimplified.audiobook.audioengine.core;org.librarysimplified.audiobook.audioengine;org.librarysimplified.audiobook.audioengine.core
org.librarysimplified.audiobook:org.librarysimplified.audiobook.api;org.librarysimplified.audiobook;org.librarysimplified.audiobook.api
com.google.cloud.spark:spark-bigquery-dsv1-relation_2.11;com.google.cloud.spark;spark-bigquery-dsv1-relation_2.11
com.google.cloud.spark:spark-bigquery-dsv1-relation_2.12;com.google.cloud.spark;spark-bigquery-dsv1-relation_2.12
uk.co.caprica:vlcj-info;uk.co.caprica;vlcj-info
org.webjars.bower:github-com-ckeditor-ckeditor4;org.webjars.bower;github-com-ckeditor-ckeditor4
org.webjars.bowergithub.ckeditor:ckeditor4;org.webjars.bowergithub.ckeditor;ckeditor4
com.github.susom:server-logging;com.github.susom;server-logging
io.split.integrations.azure:azure-spring-cloud-feature-management-web;io.split.integrations.azure;azure-spring-cloud-feature-management-web
org.psloboda.code:sitemapgen4j;org.psloboda.code;sitemapgen4j
tk.mybatis:mapper-parent;tk.mybatis;mapper-parent
tz.co.asoft:platform-core-linuxarm64;tz.co.asoft;platform-core-linuxarm64
tz.co.asoft:platform-core-linuxarm32hfp;tz.co.asoft;platform-core-linuxarm32hfp
tz.co.asoft:logging-console-linuxarm64;tz.co.asoft;logging-console-linuxarm64
tz.co.asoft:logging-console-linuxarm32hfp;tz.co.asoft;logging-console-linuxarm32hfp
tz.co.asoft:later-test-expect-watchosx86;tz.co.asoft;later-test-expect-watchosx86
tz.co.asoft:later-test-expect-watchosx64;tz.co.asoft;later-test-expect-watchosx64
tz.co.asoft:later-test-expect-watchosarm64;tz.co.asoft;later-test-expect-watchosarm64
tz.co.asoft:later-test-expect-watchosarm32;tz.co.asoft;later-test-expect-watchosarm32
tz.co.asoft:later-test-expect-tvosx64;tz.co.asoft;later-test-expect-tvosx64
tz.co.asoft:later-test-expect-tvosarm64;tz.co.asoft;later-test-expect-tvosarm64
tz.co.asoft:later-test-expect-macosx64;tz.co.asoft;later-test-expect-macosx64
tz.co.asoft:later-test-expect;tz.co.asoft;later-test-expect
tz.co.asoft:later-test-expect-linuxx64;tz.co.asoft;later-test-expect-linuxx64
tz.co.asoft:later-test-expect-jvm;tz.co.asoft;later-test-expect-jvm
tz.co.asoft:later-test-expect-js;tz.co.asoft;later-test-expect-js
tz.co.asoft:later-test-expect-iosx64;tz.co.asoft;later-test-expect-iosx64
tz.co.asoft:later-test-expect-iosarm64;tz.co.asoft;later-test-expect-iosarm64
tz.co.asoft:later-test-expect-iosarm32;tz.co.asoft;later-test-expect-iosarm32
tz.co.asoft:kotlinx-serialization-mapper-linuxarm64;tz.co.asoft;kotlinx-serialization-mapper-linuxarm64
tz.co.asoft:kotlinx-serialization-mapper-linuxarm32hfp;tz.co.asoft;kotlinx-serialization-mapper-linuxarm32hfp
tz.co.asoft:applikation-runtime-linuxarm64;tz.co.asoft;applikation-runtime-linuxarm64
tz.co.asoft:applikation-runtime-linuxarm32hfp;tz.co.asoft;applikation-runtime-linuxarm32hfp
org.mongodb.spark:mongo-spark-connector_2.10;org.mongodb.spark;mongo-spark-connector_2.10
org.mongodb.spark:mongo-spark-connector_2.11;org.mongodb.spark;mongo-spark-connector_2.11
io.github.bloquesoft:entity-master;io.github.bloquesoft;entity-master
io.openliberty.features:com.ibm.websphere.appserver.internal.slf4j-1.7.7;io.openliberty.features;com.ibm.websphere.appserver.internal.slf4j-1.7.7
com.societegenerale.ci-droid:extensions;com.societegenerale.ci-droid;extensions
com.github.binarywang:java-emoji-converter;com.github.binarywang;java-emoji-converter
de.uni-rostock.sbi:BiVeS-Core;de.uni-rostock.sbi;BiVeS-Core
com.chargemap.compose:buttonsgroup;com.chargemap.compose;buttonsgroup
io.github.chunyang4015:rxhttp3;io.github.chunyang4015;rxhttp3
us.careydevelopment.model:business-model;us.careydevelopment.model;business-model
com.simsilica:lemur-proto;com.simsilica;lemur-proto
com.simsilica:lemur-props;com.simsilica;lemur-props
com.simsilica:lemur;com.simsilica;lemur
cn.herodotus.engine:oauth2-sdk-authorization-ui;cn.herodotus.engine;oauth2-sdk-authorization-ui
org.sonatype.nexus.plugins:cpan-parent;org.sonatype.nexus.plugins;cpan-parent
org.sonatype.nexus.plugins:nexus-repository-cpan;org.sonatype.nexus.plugins;nexus-repository-cpan
org.sonatype.nexus.plugins:nexus-repository-cpan-it;org.sonatype.nexus.plugins;nexus-repository-cpan-it
com.emmacanhelp:androidbase;com.emmacanhelp;androidbase
org.webjars.npm:qr-creator;org.webjars.npm;qr-creator
org.webjars.npm:color;org.webjars.npm;color
com.adobe.aio.aem:aio-event-osgimapping;com.adobe.aio.aem;aio-event-osgimapping
com.adobe.aio.aem:aio-event-publish;com.adobe.aio.aem;aio-event-publish
com.adobe.aio.aem:aio-event-management;com.adobe.aio.aem;aio-event-management
ng.okra.com:okra;ng.okra.com;okra
eu.easyrpa:easy-rpa-openframework-google-sheets;eu.easyrpa;easy-rpa-openframework-google-sheets
eu.easyrpa:easy-rpa-openframework-google-drive;eu.easyrpa;easy-rpa-openframework-google-drive
eu.easyrpa:easy-rpa-openframework-google-services;eu.easyrpa;easy-rpa-openframework-google-services
eu.easyrpa:easy-rpa-openframework-database;eu.easyrpa;easy-rpa-openframework-database
org.webjars.npm:d3-hierarchy;org.webjars.npm;d3-hierarchy
com.fluidbpm:fluidwebkit;com.fluidbpm;fluidwebkit
com.fluidbpm:fluid-ws-java-client;com.fluidbpm;fluid-ws-java-client
com.github.nosan:embedded-cassandra-spring-boot-autoconfigure;com.github.nosan;embedded-cassandra-spring-boot-autoconfigure
com.github.nosan:embedded-cassandra-spring-boot-starter;com.github.nosan;embedded-cassandra-spring-boot-starter
com.fluidbpm:fluid-api;com.fluidbpm;fluid-api
com.fluidbpm:fluid-root;com.fluidbpm;fluid-root
org.dpppt:dp3t-sdk-android;org.dpppt;dp3t-sdk-android
net.oneandone:lavender;net.oneandone;lavender
de.mhus.lib:mhus-karaf-oss;de.mhus.lib;mhus-karaf-oss
de.mhus.lib:mhus-oss;de.mhus.lib;mhus-oss
de.mhus.lib:mhus-karaf;de.mhus.lib;mhus-karaf
de.mhus.lib:mhus-parent;de.mhus.lib;mhus-parent
de.mhus.osgi:mhus-features;de.mhus.osgi;mhus-features
de.mhus.rest:rest-karaf;de.mhus.rest;rest-karaf
de.mhus.rest:rest-osgi;de.mhus.rest;rest-osgi
de.mhus.rest:rest-core;de.mhus.rest;rest-core
de.mhus.rest:mhus-rest;de.mhus.rest;mhus-rest
de.mhus.lib:lib-annotations;de.mhus.lib;lib-annotations
de.mhus.lib:lib-junit;de.mhus.lib;lib-junit
de.mhus.lib:lib-tests;de.mhus.lib;lib-tests
de.mhus.lib:lib-j2ee;de.mhus.lib;lib-j2ee
de.mhus.lib:lib-core;de.mhus.lib;lib-core
de.mhus.lib:mhus-lib;de.mhus.lib;mhus-lib
uk.gov.ida:jersey-oauth2-authentication-feature;uk.gov.ida;jersey-oauth2-authentication-feature
org.imixs.marty:imixs-marty-ejb;org.imixs.marty;imixs-marty-ejb
org.imixs.marty:imixs-marty-util;org.imixs.marty;imixs-marty-util
org.imixs.marty:imixs-marty;org.imixs.marty;imixs-marty
de.stuermer-benjamin:cameraremote-free;de.stuermer-benjamin;cameraremote-free
com.chargemap.compose:numberpicker;com.chargemap.compose;numberpicker
me.youm.boot:shore-boot;me.youm.boot;shore-boot
com.kazurayam:kazurayam_FreeMarker_directives;com.kazurayam;kazurayam_FreeMarker_directives
com.atlassian:nadel-test;com.atlassian;nadel-test
org.fujion.webjars:webjar-zonejs;org.fujion.webjars;webjar-zonejs
org.fujion.webjars:webjar-showdown;org.fujion.webjars;webjar-showdown
org.fujion.webjars:webjar-react;org.fujion.webjars;webjar-react
org.fujion.webjars:webjar-rxjs;org.fujion.webjars;webjar-rxjs
org.fujion.webjars:webjar-plotly-js;org.fujion.webjars;webjar-plotly-js
org.fujion.webjars:webjar-codemirror;org.fujion.webjars;webjar-codemirror
org.fujion.webjars:webjar-highcharts;org.fujion.webjars;webjar-highcharts
org.fujion.webjars:webjar-ckeditor;org.fujion.webjars;webjar-ckeditor
org.fujion.webjars:webjar-angular;org.fujion.webjars;webjar-angular
io.github.meditator-wen:bean-transform-tool;io.github.meditator-wen;bean-transform-tool
com.azure.android:azure-communication-ui;com.azure.android;azure-communication-ui
com.bordercloud:SPARQL-JAVA;com.bordercloud;SPARQL-JAVA
org.apache.aries.cdi:aries-cdi-feature;org.apache.aries.cdi;aries-cdi-feature
org.apache.aries.cdi:org.apache.aries.cdi.bom;org.apache.aries.cdi;org.apache.aries.cdi.bom
org.apache.aries.cdi:org.apache.aries.cdi.weld;org.apache.aries.cdi;org.apache.aries.cdi.weld
org.apache.aries.cdi:org.apache.aries.cdi.extension.servlet.weld;org.apache.aries.cdi;org.apache.aries.cdi.extension.servlet.weld
org.apache.aries.cdi:org.apache.aries.cdi.extension.servlet.owb;org.apache.aries.cdi;org.apache.aries.cdi.extension.servlet.owb
org.apache.aries.cdi:org.apache.aries.cdi.owb;org.apache.aries.cdi;org.apache.aries.cdi.owb
org.apache.aries.cdi:org.apache.aries.cdi.extension.servlet.common;org.apache.aries.cdi;org.apache.aries.cdi.extension.servlet.common
org.apache.aries.cdi:org.apache.aries.cdi.extension.jndi;org.apache.aries.cdi;org.apache.aries.cdi.extension.jndi
org.apache.aries.cdi:org.apache.aries.cdi.extension.jaxrs;org.apache.aries.cdi;org.apache.aries.cdi.extension.jaxrs
org.apache.aries.cdi:org.apache.aries.cdi.extension.el.jsp;org.apache.aries.cdi;org.apache.aries.cdi.extension.el.jsp
org.apache.aries.cdi:org.apache.aries.cdi.extender;org.apache.aries.cdi;org.apache.aries.cdi.extender
org.apache.aries.cdi:org.apache.aries.cdi.extension.spi;org.apache.aries.cdi;org.apache.aries.cdi.extension.spi
org.apache.aries.cdi:org.apache.aries.cdi.spi;org.apache.aries.cdi;org.apache.aries.cdi.spi
org.apache.aries.cdi:org.apache.aries.cdi.extra;org.apache.aries.cdi;org.apache.aries.cdi.extra
org.apache.aries.cdi:org.apache.aries.cdi;org.apache.aries.cdi;org.apache.aries.cdi
com.liferay.faces:com.liferay.faces.jpa;com.liferay.faces;com.liferay.faces.jpa
com.softwaremill.sttp.livestub:livestub-sdk_2.13;com.softwaremill.sttp.livestub;livestub-sdk_2.13
com.softwaremill.sttp.livestub:openapi_2.13;com.softwaremill.sttp.livestub;openapi_2.13
com.softwaremill.sttp.livestub:livestub-api_2.13;com.softwaremill.sttp.livestub;livestub-api_2.13
com.softwaremill.sttp.livestub:livestub-app_2.13;com.softwaremill.sttp.livestub;livestub-app_2.13
foundation.fluent.api:fluent-config-generator;foundation.fluent.api;fluent-config-generator
foundation.fluent.api:fluent-common-api-generator;foundation.fluent.api;fluent-common-api-generator
foundation.fluent.api:fluent-builder-api-generator;foundation.fluent.api;fluent-builder-api-generator
foundation.fluent.api:fluent-api-generator-tests;foundation.fluent.api;fluent-api-generator-tests
foundation.fluent.api:fluent-api-generator-project;foundation.fluent.api;fluent-api-generator-project
foundation.fluent.api:fluent-validation-generator;foundation.fluent.api;fluent-validation-generator
foundation.fluent.api:fluent-api-generator;foundation.fluent.api;fluent-api-generator
foundation.fluent.api:fluent-api-generator-annotations;foundation.fluent.api;fluent-api-generator-annotations
org.snmp4j:snmp4j-log4j;org.snmp4j;snmp4j-log4j
org.scala-js:scalajs-fake-insecure-java-securerandom_sjs1_2.13;org.scala-js;scalajs-fake-insecure-java-securerandom_sjs1_2.13
org.scala-js:scalajs-fake-insecure-java-securerandom_sjs1_2.12;org.scala-js;scalajs-fake-insecure-java-securerandom_sjs1_2.12
org.scala-js:scalajs-fake-insecure-java-securerandom_sjs1_2.11;org.scala-js;scalajs-fake-insecure-java-securerandom_sjs1_2.11
org.scala-js:scalajs-java-securerandom_sjs1_2.13;org.scala-js;scalajs-java-securerandom_sjs1_2.13
org.scala-js:scalajs-java-securerandom_sjs1_2.12;org.scala-js;scalajs-java-securerandom_sjs1_2.12
org.scala-js:scalajs-java-securerandom_sjs1_2.11;org.scala-js;scalajs-java-securerandom_sjs1_2.11
org.vulpinedesigns.initiator_set:initiatorset_3;org.vulpinedesigns.initiator_set;initiatorset_3
com.ig.orchestra.avro:repository-to-avro-example;com.ig.orchestra.avro;repository-to-avro-example
com.ig.orchestra.avro:repository-avro-parent;com.ig.orchestra.avro;repository-avro-parent
com.ig.orchestra.avro:repository-to-avro-examples;com.ig.orchestra.avro;repository-to-avro-examples
com.ig.orchestra.avro:repository-to-avro-maven-plugin;com.ig.orchestra.avro;repository-to-avro-maven-plugin
com.ig.orchestra.avro:repository-to-avro-example-normalised;com.ig.orchestra.avro;repository-to-avro-example-normalised
com.ig.orchestra.avro:repository-to-avro;com.ig.orchestra.avro;repository-to-avro
com.bazaarvoice.maven.plugins:cassandra-maven-plugin;com.bazaarvoice.maven.plugins;cassandra-maven-plugin
no.saua.remock:remock;no.saua.remock;remock
ro.dragossusi:viewmodel;ro.dragossusi;viewmodel
ro.dragossusi:viewmodel-jvm;ro.dragossusi;viewmodel-jvm
ro.dragossusi:viewmodel-android;ro.dragossusi;viewmodel-android
ro.dragossusi:viewmodel-android-debug;ro.dragossusi;viewmodel-android-debug
ro.dragossusi:compose;ro.dragossusi;compose
ro.dragossusi:compose-jvm;ro.dragossusi;compose-jvm
ro.dragossusi:compose-android;ro.dragossusi;compose-android
ro.dragossusi:compose-android-debug;ro.dragossusi;compose-android-debug
com.pancakedb:pancake-db-idl;com.pancakedb;pancake-db-idl
com.syntifi.casper:casper-sdk;com.syntifi.casper;casper-sdk
com.github.stacycurl:jsondbc-cats-optics_2.12;com.github.stacycurl;jsondbc-cats-optics_2.12
com.github.stacycurl:jsondbc-argonaut_2.12;com.github.stacycurl;jsondbc-argonaut_2.12
com.github.stacycurl:jsondbc-core_2.12;com.github.stacycurl;jsondbc-core_2.12
com.github.stacycurl:jsondbc-spray_2.12;com.github.stacycurl;jsondbc-spray_2.12
com.github.stacycurl:jsondbc-circe_2.12;com.github.stacycurl;jsondbc-circe_2.12
com.github.stacycurl:jsondbc-json4s_2.12;com.github.stacycurl;jsondbc-json4s_2.12
com.github.stacycurl:jsondbc-scalaz-optics_2.12;com.github.stacycurl;jsondbc-scalaz-optics_2.12
com.tradologics:tradologics-sdk;com.tradologics;tradologics-sdk
com.heavenark.infrastructure:ark-springboot;com.heavenark.infrastructure;ark-springboot
io.gitee.laoshirenggo:spring-factories;io.gitee.laoshirenggo;spring-factories
cn.wekture:fastapi-parent;cn.wekture;fastapi-parent
cn.wekture:fastapi-base;cn.wekture;fastapi-base
cn.wekture:fastapi-sms;cn.wekture;fastapi-sms
cn.wekture:fastapi-wechat;cn.wekture;fastapi-wechat
cn.wekture:fastapi-file;cn.wekture;fastapi-file
cn.wekture:fastapi-dao;cn.wekture;fastapi-dao
fun.toodo:toodoUtils;fun.toodo;toodoUtils
cn.wekture:fastapi-mybatis-plus-generator;cn.wekture;fastapi-mybatis-plus-generator
cn.wekture:fastapi-util;cn.wekture;fastapi-util
cn.wekture:fastapi-config;cn.wekture;fastapi-config
cn.wekture:fastapi-swagger-annotations;cn.wekture;fastapi-swagger-annotations
cn.wekture:fastapi;cn.wekture;fastapi
org.webjars.npm:filepond-plugin-image-exif-orientation;org.webjars.npm;filepond-plugin-image-exif-orientation
com.github.thorbenkuck:wire-di;com.github.thorbenkuck;wire-di
com.github.thorbenkuck:wire-di-processor-extensions;com.github.thorbenkuck;wire-di-processor-extensions
com.github.thorbenkuck:wire-di-core;com.github.thorbenkuck;wire-di-core
io.github.cnoke.startup:api;io.github.cnoke.startup;api
io.github.cnoke.startup:register;io.github.cnoke.startup;register
uk.gov.ida:gradle-gatling-plugin;uk.gov.ida;gradle-gatling-plugin
com.github.abel533:autodeploy-maven-central;com.github.abel533;autodeploy-maven-central
io.github.gagechan:fast-server;io.github.gagechan;fast-server
tr.com.mantis.keycloak:keycloak-username-policy;tr.com.mantis.keycloak;keycloak-username-policy
org.apache.hive.hcatalog:hive-hcatalog-streaming;org.apache.hive.hcatalog;hive-hcatalog-streaming
org.teavm:teavm-html4j;org.teavm;teavm-html4j
org.teavm:teavm-maven;org.teavm;teavm-maven
org.teavm:teavm;org.teavm;teavm
me.2bab:koncat-contract;me.2bab;koncat-contract
fr.maif:jooq-async-api-tck_2.12;fr.maif;jooq-async-api-tck_2.12
fr.maif:jooq-async-api-tck_2.13;fr.maif;jooq-async-api-tck_2.13
fr.maif:jooq-async-jdbc_2.12;fr.maif;jooq-async-jdbc_2.12
fr.maif:jooq-async-api_2.13;fr.maif;jooq-async-api_2.13
fr.maif:jooq-async-jdbc_2.13;fr.maif;jooq-async-jdbc_2.13
fr.maif:jooq-async-reactive_2.12;fr.maif;jooq-async-reactive_2.12
fr.maif:jooq-async-reactive_2.13;fr.maif;jooq-async-reactive_2.13
fr.maif:jooq-async-api_2.12;fr.maif;jooq-async-api_2.12
com.github.geirolz:advxml-core_2.13;com.github.geirolz;advxml-core_2.13
com.midcu:auth;com.midcu;auth
org.webjars.npm:loadingio__css-spinner;org.webjars.npm;loadingio__css-spinner
org.webjars.npm:github-com-loadingio-css-spinner-;org.webjars.npm;github-com-loadingio-css-spinner-
com.fastjrun.codeg.jeecgboot:jeecgboot-sdkg;com.fastjrun.codeg.jeecgboot;jeecgboot-sdkg
