com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
com.yoti.mobile.android.sdk:yoti-button-sdk;com.yoti.mobile.android.sdk;yoti-button-sdk
io.github.sapirmedallia:distrebution;io.github.sapirmedallia;distrebution
io.syrf:syrf-geospatial;io.syrf;syrf-geospatial
net.tirasa.connid.bundles:net.tirasa.connid.bundles.cmd;net.tirasa.connid.bundles;net.tirasa.connid.bundles.cmd
io.github.RafhaelSouza:mssc-brewery-eureka;io.github.RafhaelSouza;mssc-brewery-eureka
com.chimerapps.niddler:niddler-urlconnection;com.chimerapps.niddler;niddler-urlconnection
com.chimerapps.niddler:niddler-noop-base;com.chimerapps.niddler;niddler-noop-base
com.chimerapps.niddler:niddler-noop;com.chimerapps.niddler;niddler-noop
com.chimerapps.niddler:niddler-java-noop;com.chimerapps.niddler;niddler-java-noop
com.chimerapps.niddler:niddler-java;com.chimerapps.niddler;niddler-java
com.chimerapps.niddler:niddler-base;com.chimerapps.niddler;niddler-base
com.chimerapps.niddler:niddler;com.chimerapps.niddler;niddler
io.github.jan-tennert.discordkm:DiscordKM-Lavalink-jvm;io.github.jan-tennert.discordkm;DiscordKM-Lavalink-jvm
io.github.jan-tennert.discordkm:DiscordKM-Lavalink;io.github.jan-tennert.discordkm;DiscordKM-Lavalink
io.github.jan-tennert.discordkm:DiscordKM-Lavalink-js;io.github.jan-tennert.discordkm;DiscordKM-Lavalink-js
io.github.jan-tennert.discordkm:DiscordKM-Http-Interactions;io.github.jan-tennert.discordkm;DiscordKM-Http-Interactions
io.github.jan-tennert.discordkm:DiscordKM-Http-Interactions-jvm;io.github.jan-tennert.discordkm;DiscordKM-Http-Interactions-jvm
io.github.jan-tennert.discordkm:DiscordKM-jvm;io.github.jan-tennert.discordkm;DiscordKM-jvm
io.github.jan-tennert.discordkm:DiscordKM;io.github.jan-tennert.discordkm;DiscordKM
io.github.jan-tennert.discordkm:DiscordKM-js;io.github.jan-tennert.discordkm;DiscordKM-js
org.webjars.npm:owl.carousel;org.webjars.npm;owl.carousel
org.webjars.npm:bootstrap-select;org.webjars.npm;bootstrap-select
io.github.porum:defensor-stub-android;io.github.porum;defensor-stub-android
com.microsoft.device.dualscreen:snackbar;com.microsoft.device.dualscreen;snackbar
cn.hchub:springboot-drools-starter;cn.hchub;springboot-drools-starter
com.aliyun:alibabacloud-gateway-fc;com.aliyun;alibabacloud-gateway-fc
org.springframework.batch.extensions:spring-batch-excel;org.springframework.batch.extensions;spring-batch-excel
com.heavenark.infrastructure:ark-log-slf4j-support;com.heavenark.infrastructure;ark-log-slf4j-support
org.eclipse.leshan:leshan;org.eclipse.leshan;leshan
com.heavenark.infrastructure:ark-log;com.heavenark.infrastructure;ark-log
io.gravitee.elasticsearch:gravitee-elasticsearch;io.gravitee.elasticsearch;gravitee-elasticsearch
io.gravitee.repository:gravitee-repository-elasticsearch;io.gravitee.repository;gravitee-repository-elasticsearch
io.janstenpickle:trace4cats-io_2.12;io.janstenpickle;trace4cats-io_2.12
io.janstenpickle:trace4cats-io_2.13;io.janstenpickle;trace4cats-io_2.13
io.janstenpickle:trace4cats-io_3;io.janstenpickle;trace4cats-io_3
com.5831wan.mavencenter:zzylSDK;com.5831wan.mavencenter;zzylSDK
