com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
io.github.qdsfdhvh:image-loader-extension-blur-iosarm64;io.github.qdsfdhvh;image-loader-extension-blur-iosarm64
io.github.qdsfdhvh:image-loader-extension-blur-iossimulatorarm64;io.github.qdsfdhvh;image-loader-extension-blur-iossimulatorarm64
io.github.qdsfdhvh:image-loader-extension-blur-android;io.github.qdsfdhvh;image-loader-extension-blur-android
io.github.qdsfdhvh:image-loader-extension-blur-desktop;io.github.qdsfdhvh;image-loader-extension-blur-desktop
io.github.qdsfdhvh:image-loader-extension-blur-android-debug;io.github.qdsfdhvh;image-loader-extension-blur-android-debug
io.github.heezer:aleph-alpha-client-java;io.github.heezer;aleph-alpha-client-java
org.webjars.npm:winbox;org.webjars.npm;winbox
ch.epfl.scala:scalafix-testkit_2.13.13;ch.epfl.scala;scalafix-testkit_2.13.13
ch.epfl.scala:scalafix-cli_2.13.13;ch.epfl.scala;scalafix-cli_2.13.13
ch.epfl.scala:scalafix-reflect_2.13.13;ch.epfl.scala;scalafix-reflect_2.13.13
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy.management.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy.management.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy.management.ui.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy.management.ui.feature
org.wso2.carbon.governance:org.wso2.carbon.governance.taxonomy.management.server.feature;org.wso2.carbon.governance;org.wso2.carbon.governance.taxonomy.management.server.feature
org.wso2.carbon.governance:governance.taxonomy.management-feature;org.wso2.carbon.governance;governance.taxonomy.management-feature
org.wso2.carbon.governance:org.wso2.carbon.discovery.proxy.feature;org.wso2.carbon.governance;org.wso2.carbon.discovery.proxy.feature
org.wso2.carbon.governance:ws-discovery-proxy-feature;org.wso2.carbon.governance;ws-discovery-proxy-feature
