com.ofcoder.klein:klein;com.ofcoder.klein;klein
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-macosx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-macosx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-macosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-macosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-linuxx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-linuxx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-linuxarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-linuxarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-jvm;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-jvm
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-js;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-js
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-iosx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-iosx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-iossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-iossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-iosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-iosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-android;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-android
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-android-debug;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-android-debug
com.jeppeman.globallydynamic.gradle:plugin;com.jeppeman.globallydynamic.gradle;plugin
com.jeppeman.globallydynamic:com.jeppeman.globallydynamic.gradle.plugin;com.jeppeman.globallydynamic;com.jeppeman.globallydynamic.gradle.plugin
cn.legendshop:jpaplus-annotation;cn.legendshop;jpaplus-annotation
cn.legendshop:jpaplus;cn.legendshop;jpaplus
de.jensklingenberg.ktorfit:ktorfit-lib-light-ktor-3.0.0-watchosx64;de.jensklingenberg.ktorfit;ktorfit-lib-light-ktor-3.0.0-watchosx64
