org.activiti.cloud.notifications.graphql:activiti-cloud-notifications-service-graphql-parent;org.activiti.cloud.notifications.graphql;activiti-cloud-notifications-service-graphql-parent
org.activiti.cloud.connector:activiti-cloud-starter-connector;org.activiti.cloud.connector;activiti-cloud-starter-connector
org.activiti.cloud.connector:activiti-cloud-connectors-dependencies;org.activiti.cloud.connector;activiti-cloud-connectors-dependencies
org.activiti.cloud.connector:activiti-cloud-connectors-parent;org.activiti.cloud.connector;activiti-cloud-connectors-parent
org.activiti.cloud.audit:activiti-cloud-starter-audit;org.activiti.cloud.audit;activiti-cloud-starter-audit
org.activiti.cloud.audit:activiti-cloud-services-audit-jpa;org.activiti.cloud.audit;activiti-cloud-services-audit-jpa
org.activiti.cloud.audit:activiti-cloud-services-audit-api;org.activiti.cloud.audit;activiti-cloud-services-audit-api
org.activiti.cloud.audit:activiti-cloud-audit-dependencies;org.activiti.cloud.audit;activiti-cloud-audit-dependencies
org.activiti.cloud.audit:activiti-cloud-audit-service-parent;org.activiti.cloud.audit;activiti-cloud-audit-service-parent
pl.beone.promena.transformer:page-extractor-pdfbox-configuration;pl.beone.promena.transformer;page-extractor-pdfbox-configuration
pl.beone.promena.transformer:page-extractor-pdfbox-root;pl.beone.promena.transformer;page-extractor-pdfbox-root
pl.beone.promena.transformer:page-extractor-pdfbox;pl.beone.promena.transformer;page-extractor-pdfbox
pl.beone.promena.transformer:page-extractor-pdfbox-example;pl.beone.promena.transformer;page-extractor-pdfbox-example
pl.beone.promena.transformer:page-extractor-pdfbox-application-model;pl.beone.promena.transformer;page-extractor-pdfbox-application-model
org.activiti.cloud.query:activiti-cloud-starter-query;org.activiti.cloud.query;activiti-cloud-starter-query
org.activiti.cloud.query:activiti-cloud-services-query-rest;org.activiti.cloud.query;activiti-cloud-services-query-rest
org.activiti.cloud.query:activiti-cloud-services-query-repo;org.activiti.cloud.query;activiti-cloud-services-query-repo
org.activiti.cloud.query:activiti-cloud-services-query-model;org.activiti.cloud.query;activiti-cloud-services-query-model
org.activiti.cloud.query:activiti-cloud-services-query;org.activiti.cloud.query;activiti-cloud-services-query
org.activiti.cloud.query:activiti-cloud-query-dependencies;org.activiti.cloud.query;activiti-cloud-query-dependencies
org.activiti.cloud.query:activiti-cloud-query-service-parent;org.activiti.cloud.query;activiti-cloud-query-service-parent
org.activiti.cloud.rb:activiti-cloud-starter-runtime-bundle-it;org.activiti.cloud.rb;activiti-cloud-starter-runtime-bundle-it
org.activiti.cloud.rb:activiti-cloud-starter-runtime-bundle;org.activiti.cloud.rb;activiti-cloud-starter-runtime-bundle
org.activiti.cloud.rb:activiti-cloud-services-messages-events;org.activiti.cloud.rb;activiti-cloud-services-messages-events
org.activiti.cloud.rb:activiti-cloud-services-job-executor;org.activiti.cloud.rb;activiti-cloud-services-job-executor
org.activiti.cloud.rb:activiti-cloud-services-identity-keycloak;org.activiti.cloud.rb;activiti-cloud-services-identity-keycloak
org.activiti.cloud.rb:activiti-cloud-services-identity-basic;org.activiti.cloud.rb;activiti-cloud-services-identity-basic
pl.beone.promena.transformer:report-generator-jasperreports-example;pl.beone.promena.transformer;report-generator-jasperreports-example
pl.beone.promena.transformer:report-generator-jasperreports-configuration;pl.beone.promena.transformer;report-generator-jasperreports-configuration
org.activiti.cloud.rb:activiti-cloud-services-rest-impl;org.activiti.cloud.rb;activiti-cloud-services-rest-impl
pl.beone.promena.transformer:report-generator-jasperreports;pl.beone.promena.transformer;report-generator-jasperreports
pl.beone.promena.transformer:report-generator-jasperreports-root;pl.beone.promena.transformer;report-generator-jasperreports-root
pl.beone.promena.transformer:report-generator-jasperreports-application-model;pl.beone.promena.transformer;report-generator-jasperreports-application-model
org.activiti.cloud.rb:activiti-cloud-services-rest-api;org.activiti.cloud.rb;activiti-cloud-services-rest-api
org.activiti.cloud.rb:activiti-cloud-services-connectors;org.activiti.cloud.rb;activiti-cloud-services-connectors
org.activiti.cloud.rb:activiti-cloud-services-subscriptions;org.activiti.cloud.rb;activiti-cloud-services-subscriptions
org.activiti.cloud.rb:activiti-cloud-services-core;org.activiti.cloud.rb;activiti-cloud-services-core
org.activiti.cloud.rb:activiti-cloud-services-events;org.activiti.cloud.rb;activiti-cloud-services-events
org.activiti.cloud.rb:activiti-cloud-services-api;org.activiti.cloud.rb;activiti-cloud-services-api
