com.github.gfx.ribbonizer:plugin;com.github.gfx.ribbonizer;plugin
org.kie.modules:org-jboss-as-webservices-server-integration-main;org.kie.modules;org-jboss-as-webservices-server-integration-main
org.kie.modules:org-jboss-as-ejb3-main;org.kie.modules;org-jboss-as-ejb3-main
org.kie.modules:org-jboss-as-product-eap;org.kie.modules;org-jboss-as-product-eap
org.kie.modules:org-jboss-as-weld-main;org.kie.modules;org-jboss-as-weld-main
org.kie.modules:javax-xml-rpc-api-main;org.kie.modules;javax-xml-rpc-api-main
org.kie.modules:org-codehaus-jackson-jackson-mapper-asl-main;org.kie.modules;org-codehaus-jackson-jackson-mapper-asl-main
org.kie.modules:javax-interceptor-api-main;org.kie.modules;javax-interceptor-api-main
org.kie.modules:org-apache-commons-beanutils-main;org.kie.modules;org-apache-commons-beanutils-main
org.kie.modules:org-eclipse;org.kie.modules;org-eclipse
org.kie.modules:org-apache-xmlbeans;org.kie.modules;org-apache-xmlbeans
org.kie.modules:org-jboss-marshalling-river-main;org.kie.modules;org-jboss-marshalling-river-main
org.kie.modules:gnu-getopt-main;org.kie.modules;gnu-getopt-main
org.kie.modules:org-eclipse-emf;org.kie.modules;org-eclipse-emf
org.kie.modules:org-jboss-modules-main;org.kie.modules;org-jboss-modules-main
org.kie.modules:org-hornetq-ra-main;org.kie.modules;org-hornetq-ra-main
org.kie.modules:org-jboss-as-deployment-scanner-main;org.kie.modules;org-jboss-as-deployment-scanner-main
org.kie.modules:org-jboss-as-security-api-main;org.kie.modules;org-jboss-as-security-api-main
org.kie.modules:org-jboss-ironjacamar-api-main;org.kie.modules;org-jboss-ironjacamar-api-main
org.kie.modules:javax-xml-soap-api-main;org.kie.modules;javax-xml-soap-api-main
org.kie.modules:org-junit;org.kie.modules;org-junit
org.kie.modules:org-jaxen-main;org.kie.modules;org-jaxen-main
org.kie.modules:org-jboss-as-transactions-main;org.kie.modules;org-jboss-as-transactions-main
org.kie.modules:org-jboss-resteasy-resteasy-jettison-provider-main;org.kie.modules;org-jboss-resteasy-resteasy-jettison-provider-main
org.kie.modules:jivesoftware;org.kie.modules;jivesoftware
org.kie.modules:org-jboss-as-jacorb-main;org.kie.modules;org-jboss-as-jacorb-main
org.kie.modules:org-jboss-as-patching-cli-main;org.kie.modules;org-jboss-as-patching-cli-main
org.kie.modules:org-jboss-as-domain-http-interface-main;org.kie.modules;org-jboss-as-domain-http-interface-main
org.kie.modules:org-jboss-ws-jaxws-jboss-httpserver-httpspi-main;org.kie.modules;org-jboss-ws-jaxws-jboss-httpserver-httpspi-main
org.kie.modules:com-sun-xml-bind-core;org.kie.modules;com-sun-xml-bind-core
org.kie.modules:org-jboss-as-jpa-hibernate-3;org.kie.modules;org-jboss-as-jpa-hibernate-3
org.kie.modules:org-jboss-as-jpa-util-main;org.kie.modules;org-jboss-as-jpa-util-main
org.kie.modules:com-sun-xml-messaging-saaj-main;org.kie.modules;com-sun-xml-messaging-saaj-main
org.kie.modules:org-freemarker;org.kie.modules;org-freemarker
org.kie.modules:org-jboss-seam-transaction;org.kie.modules;org-jboss-seam-transaction
org.kie.modules:org-jboss-as-clustering-service-main;org.kie.modules;org-jboss-as-clustering-service-main
org.kie.modules:org-jboss-ws-spi-main;org.kie.modules;org-jboss-ws-spi-main
org.kie.modules:jakarta-regexp;org.kie.modules;jakarta-regexp
org.kie.modules:org-jboss-ejb3-main;org.kie.modules;org-jboss-ejb3-main
org.kie.modules:org-jdom-main;org.kie.modules;org-jdom-main
org.kie.modules:org-apache-commons-lang-main;org.kie.modules;org-apache-commons-lang-main
org.kie.modules:org-jboss-as-appclient-main;org.kie.modules;org-jboss-as-appclient-main
org.kie.modules:org-jboss-netty-main;org.kie.modules;org-jboss-netty-main
org.kie.modules:org-jboss-as-mail-main;org.kie.modules;org-jboss-as-mail-main
org.kie.modules:org-jboss-integration-ext-content-main;org.kie.modules;org-jboss-integration-ext-content-main
org.kie.modules:org-apache-commons-jxpath;org.kie.modules;org-apache-commons-jxpath
org.kie.modules:org-apache-maven;org.kie.modules;org-apache-maven
org.kie.modules:org-apache-velocity-main;org.kie.modules;org-apache-velocity-main
org.kie.modules:org-jboss-as-sar-main;org.kie.modules;org-jboss-as-sar-main
org.kie.modules:org-jboss-xts-main;org.kie.modules;org-jboss-xts-main
org.kie.modules:org-apache-commons-io-main;org.kie.modules;org-apache-commons-io-main
org.kie.modules:org-codehouse-plexus;org.kie.modules;org-codehouse-plexus
org.kie.modules:org-jboss-osgi-spi-main;org.kie.modules;org-jboss-osgi-spi-main
org.kie.modules:org-tukaani;org.kie.modules;org-tukaani
org.kie.modules:org-jboss-osgi-vfs-main;org.kie.modules;org-jboss-osgi-vfs-main
org.kie.modules:org-jboss-ws-common-main;org.kie.modules;org-jboss-ws-common-main
org.kie.modules:javax-persistence-api-main;org.kie.modules;javax-persistence-api-main
org.kie.modules:javax-servlet-api-main;org.kie.modules;javax-servlet-api-main
org.kie.modules:org-apache-commons-exec;org.kie.modules;org-apache-commons-exec
org.kie.modules:org-beanshell;org.kie.modules;org-beanshell
org.kie.modules:org-jboss-as-clustering-impl-main;org.kie.modules;org-jboss-as-clustering-impl-main
org.kie.modules:org-kie-remote;org.kie.modules;org-kie-remote
org.kie.modules:org-jboss-as-cli-main;org.kie.modules;org-jboss-as-cli-main
org.kie.modules:org-mvel;org.kie.modules;org-mvel
org.kie.modules:kie-jboss-eap-base-modules;org.kie.modules;kie-jboss-eap-base-modules
org.kie.modules:org-jboss-as-jaxrs-main;org.kie.modules;org-jboss-as-jaxrs-main
org.kie.modules:org-apache-juddi-scout-main;org.kie.modules;org-apache-juddi-scout-main
org.kie.modules:org-jboss-as-webservices-server-jaxrpc-integration-main;org.kie.modules;org-jboss-as-webservices-server-jaxrpc-integration-main
org.kie.modules:org-jboss-jandex-main;org.kie.modules;org-jboss-jandex-main
org.kie.modules:org-picketlink-idm-api-main;org.kie.modules;org-picketlink-idm-api-main
org.kie.modules:org-jboss-classfilewriter-main;org.kie.modules;org-jboss-classfilewriter-main
org.kie.modules:org-slf4j-ext-main;org.kie.modules;org-slf4j-ext-main
org.kie.modules:org-jboss-ironjacamar-impl-main;org.kie.modules;org-jboss-ironjacamar-impl-main
org.kie.modules:org-yaml-snakeyaml-main;org.kie.modules;org-yaml-snakeyaml-main
org.kie.modules:org-apache-xalan-main;org.kie.modules;org-apache-xalan-main
org.kie.modules:org-omg-api-main;org.kie.modules;org-omg-api-main
org.kie.modules:org-jboss-as-xts-main;org.kie.modules;org-jboss-as-xts-main
org.kie.modules:org-jboss-security-xacml-main;org.kie.modules;org-jboss-security-xacml-main
org.kie.modules:org-hornetq-main;org.kie.modules;org-hornetq-main
org.kie.modules:org-jboss-as-jdr-main;org.kie.modules;org-jboss-as-jdr-main
org.kie.modules:org-jboss-as-ee-main;org.kie.modules;org-jboss-as-ee-main
org.kie.modules:org-jboss-as-osgi-jpa-main;org.kie.modules;org-jboss-as-osgi-jpa-main
org.kie.modules:com-fasterxml-jackson;org.kie.modules;com-fasterxml-jackson
org.kie.modules:org-jboss-aesh-main;org.kie.modules;org-jboss-aesh-main
org.kie.modules:org-jboss-as-cmp-main;org.kie.modules;org-jboss-as-cmp-main
org.kie.modules:org-jboss-as-messaging-main;org.kie.modules;org-jboss-as-messaging-main
org.kie.modules:com-jcraft;org.kie.modules;com-jcraft
org.kie.modules:javax-xml-ws-api-main;org.kie.modules;javax-xml-ws-api-main
org.kie.modules:org-apache-santuario-xmlsec-main;org.kie.modules;org-apache-santuario-xmlsec-main
org.kie.modules:org-jboss-xnio-main;org.kie.modules;org-jboss-xnio-main
org.kie.modules:org-osgi-core-main;org.kie.modules;org-osgi-core-main
org.kie.modules:kie-eap-modules;org.kie.modules;kie-eap-modules
org.kie.modules:org-apache-xmlgraphics;org.kie.modules;org-apache-xmlgraphics
org.kie.modules:org-jboss-as-clustering-web-spi-main;org.kie.modules;org-jboss-as-clustering-web-spi-main
org.kie.modules:org-jboss-as-pojo-main;org.kie.modules;org-jboss-as-pojo-main
org.kie.modules:org-apache-juddi-juddi-client-main;org.kie.modules;org-apache-juddi-juddi-client-main
org.kie.modules:org-jboss-security-negotiation-main;org.kie.modules;org-jboss-security-negotiation-main
org.kie.modules:xpp3;org.kie.modules;xpp3
org.kie.modules:org-jboss-as-jpa-hibernate-4;org.kie.modules;org-jboss-as-jpa-hibernate-4
org.kie.modules:org-jboss-jts-main;org.kie.modules;org-jboss-jts-main
org.kie.modules:org-picketlink-config-main;org.kie.modules;org-picketlink-config-main
org.kie.modules:org-apache-neethi-main;org.kie.modules;org-apache-neethi-main
org.kie.modules:org-hibernate-main;org.kie.modules;org-hibernate-main
org.kie.modules:javax-annotation-api-main;org.kie.modules;javax-annotation-api-main
org.kie.modules:org-jboss-as-jpa-spi-main;org.kie.modules;org-jboss-as-jpa-spi-main
org.kie.modules:org-picketlink-main;org.kie.modules;org-picketlink-main
org.kie.modules:javax-security-jacc-api-main;org.kie.modules;javax-security-jacc-api-main
org.kie.modules:org-jboss-as-jaxr-main;org.kie.modules;org-jboss-as-jaxr-main
org.kie.modules:org-apache-commons-lang3;org.kie.modules;org-apache-commons-lang3
org.kie.modules:org-jacorb-main;org.kie.modules;org-jacorb-main
org.kie.modules:org-apache-commons-net;org.kie.modules;org-apache-commons-net
org.kie.modules:org-jboss-as-osgi-main;org.kie.modules;org-jboss-as-osgi-main
org.kie.modules:org-kie;org.kie.modules;org-kie
org.kie.modules:org-jboss-as-jmx-main;org.kie.modules;org-jboss-as-jmx-main
org.kie.modules:org-jboss-as-process-controller-main;org.kie.modules;org-jboss-as-process-controller-main
org.kie.modules:javax-api-main;org.kie.modules;javax-api-main
org.kie.modules:org-jboss-as-security-main;org.kie.modules;org-jboss-as-security-main
org.kie.modules:org-infinispan-main;org.kie.modules;org-infinispan-main
org.kie.modules:org-json;org.kie.modules;org-json
org.kie.modules:org-wildfly-extension-picketlink-main;org.kie.modules;org-wildfly-extension-picketlink-main
org.kie.modules:javax-servlet-jstl-api-main;org.kie.modules;javax-servlet-jstl-api-main
org.kie.modules:javax-validation-api-main;org.kie.modules;javax-validation-api-main
org.kie.modules:javax-enterprise-deploy-api-main;org.kie.modules;javax-enterprise-deploy-api-main
org.kie.modules:nu-xom-main;org.kie.modules;nu-xom-main
org.kie.modules:org-jboss-osgi-resolver-main;org.kie.modules;org-jboss-osgi-resolver-main
org.kie.modules:org-jboss-ws-cxf-jbossws-cxf-transports-udp-main;org.kie.modules;org-jboss-ws-cxf-jbossws-cxf-transports-udp-main
org.kie.modules:com-github-relaxng-main;org.kie.modules;com-github-relaxng-main
org.kie.modules:org-eclipse-sisu;org.kie.modules;org-eclipse-sisu
org.kie.modules:com-sun-jsf-impl-main;org.kie.modules;com-sun-jsf-impl-main
org.kie.modules:org-apache-xerces-main;org.kie.modules;org-apache-xerces-main
org.kie.modules:com-google-guava-main;org.kie.modules;com-google-guava-main
org.kie.modules:org-jboss-as-clustering-registry-main;org.kie.modules;org-jboss-as-clustering-registry-main
org.kie.modules:org-codehaus-jettison-main;org.kie.modules;org-codehaus-jettison-main
org.kie.modules:org-jboss-netty;org.kie.modules;org-jboss-netty
org.kie.modules:org-apache-httpcomponents-main;org.kie.modules;org-apache-httpcomponents-main
org.kie.modules:org-apache-commons-fileupload;org.kie.modules;org-apache-commons-fileupload
org.kie.modules:org-scannotation-scannotation-main;org.kie.modules;org-scannotation-scannotation-main
org.kie.modules:sun-jdk-main;org.kie.modules;sun-jdk-main
org.kie.modules:org-dom4j-main;org.kie.modules;org-dom4j-main
org.kie.modules:javax-ws-rs;org.kie.modules;javax-ws-rs
org.kie.modules:org-jboss-as-version-main;org.kie.modules;org-jboss-as-version-main
org.kie.modules:org-jboss-resteasy-resteasy-spring-main;org.kie.modules;org-jboss-resteasy-resteasy-spring-main
org.kie.modules:org-sonatype-sisu;org.kie.modules;org-sonatype-sisu
org.kie.modules:javax-xml-registry-api-main;org.kie.modules;javax-xml-registry-api-main
org.kie.modules:org-jboss-weld-spi-main;org.kie.modules;org-jboss-weld-spi-main
org.kie.modules:org-apache-james-mime4j-main;org.kie.modules;org-apache-james-mime4j-main
org.kie.modules:org-jboss-osgi-deployment-main;org.kie.modules;org-jboss-osgi-deployment-main
org.kie.modules:org-eclipse-jgit;org.kie.modules;org-eclipse-jgit
org.kie.modules:org-jboss-ws-saaj-impl-main;org.kie.modules;org-jboss-ws-saaj-impl-main
org.kie.modules:javax-faces-api-1.2;org.kie.modules;javax-faces-api-1.2
org.kie.modules:org-jboss-msc-main;org.kie.modules;org-jboss-msc-main
org.kie.modules:org-jboss-resteasy-resteasy-multipart-provider-main;org.kie.modules;org-jboss-resteasy-resteasy-multipart-provider-main
org.kie.modules:javax-inject-api-main;org.kie.modules;javax-inject-api-main
org.kie.modules:org-jboss-invocation-main;org.kie.modules;org-jboss-invocation-main
org.kie.modules:org-javassist-main;org.kie.modules;org-javassist-main
org.kie.modules:org-jboss-ironjacamar-jdbcadapters-main;org.kie.modules;org-jboss-ironjacamar-jdbcadapters-main
org.kie.modules:org-jboss-as-osgi-http-main;org.kie.modules;org-jboss-as-osgi-http-main
org.kie.modules:org-osgi-enterprise-main;org.kie.modules;org-osgi-enterprise-main
org.kie.modules:org-jboss-as-controller-client-main;org.kie.modules;org-jboss-as-controller-client-main
org.kie.modules:javax-wsdl4j-api-main;org.kie.modules;javax-wsdl4j-api-main
org.kie.modules:javax-ws-rs-api-main;org.kie.modules;javax-ws-rs-api-main
org.kie.modules:org-jboss-ws-api-main;org.kie.modules;org-jboss-ws-api-main
org.kie.modules:javax-jms-api-main;org.kie.modules;javax-jms-api-main
org.kie.modules:org-apache-xml-resolver-main;org.kie.modules;org-apache-xml-resolver-main
org.kie.modules:org-apache-maven-wagon;org.kie.modules;org-apache-maven-wagon
org.kie.modules:org-jboss-as-host-controller-main;org.kie.modules;org-jboss-as-host-controller-main
org.kie.modules:org-jsoup;org.kie.modules;org-jsoup
org.kie.modules:org-jboss-resteasy-resteasy-hibernatevalidator-provider-main;org.kie.modules;org-jboss-resteasy-resteasy-hibernatevalidator-provider-main
org.kie.modules:com-sun-xml-bind-main;org.kie.modules;com-sun-xml-bind-main
org.kie.modules:org-jbpm;org.kie.modules;org-jbpm
org.kie.modules:com-sun-xml-txw2-main;org.kie.modules;com-sun-xml-txw2-main
org.kie.modules:org-jboss-as-standalone-main;org.kie.modules;org-jboss-as-standalone-main
org.kie.modules:net-sf-opencsv;org.kie.modules;net-sf-opencsv
org.kie.modules:org-jboss-as-clustering-infinispan-main;org.kie.modules;org-jboss-as-clustering-infinispan-main
org.kie.modules:org-jboss-as-jsf-injection-main;org.kie.modules;org-jboss-as-jsf-injection-main
org.kie.modules:org-antlr-main;org.kie.modules;org-antlr-main
org.kie.modules:org-apache-ws-security-main;org.kie.modules;org-apache-ws-security-main
org.kie.modules:ch-qos-logback;org.kie.modules;ch-qos-logback
org.kie.modules:org-jboss-resteasy-resteasy-cdi-main;org.kie.modules;org-jboss-resteasy-resteasy-cdi-main
org.kie.modules:org-jboss-resteasy-resteasy-jackson-provider-main;org.kie.modules;org-jboss-resteasy-resteasy-jackson-provider-main
org.kie.modules:com-sun-xsom-main;org.kie.modules;com-sun-xsom-main
org.kie.modules:org-jboss-as-configadmin-main;org.kie.modules;org-jboss-as-configadmin-main
org.kie.modules:rhino;org.kie.modules;rhino
org.kie.modules:org-jboss-as-jpa-main;org.kie.modules;org-jboss-as-jpa-main
org.kie.modules:org-jboss-jaxbintros-main;org.kie.modules;org-jboss-jaxbintros-main
org.kie.modules:org-jboss-as-osgi-web-main;org.kie.modules;org-jboss-as-osgi-web-main
org.kie.modules:javax-rmi-api-main;org.kie.modules;javax-rmi-api-main
org.kie.modules:org-apache-lucene;org.kie.modules;org-apache-lucene
org.kie.modules:org-jboss-ws-native-jbossws-native-services-main;org.kie.modules;org-jboss-ws-native-jbossws-native-services-main
org.kie.modules:org-apache-commons-codec-main;org.kie.modules;org-apache-commons-codec-main
org.consensusresearch:scrypto_2.11;org.consensusresearch;scrypto_2.11
org.kie:kie-parent-metadata;org.kie;kie-parent-metadata
com.github.xuwei-k:iarray_2.12.0-RC2;com.github.xuwei-k;iarray_2.12.0-RC2
org.drools:droolsjbpm-build-distribution;org.drools;droolsjbpm-build-distribution
net.sf.gee:g-properties;net.sf.gee;g-properties
org.drools:knowledge-api;org.drools;knowledge-api
org.drools:drools-karaf-itests-domain-model;org.drools;drools-karaf-itests-domain-model
org.jbpm:jbpm-designer-distribution-wars-cdi1.0;org.jbpm;jbpm-designer-distribution-wars-cdi1.0
org.jbpm.dashboard:jbpm-dashboard-webapp;org.jbpm.dashboard;jbpm-dashboard-webapp
org.jbpm.dashboard:jbpm-dashboard-modules;org.jbpm.dashboard;jbpm-dashboard-modules
org.jbpm.dashboard:jbpm-dashboard-distributions;org.jbpm.dashboard;jbpm-dashboard-distributions
org.jbpm.dashboard:jbpm-dashboard;org.jbpm.dashboard;jbpm-dashboard
com.gilt:gfc-semver_2.12.0-RC1;com.gilt;gfc-semver_2.12.0-RC1
com.gilt:gfc-aws-kinesis-akka_2.12.0-RC1;com.gilt;gfc-aws-kinesis-akka_2.12.0-RC1
com.gilt:gfc-aws-kinesis_2.12.0-RC1;com.gilt;gfc-aws-kinesis_2.12.0-RC1
com.gilt:gfc-aws-cloudwatch_2.12.0-RC1;com.gilt;gfc-aws-cloudwatch_2.12.0-RC1
com.github.xuwei-k:msgpack4z-core_sjs0.6_2.12.0-RC2;com.github.xuwei-k;msgpack4z-core_sjs0.6_2.12.0-RC2
com.github.xuwei-k:msgpack4z-core_2.12.0-RC2;com.github.xuwei-k;msgpack4z-core_2.12.0-RC2
com.github.xuwei-k:zeroapply-all_2.12.0-RC2;com.github.xuwei-k;zeroapply-all_2.12.0-RC2
com.github.xuwei-k:zeroapply-scalaz_2.12.0-RC2;com.github.xuwei-k;zeroapply-scalaz_2.12.0-RC2
com.github.xuwei-k:zeroapply_2.12.0-RC2;com.github.xuwei-k;zeroapply_2.12.0-RC2
com.github.xuwei-k:msgpack4z-native_sjs0.6_2.12.0-RC2;com.github.xuwei-k;msgpack4z-native_sjs0.6_2.12.0-RC2
com.github.xuwei-k:msgpack4z-native_2.12.0-RC2;com.github.xuwei-k;msgpack4z-native_2.12.0-RC2
com.mtons:mtons-shiro;com.mtons;mtons-shiro
io.fabric8.archetypes:jboss-fuse-camel-log-archetype;io.fabric8.archetypes;jboss-fuse-camel-log-archetype
id.gits:baso;id.gits;baso
io.fabric8.archetypes:jboss-fuse-camel-amq-archetype;io.fabric8.archetypes;jboss-fuse-camel-amq-archetype
org.scalatest:scalatest-app_sjs0.6_2.12.0-RC2;org.scalatest;scalatest-app_sjs0.6_2.12.0-RC2
org.scalatest:scalatest_sjs0.6_2.12.0-RC2;org.scalatest;scalatest_sjs0.6_2.12.0-RC2
com.gilt:gfc-guava_2.12.0-RC1;com.gilt;gfc-guava_2.12.0-RC1
org.scalactic:scalactic_sjs0.6_2.12.0-RC2;org.scalactic;scalactic_sjs0.6_2.12.0-RC2
org.scalatest:scalatest_2.12.0-RC2;org.scalatest;scalatest_2.12.0-RC2
org.scalatest:scalatest-app_2.12.0-RC2;org.scalatest;scalatest-app_2.12.0-RC2
org.scalactic:scalactic_2.12.0-RC2;org.scalactic;scalactic_2.12.0-RC2
ae.teletronics.peers:peers-doc;ae.teletronics.peers;peers-doc
ae.teletronics.peers:peers;ae.teletronics.peers;peers
ae.teletronics.peers:peers-demo;ae.teletronics.peers;peers-demo
ae.teletronics.peers:peers-lib;ae.teletronics.peers;peers-lib
ae.teletronics.peers:peers-gui;ae.teletronics.peers;peers-gui
org.webjars.bower:angular-tree-control;org.webjars.bower;angular-tree-control
org.webjars.npm:ng2-select;org.webjars.npm;ng2-select
org.webjars.bower:github-com-dreamerslab-jquery-actual;org.webjars.bower;github-com-dreamerslab-jquery-actual
org.webjars.bower:ng-iban;org.webjars.bower;ng-iban
com.opdar.gulosity:spring;com.opdar.gulosity;spring
com.opdar.gulosity:parse;com.opdar.gulosity;parse
org.webjars.bower:github-com-emmaguo-angular-poller;org.webjars.bower;github-com-emmaguo-angular-poller
org.scala-lang.modules:scala-async_2.12.0-RC2;org.scala-lang.modules;scala-async_2.12.0-RC2
io.fabric8:fabric8-project-bom-full;io.fabric8;fabric8-project-bom-full
org.webjars.bower:github-com-mominsamir-smDateTimeRangePicker;org.webjars.bower;github-com-mominsamir-smDateTimeRangePicker
io.github.widok:scala-js-momentjs_sjs0.6_2.11;io.github.widok;scala-js-momentjs_sjs0.6_2.11
com.qmetric:penfold-client;com.qmetric;penfold-client
com.sinnerschrader.metrics:metrics-servlets;com.sinnerschrader.metrics;metrics-servlets
com.sinnerschrader.metrics:metrics-servlet;com.sinnerschrader.metrics;metrics-servlet
com.sinnerschrader.metrics:metrics-logback;com.sinnerschrader.metrics;metrics-logback
com.sinnerschrader.metrics:metrics-log4j2;com.sinnerschrader.metrics;metrics-log4j2
com.sinnerschrader.metrics:metrics-log4j;com.sinnerschrader.metrics;metrics-log4j
com.sinnerschrader.metrics:metrics-json;com.sinnerschrader.metrics;metrics-json
com.sinnerschrader.metrics:metrics-jetty9-legacy;com.sinnerschrader.metrics;metrics-jetty9-legacy
com.sinnerschrader.metrics:metrics-jetty9;com.sinnerschrader.metrics;metrics-jetty9
com.sinnerschrader.metrics:metrics-jetty8;com.sinnerschrader.metrics;metrics-jetty8
com.sinnerschrader.metrics:metrics-jersey2;com.sinnerschrader.metrics;metrics-jersey2
com.sinnerschrader.metrics:metrics-jersey;com.sinnerschrader.metrics;metrics-jersey
com.sinnerschrader.metrics:metrics-jdbi;com.sinnerschrader.metrics;metrics-jdbi
com.sinnerschrader.metrics:metrics-httpasyncclient;com.sinnerschrader.metrics;metrics-httpasyncclient
com.sinnerschrader.metrics:metrics-httpclient;com.sinnerschrader.metrics;metrics-httpclient
com.sinnerschrader.metrics:metrics-graphite;com.sinnerschrader.metrics;metrics-graphite
com.sinnerschrader.metrics:metrics-ganglia;com.sinnerschrader.metrics;metrics-ganglia
com.sinnerschrader.metrics:metrics-ehcache;com.sinnerschrader.metrics;metrics-ehcache
com.sinnerschrader.metrics:metrics-healthchecks;com.sinnerschrader.metrics;metrics-healthchecks
com.sinnerschrader.metrics:metrics-jvm;com.sinnerschrader.metrics;metrics-jvm
com.sinnerschrader.metrics:metrics-core;com.sinnerschrader.metrics;metrics-core
com.sinnerschrader.metrics:metrics-annotation;com.sinnerschrader.metrics;metrics-annotation
com.sinnerschrader.metrics:metrics-parent;com.sinnerschrader.metrics;metrics-parent
xyz.truenight.utils:utils;xyz.truenight.utils;utils
com.github.rodbate:httpserver;com.github.rodbate;httpserver
de.felixschulze.gradle:gradle-hockeyapp-plugin;de.felixschulze.gradle;gradle-hockeyapp-plugin
com.nablarch.workflow:nablarch-workflow;com.nablarch.workflow;nablarch-workflow
com.nablarch.report:nablarch-report;com.nablarch.report;nablarch-report
com.networknt:undertow;com.networknt;undertow
com.github.xuwei-k:applybuilder_sjs0.6_2.12.0-RC2;com.github.xuwei-k;applybuilder_sjs0.6_2.12.0-RC2
com.github.xuwei-k:applybuilder_2.12.0-RC2;com.github.xuwei-k;applybuilder_2.12.0-RC2
cn.sh.ideal:agent-gradle-plugin;cn.sh.ideal;agent-gradle-plugin
com.github.scalaprops:scalaprops-all_2.12.0-RC2;com.github.scalaprops;scalaprops-all_2.12.0-RC2
com.github.scalaprops:scalaprops-gen_sjs0.6_2.12.0-RC2;com.github.scalaprops;scalaprops-gen_sjs0.6_2.12.0-RC2
com.github.scalaprops:scalaprops-core_2.12.0-RC2;com.github.scalaprops;scalaprops-core_2.12.0-RC2
com.github.scalaprops:scalaprops_2.12.0-RC2;com.github.scalaprops;scalaprops_2.12.0-RC2
com.github.scalaprops:scalaprops-scalazlaws_2.12.0-RC2;com.github.scalaprops;scalaprops-scalazlaws_2.12.0-RC2
com.github.scalaprops:scalaprops-core_sjs0.6_2.12.0-RC2;com.github.scalaprops;scalaprops-core_sjs0.6_2.12.0-RC2
com.github.scalaprops:scalaprops_sjs0.6_2.12.0-RC2;com.github.scalaprops;scalaprops_sjs0.6_2.12.0-RC2
com.github.scalaprops:scalaprops-scalazlaws_sjs0.6_2.12.0-RC2;com.github.scalaprops;scalaprops-scalazlaws_sjs0.6_2.12.0-RC2
com.github.scalaprops:scalaprops-gen_2.12.0-RC2;com.github.scalaprops;scalaprops-gen_2.12.0-RC2
org.mechio:org.mechio.client.basic;org.mechio;org.mechio.client.basic
org.mechio:org.mechio.integration.motion_speech;org.mechio;org.mechio.integration.motion_speech
org.mechio:org.mechio.integration.animation_motion;org.mechio;org.mechio.integration.animation_motion
org.mechio:org.mechio.modules.integration;org.mechio;org.mechio.modules.integration
org.mechio:org.mechio.impl.sensor;org.mechio;org.mechio.impl.sensor
org.mechio:org.mechio.api.sensor;org.mechio;org.mechio.api.sensor
org.mechio:org.mechio.modules.sensor;org.mechio;org.mechio.modules.sensor
org.mechio:org.mechio.impl.vision;org.mechio;org.mechio.impl.vision
org.mechio:org.mechio.api.vision;org.mechio;org.mechio.api.vision
org.mechio:org.mechio.modules.vision;org.mechio;org.mechio.modules.vision
org.mechio:org.mechio.impl.speechrec;org.mechio;org.mechio.impl.speechrec
com.github.redattack34:java-listener-support;com.github.redattack34;java-listener-support
org.mechio:org.mechio.api.speechrec;org.mechio;org.mechio.api.speechrec
org.mechio:org.mechio.modules.speechrec;org.mechio;org.mechio.modules.speechrec
org.mechio:org.mechio.impl.speech;org.mechio;org.mechio.impl.speech
org.mechio:org.mechio.api.speech;org.mechio;org.mechio.api.speech
org.mechio:org.mechio.modules.speech;org.mechio;org.mechio.modules.speech
org.mechio:org.mechio.impl.audio;org.mechio;org.mechio.impl.audio
org.mechio:org.mechio.api.audio;org.mechio;org.mechio.api.audio
org.mechio:org.mechio.modules.audio;org.mechio;org.mechio.modules.audio
org.mechio:org.mechio.impl.animation;org.mechio;org.mechio.impl.animation
org.mechio:org.mechio.api.animation;org.mechio;org.mechio.api.animation
org.mechio:org.mechio.modules.animation;org.mechio;org.mechio.modules.animation
org.mechio:org.mechio.impl.motion.pololu;org.mechio;org.mechio.impl.motion.pololu
org.mechio:org.mechio.impl.motion.dynamixel;org.mechio;org.mechio.impl.motion.dynamixel
org.mechio:org.mechio.impl.motion.rxtx;org.mechio;org.mechio.impl.motion.rxtx
org.mechio:org.mechio.impl.motion;org.mechio;org.mechio.impl.motion
org.mechio:org.mechio.api.motion;org.mechio;org.mechio.api.motion
org.mechio:org.mechio.modules.motion;org.mechio;org.mechio.modules.motion
org.mechio:org.mechio.modules.all;org.mechio;org.mechio.modules.all
org.mechio:org.mechio.project.root;org.mechio;org.mechio.project.root
com.zaubersoftware.gnip4j.documentation:gnip4j-documentation-site;com.zaubersoftware.gnip4j.documentation;gnip4j-documentation-site
com.zaubersoftware.gnip4j:gnip4j-http;com.zaubersoftware.gnip4j;gnip4j-http
info.hupel.fork.org.log4s:log4s_2.12.0-RC2;info.hupel.fork.org.log4s;log4s_2.12.0-RC2
org.guangwenz:akka-db-connpool_2.11;org.guangwenz;akka-db-connpool_2.11
org.jflux:org.jflux.demo.discovery;org.jflux;org.jflux.demo.discovery
org.jflux:org.jflux.spec.discovery;org.jflux;org.jflux.spec.discovery
org.jflux:org.jflux.demo.services;org.jflux;org.jflux.demo.services
org.jflux:org.jflux.spec.services;org.jflux;org.jflux.spec.services
org.jflux:org.jflux.swing.services;org.jflux;org.jflux.swing.services
org.jflux:org.jflux.spec.messaging;org.jflux;org.jflux.spec.messaging
org.jflux:org.jflux.swing.messaging;org.jflux;org.jflux.swing.messaging
