com.github.gfx.ribbonizer:plugin;com.github.gfx.ribbonizer;plugin
com.stormpath.shiro:stormpath-shiro-spring-boot-starter;com.stormpath.shiro;stormpath-shiro-spring-boot-starter
com.commercetools.sunrise.payment:nopsp-adapter;com.commercetools.sunrise.payment;nopsp-adapter
com.commercetools.sunrise.payment:payone-adapter;com.commercetools.sunrise.payment;payone-adapter
com.commercetools.sunrise.payment:common;com.commercetools.sunrise.payment;common
com.commercetools.sunrise.payment:commercetools-sunrise-payment;com.commercetools.sunrise.payment;commercetools-sunrise-payment
org.knowhowlab.osgi:sigar;org.knowhowlab.osgi;sigar
com.pusher:java-websocket;com.pusher;java-websocket
org.webjars.bower:angular-1.1.6;org.webjars.bower;angular-1.1.6
org.hawkular.apm:hawkular-apm-tests-app-vertx-opentracing;org.hawkular.apm;hawkular-apm-tests-app-vertx-opentracing
com.github.mstream-trader:trader;com.github.mstream-trader;trader
com.github.shynixn:bungeesignminigamelib;com.github.shynixn;bungeesignminigamelib
io.shaka:scala-embedded-jetty_2.12;io.shaka;scala-embedded-jetty_2.12
io.shaka:scala-embedded-jetty_2.11;io.shaka;scala-embedded-jetty_2.11
com.github.cjmx:cjmx_2.11;com.github.cjmx;cjmx_2.11
io.github.qwefgh90:jSearch;io.github.qwefgh90;jSearch
com.softwaremill.clippy:plugin-sbt-1426142487;com.softwaremill.clippy;plugin-sbt
com.github.turakar:signal4j;com.github.turakar;signal4j
com.github.mstream-trader:commons-ratpack;com.github.mstream-trader;commons-ratpack
com.github.mstream-trader:commons-ratpack-integration-tests;com.github.mstream-trader;commons-ratpack-integration-tests
com.github.mstream-trader:commons-ratpack-parent;com.github.mstream-trader;commons-ratpack-parent
org.webjars.npm:react-progress-button;org.webjars.npm;react-progress-button
io.reactivex:rxjava-reactive-streams;io.reactivex;rxjava-reactive-streams
io.amient.affinity:testing_kafka_0.10;io.amient.affinity;testing_kafka_0.10
io.amient.affinity:testing_core;io.amient.affinity;testing_core
io.amient.affinity:example-minimal-setup;io.amient.affinity;example-minimal-setup
io.amient.affinity:example-distributed-graph;io.amient.affinity;example-distributed-graph
io.amient.affinity:kafka_0.10;io.amient.affinity;kafka_0.10
io.amient.affinity:core;io.amient.affinity;core
io.maelstorm:maelstorm;io.maelstorm;maelstorm
org.webjars.npm:timeshift-js;org.webjars.npm;timeshift-js
org.webjars.bower:angular-uuid;org.webjars.bower;angular-uuid
org.webjars.bower:ng-file-upload;org.webjars.bower;ng-file-upload
org.devopology:org.devopology.tools;org.devopology;org.devopology.tools
com.github.yoharaja:library;com.github.yoharaja;library
org.atmosphere.samples:atmosphere-multirequest;org.atmosphere.samples;atmosphere-multirequest
io.corbel:events;io.corbel;events
com.flipkart:util-http_2.11;com.flipkart;util-http_2.11
org.webjars.bower:i18n-phonenumbers;org.webjars.bower;i18n-phonenumbers
io.thekraken:grok;io.thekraken;grok
net.jangaroo.com.sencha:ext-js-pkg-gpl;net.jangaroo.com.sencha;ext-js-pkg-gpl
com.baomidou:mybatisplus-maven-plugin;com.baomidou;mybatisplus-maven-plugin
com.xiaomi.infra.galaxy:galaxy-talos-mapreduce;com.xiaomi.infra.galaxy;galaxy-talos-mapreduce
com.xiaomi.infra.galaxy:galaxy-talos-spark;com.xiaomi.infra.galaxy;galaxy-talos-spark
com.xiaomi.infra.galaxy:galaxy-talos-storm;com.xiaomi.infra.galaxy;galaxy-talos-storm
io.corbel:event-bus;io.corbel;event-bus
io.corbel.lib:queries;io.corbel.lib;queries
io.corbel.lib:queries-api;io.corbel.lib;queries-api
io.corbel.lib:queries-mongo;io.corbel.lib;queries-mongo
io.corbel.lib:mongodb;io.corbel.lib;mongodb
io.corbel.lib:config;io.corbel.lib;config
io.corbel.lib:cli;io.corbel.lib;cli
com.sdklite:gson;com.sdklite;gson
org.openlmis.mobile:openlmis-mobile-core;org.openlmis.mobile;openlmis-mobile-core
com.springml:spark-sftp_2.10;com.springml;spark-sftp_2.10
com.cloudera.sparkts:sparkts;com.cloudera.sparkts;sparkts
com.github.kschuetz:compound-sort-helpers_2.10;com.github.kschuetz;compound-sort-helpers_2.10
com.github.kschuetz:compound-sort-helpers_2.11;com.github.kschuetz;compound-sort-helpers_2.11
com.github.kschuetz:compound-sort-helpers_2.12;com.github.kschuetz;compound-sort-helpers_2.12
com.github.dibyaranjan:converter-infra;com.github.dibyaranjan;converter-infra
org.jooby:jooby-assets-jsass;org.jooby;jooby-assets-jsass
org.revapi:revapi-bom;org.revapi;revapi-bom
com.hacklanta:lift-formality_2.11;com.hacklanta;lift-formality_2.11
org.webjars.bower:github-com-thatisuday-ng-image-gallery;org.webjars.bower;github-com-thatisuday-ng-image-gallery
com.finovertech:factern-api-client;com.finovertech;factern-api-client
me.lyh:parquet-avro-extra_2.10;me.lyh;parquet-avro-extra_2.10
com.linkedin.urls:url-detector;com.linkedin.urls;url-detector
org.tpolecat:doobie-contrib-scalatest-cats_2.12;org.tpolecat;doobie-contrib-scalatest-cats_2.12
org.tpolecat:doobie-contrib-specs2_2.12;org.tpolecat;doobie-contrib-specs2_2.12
org.tpolecat:doobie-contrib-scalatest_2.12;org.tpolecat;doobie-contrib-scalatest_2.12
org.tpolecat:doobie-contrib-specs2_2.11;org.tpolecat;doobie-contrib-specs2_2.11
org.tpolecat:doobie-contrib-scalatest_2.11;org.tpolecat;doobie-contrib-scalatest_2.11
org.tpolecat:doobie-contrib-scalatest-cats_2.11;org.tpolecat;doobie-contrib-scalatest-cats_2.11
com.googlecode.cedar-common:cedar-build;com.googlecode.cedar-common;cedar-build
edu.pitt.dbmi.nlp:NobleTools;edu.pitt.dbmi.nlp;NobleTools
de.hpi.kddm:rar-mfs_2.11;de.hpi.kddm;rar-mfs_2.11
com.github.jmarkstar:ubl4sunatbinding;com.github.jmarkstar;ubl4sunatbinding
com.aapbd.maventest:maventest;com.aapbd.maventest;maventest
org.webjars.bower:ember;org.webjars.bower;ember
org.xdty.webdav:webdav;org.xdty.webdav;webdav
com.tecsisa:constructr-coordination-demo_2.11;com.tecsisa;constructr-coordination-demo_2.11
com.rongjih:rj-jwt4j;com.rongjih;rj-jwt4j
org.rapidpm.microservice:rapidpm-microservice-modules-persistence;org.rapidpm.microservice;rapidpm-microservice-modules-persistence
org.rapidpm.microservice:rapidpm-microservice-modules-optionals-filesystem-memory;org.rapidpm.microservice;rapidpm-microservice-modules-optionals-filesystem-memory
org.rapidpm.microservice:rapidpm-microservice-modules-optionals-filesystem-base;org.rapidpm.microservice;rapidpm-microservice-modules-optionals-filesystem-base
org.rapidpm.microservice:rapidpm-microservice-modules-optionals-filesystem;org.rapidpm.microservice;rapidpm-microservice-modules-optionals-filesystem
com.github.nikita-volkov:djdbc;com.github.nikita-volkov;djdbc
org.dashbuilder:dashbuilder-hibernate-validator;org.dashbuilder;dashbuilder-hibernate-validator
org.webjars.npm:pure-render-decorator;org.webjars.npm;pure-render-decorator
org.rapidpm.proxybuilder:rapidpm-proxybuilder-modules-static-runtime;org.rapidpm.proxybuilder;rapidpm-proxybuilder-modules-static-runtime
org.webjars.npm:blueprintjs__table;org.webjars.npm;blueprintjs__table
net.oneandone.maven:ono-extra-enforcer-rules;net.oneandone.maven;ono-extra-enforcer-rules
com.yashoid:jsonparsable;com.yashoid;jsonparsable
uk.ac.horizon.artcodes:artcodes-scanner;uk.ac.horizon.artcodes;artcodes-scanner
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-models_2.12;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-models_2.12
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-client_2.12;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-client_2.12
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_4-java-client_2.11;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_4-java-client_2.11
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_3-java-client_2.11;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_3-java-client_2.11
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-client_2.11;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-client_2.11
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-models_2.11;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-models_2.11
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_5-java-client_2.11;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_5-java-client_2.11
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_3-java-client_2.10;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_3-java-client_2.10
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_4-java-client_2.10;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_4-java-client_2.10
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-client_2.10;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-client_2.10
com.commercetools.sdk.jvm.scala-add-ons:commercetools-scala-models_2.10;com.commercetools.sdk.jvm.scala-add-ons;commercetools-scala-models_2.10
com.commercetools.sdk.jvm.scala-add-ons:commercetools-play-2_2-java-client_2.10;com.commercetools.sdk.jvm.scala-add-ons;commercetools-play-2_2-java-client_2.10
net.kozelka.maven:gitsite-maven-plugin;net.kozelka.maven;gitsite-maven-plugin
com.sdklite:utils;com.sdklite;utils
org.polago.maven.shared.filtering:escape-unicode-file-filter;org.polago.maven.shared.filtering;escape-unicode-file-filter
se.vgregion.javg.maven.plugins:javg-template-plugin;se.vgregion.javg.maven.plugins;javg-template-plugin
se.vgregion.javg.maven.plugins:maven-plugins;se.vgregion.javg.maven.plugins;maven-plugins
se.vgregion.javg.maven.archetypes:javg-minimal-archetype;se.vgregion.javg.maven.archetypes;javg-minimal-archetype
se.vgregion.javg.maven.archetypes:maven-archetypes;se.vgregion.javg.maven.archetypes;maven-archetypes
se.vgregion.javg.tools:tools;se.vgregion.javg.tools;tools
se.vgregion.javg:javg;se.vgregion.javg;javg
org.scalikejdbc:csvquery_2.10;org.scalikejdbc;csvquery_2.10
org.webjars.npm:github-com-kswedberg-jquery-smooth-scroll;org.webjars.npm;github-com-kswedberg-jquery-smooth-scroll
edu.mit.ll:mitie;edu.mit.ll;mitie
io.github.chikei:swagger2markup-index-ext;io.github.chikei;swagger2markup-index-ext
cn.renyuzhuo.rlog:rlog;cn.renyuzhuo.rlog;rlog
cn.renyuzhuo.rjson:rjson;cn.renyuzhuo.rjson;rjson
cn.renyuzhuo.rlib:rlib;cn.renyuzhuo.rlib;rlib
com.cottsoft.thrift.framework:thrift-framework;com.cottsoft.thrift.framework;thrift-framework
com.yy:notification-center-android;com.yy;notification-center-android
cn.net.ds:library-zookeeperconfig;cn.net.ds;library-zookeeperconfig
lv.ailab.morphology:lv-ner-model;lv.ailab.morphology;lv-ner-model
org.atnos:eff-cats_2.12;org.atnos;eff-cats_2.12
org.atnos:eff-cats_sjs0.6_2.12;org.atnos;eff-cats_sjs0.6_2.12
org.atnos:eff-cats-scalaz_2.12;org.atnos;eff-cats-scalaz_2.12
org.atnos:eff-cats-monix_sjs0.6_2.12;org.atnos;eff-cats-monix_sjs0.6_2.12
org.atnos:eff-cats-monix_2.12;org.atnos;eff-cats-monix_2.12
org.freedesktop:wayland-server;org.freedesktop;wayland-server
org.freedesktop:wayland-client;org.freedesktop;wayland-client
org.freedesktop:generator;org.freedesktop;generator
org.freedesktop:stubs-client;org.freedesktop;stubs-client
org.freedesktop:stubs-server;org.freedesktop;stubs-server
org.freedesktop:stubs-shared;org.freedesktop;stubs-shared
org.freedesktop:wayland-java-bindings;org.freedesktop;wayland-java-bindings
org.freedesktop:jaccall.generator;org.freedesktop;jaccall.generator
org.freedesktop:jaccall.runtime;org.freedesktop;jaccall.runtime
org.freedesktop:jaccall;org.freedesktop;jaccall
org.xeustechnologies:jcl-web;org.xeustechnologies;jcl-web
org.xeustechnologies:jcl-spring;org.xeustechnologies;jcl-spring
org.xeustechnologies:jcl-core;org.xeustechnologies;jcl-core
org.xeustechnologies:jcl;org.xeustechnologies;jcl
org.hammerlab:args4s_2.10;org.hammerlab;args4s_2.10
com.hack23.cia:maven-cia-skin;com.hack23.cia;maven-cia-skin
com.github.igor-suhorukov:janino-commons-compiler-ecj;com.github.igor-suhorukov;janino-commons-compiler-ecj
org.bitbucket.pshirshov:cassandra_2.11;org.bitbucket.pshirshov;cassandra_2.11
org.bitbucket.pshirshov:json_2.11;org.bitbucket.pshirshov;json_2.11
org.bitbucket.pshirshov:app-skeleton_2.11;org.bitbucket.pshirshov;app-skeleton_2.11
org.bitbucket.pshirshov:rest-api_2.11;org.bitbucket.pshirshov;rest-api_2.11
org.bitbucket.pshirshov:commons-config_2.11;org.bitbucket.pshirshov;commons-config_2.11
org.bitbucket.pshirshov:commons-formats_2.11;org.bitbucket.pshirshov;commons-formats_2.11
org.bitbucket.pshirshov:commons-cdi_2.11;org.bitbucket.pshirshov;commons-cdi_2.11
org.bitbucket.pshirshov:akka-cdi_2.11;org.bitbucket.pshirshov;akka-cdi_2.11
org.bitbucket.pshirshov:failures_2.11;org.bitbucket.pshirshov;failures_2.11
org.bitbucket.pshirshov:commons-test_2.11;org.bitbucket.pshirshov;commons-test_2.11
ch.sourcepond.utils:podescoin-impl;ch.sourcepond.utils;podescoin-impl
com.richodemus.dropwizard-jwt:dropwizard-jwt;com.richodemus.dropwizard-jwt;dropwizard-jwt
com.gilt:gfc-semver_2.10;com.gilt;gfc-semver_2.10
com.gilt:gfc-timeuuid_2.10;com.gilt;gfc-timeuuid_2.10
com.gilt:gfc-semver_2.12;com.gilt;gfc-semver_2.12
com.gilt:gfc-timeuuid_2.12;com.gilt;gfc-timeuuid_2.12
com.gilt:gfc-timeuuid_2.11;com.gilt;gfc-timeuuid_2.11
com.gilt:gfc-semver_2.11;com.gilt;gfc-semver_2.11
com.github.benhutchison:hoard_sjs0.6_2.11;com.github.benhutchison;hoard_sjs0.6_2.11
