org.neo4j:parent-central;org.neo4j;parent-central
it.tidalwave.bluebill:it-tidalwave-bluebill-stats-legacyweb;it.tidalwave.bluebill;it-tidalwave-bluebill-stats-legacyweb
org.codehaus.sonar:sonar-batch-maven-compat;org.codehaus.sonar;sonar-batch-maven-compat
org.scalariform:scalariform_2.9.1-SNAPSHOT;org.scalariform;scalariform_2.9.1-SNAPSHOT
org.scalariform:scalariform_2.8.2-SNAPSHOT;org.scalariform;scalariform_2.8.2-SNAPSHOT
it.tidalwave.bluebill:it-tidalwave-bluebill-stats-ui-vaadin;it.tidalwave.bluebill;it-tidalwave-bluebill-stats-ui-vaadin
de.javakaffee.msm:memcached-session-manager-parent;de.javakaffee.msm;memcached-session-manager-parent
org.jglobus:JGlobus-Core;org.jglobus;JGlobus-Core
net.databinder:unfiltered-web-toolkit_2.9.0-1;net.databinder;unfiltered-web-toolkit_2.9.0-1
net.databinder:unfiltered-web-toolkit_2.9.0;net.databinder;unfiltered-web-toolkit_2.9.0
net.databinder:unfiltered-web-toolkit_2.8.1;net.databinder;unfiltered-web-toolkit_2.8.1
net.databinder:unfiltered-web-toolkit_2.8.0;net.databinder;unfiltered-web-toolkit_2.8.0
net.databinder:pamflet-app_2.8.1;net.databinder;pamflet-app_2.8.1
net.databinder:pamflet-library_2.8.1;net.databinder;pamflet-library_2.8.1
net.databinder:conscript-plugin_2.8.1;net.databinder;conscript-plugin_2.8.1
com.github.mcpat.apistubs:cdc-1.1.2-stub;com.github.mcpat.apistubs;cdc-1.1.2-stub
com.github.mcpat.apistubs:cldc-1.1-stub;com.github.mcpat.apistubs;cldc-1.1-stub
org.openengsb.itests:openengsb-itests;org.openengsb.itests;openengsb-itests
org.openengsb.ui:openengsb-ui-admin;org.openengsb.ui;openengsb-ui-admin
org.openengsb.ui:openengsb-ui-common;org.openengsb.ui;openengsb-ui-common
org.openengsb.connector:openengsb-connector-example;org.openengsb.connector;openengsb-connector-example
org.openengsb.connector:openengsb-connector-provided;org.openengsb.connector;openengsb-connector-provided
org.openengsb.connector:openengsb-connector-memoryauditing;org.openengsb.connector;openengsb-connector-memoryauditing
org.openengsb.domain:openengsb-domain-provided;org.openengsb.domain;openengsb-domain-provided
org.openengsb.domain:openengsb-domain-auditing;org.openengsb.domain;openengsb-domain-auditing
org.openengsb.ports:openengsb-ports-ws;org.openengsb.ports;openengsb-ports-ws
org.openengsb.ports:openengsb-ports-jms;org.openengsb.ports;openengsb-ports-jms
org.openengsb.infrastructure:openengsb-infrastructure-jpa;org.openengsb.infrastructure;openengsb-infrastructure-jpa
org.openengsb.infrastructure:openengsb-infrastructure-jms;org.openengsb.infrastructure;openengsb-infrastructure-jms
org.openengsb.core:openengsb-core-console;org.openengsb.core;openengsb-core-console
org.openengsb.core:openengsb-core-edb;org.openengsb.core;openengsb-core-edb
org.openengsb.core:openengsb-core-workflow;org.openengsb.core;openengsb-core-workflow
org.openengsb.domain:openengsb-domain-example;org.openengsb.domain;openengsb-domain-example
org.openengsb.core:openengsb-core-services;org.openengsb.core;openengsb-core-services
org.openengsb.core:openengsb-core-security;org.openengsb.core;openengsb-core-security
org.openengsb.core:openengsb-core-persistence;org.openengsb.core;openengsb-core-persistence
org.openengsb.core:openengsb-core-common;org.openengsb.core;openengsb-core-common
org.openengsb.core:openengsb-core-test;org.openengsb.core;openengsb-core-test
org.openengsb.core:openengsb-core-api;org.openengsb.core;openengsb-core-api
org.openengsb.core:openengsb-core-parent;org.openengsb.core;openengsb-core-parent
org.openengsb.docs:openengsb-docs-homepage;org.openengsb.docs;openengsb-docs-homepage
org.openengsb.docs:openengsb-docs-manual;org.openengsb.docs;openengsb-docs-manual
org.openengsb.docs:openengsb-docs-examples;org.openengsb.docs;openengsb-docs-examples
org.openengsb.docs:openengsb-docs-skin;org.openengsb.docs;openengsb-docs-skin
org.openengsb.docs:openengsb-docs-parent;org.openengsb.docs;openengsb-docs-parent
org.openengsb.branding:openengsb-branding-shell;org.openengsb.branding;openengsb-branding-shell
org.openengsb.branding:openengsb-branding-parent;org.openengsb.branding;openengsb-branding-parent
org.openengsb.build:openengsb-bundle-settings;org.openengsb.build;openengsb-bundle-settings
org.openengsb.build:shared-plugin-settings;org.openengsb.build;shared-plugin-settings
org.apache.james:james-server-ldap;org.apache.james;james-server-ldap
org.apache.james:james-server-file;org.apache.james;james-server-file
org.apache.james:james-server-jdbc;org.apache.james;james-server-jdbc
org.apache.james:james-server-jcr;org.apache.james;james-server-jcr
org.apache.james:james-server-jpa;org.apache.james;james-server-jpa
org.browsermob:browsermob-vnc;org.browsermob;browsermob-vnc
org.apache.karaf:tests;org.apache.karaf;tests
org.apache.karaf.deployer:org.apache.karaf.deployer.war;org.apache.karaf.deployer;org.apache.karaf.deployer.war
de.sciss:wolkenpumpe_2.9.0-1;de.sciss;wolkenpumpe_2.9.0-1
de.sciss:scalacolliderswing_2.9.0-1;de.sciss;scalacolliderswing_2.9.0-1
de.sciss:scalainterpreterpane_2.9.0-1;de.sciss;scalainterpreterpane_2.9.0-1
org.metawidget.modules.faces:metawidget-facesxml;org.metawidget.modules.faces;metawidget-facesxml
com.mojolly.inflector:scala-inflector_2.9.0-1;com.mojolly.inflector;scala-inflector_2.9.0-1
com.mojolly.logback:logback-akka_2.9.0-1;com.mojolly.logback;logback-akka_2.9.0-1
net.stickycode.configured:sticky-configured-spring25;net.stickycode.configured;sticky-configured-spring25
net.stickycode.component:sticky-component-spring25;net.stickycode.component;sticky-component-spring25
org.xml-cml:jumbo;org.xml-cml;jumbo
org.objectweb.joram:mom-amqp;org.objectweb.joram;mom-amqp
org.xml-cml:jumbo-testutil;org.xml-cml;jumbo-testutil
org.xml-cml:cmlxom;org.xml-cml;cmlxom
org.softee:pojo-mbean;org.softee;pojo-mbean
net.databinder:giter8-plugin;net.databinder;giter8-plugin
net.databinder:giter8-project_2.8.1;net.databinder;giter8-project_2.8.1
net.databinder:giter8_2.8.1;net.databinder;giter8_2.8.1
net.databinder:giter8-library_2.7.7;net.databinder;giter8-library_2.7.7
org.bitbucket.deepdiff:pom;org.bitbucket.deepdiff;pom
net.databinder:conscript_2.9.0-1;net.databinder;conscript_2.9.0-1
net.databinder:conscript-root_2.8.1;net.databinder;conscript-root_2.8.1
