org.neo4j:parent-central;org.neo4j;parent-central
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-json-rpc;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-json-rpc
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-rest-cxf;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-rest-cxf
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-soap-cxf;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-soap-cxf
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-common;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-common
org.objectweb.fractal.bf.binjiu.runtime:device;org.objectweb.fractal.bf.binjiu.runtime;device
org.objectweb.fractal.bf.binjiu.runtime:controlpoint;org.objectweb.fractal.bf.binjiu.runtime;controlpoint
org.objectweb.fractal.bf.binjiu.runtime:parent;org.objectweb.fractal.bf.binjiu.runtime;parent
org.objectweb.fractal.bf.binjiu.description:java2upnp;org.objectweb.fractal.bf.binjiu.description;java2upnp
org.objectweb.fractal.bf.binjiu.description:upnp2java;org.objectweb.fractal.bf.binjiu.description;upnp2java
org.objectweb.fractal.bf.binjiu.description:model;org.objectweb.fractal.bf.binjiu.description;model
org.objectweb.fractal.bf.binjiu.description:parent;org.objectweb.fractal.bf.binjiu.description;parent
org.objectweb.fractal.bf.binjiu:parent;org.objectweb.fractal.bf.binjiu;parent
org.objectweb.fractal.bf:fractal-bf-osgi-adl;org.objectweb.fractal.bf;fractal-bf-osgi-adl
org.objectweb.fractal.bf:fractal-bf-osgi-core;org.objectweb.fractal.bf;fractal-bf-osgi-core
org.objectweb.fractal.bf:fractal-bf-osgi;org.objectweb.fractal.bf;fractal-bf-osgi
org.objectweb.fractal.bf.itests:adl-rmi;org.objectweb.fractal.bf.itests;adl-rmi
org.objectweb.fractal.bf:fractal-bf-adl;org.objectweb.fractal.bf;fractal-bf-adl
org.objectweb.fractal.bf.itests:core-rmi;org.objectweb.fractal.bf.itests;core-rmi
org.objectweb.fractal.bf.itests:fractal-bf-itests-parent;org.objectweb.fractal.bf.itests;fractal-bf-itests-parent
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-rmi;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-rmi
org.objectweb.fractal.bf.connectors:fractal-bf-connectors-parent;org.objectweb.fractal.bf.connectors;fractal-bf-connectors-parent
org.objectweb.fractal.bf.testing:fractal-bf-testing-fixtures-tinfi;org.objectweb.fractal.bf.testing;fractal-bf-testing-fixtures-tinfi
org.objectweb.fractal.bf.testing:fractal-bf-testing-fixtures-juliac;org.objectweb.fractal.bf.testing;fractal-bf-testing-fixtures-juliac
org.objectweb.fractal.bf.testing:fractal-bf-testing-harness;org.objectweb.fractal.bf.testing;fractal-bf-testing-harness
org.objectweb.fractal.bf:fractal-bf-core;org.objectweb.fractal.bf;fractal-bf-core
org.objectweb.fractal.bf.testing:fractal-bf-testing-fixtures;org.objectweb.fractal.bf.testing;fractal-bf-testing-fixtures
org.objectweb.fractal.bf.testing:fractal-bf-testing-parent;org.objectweb.fractal.bf.testing;fractal-bf-testing-parent
org.objectweb.fractal.bf:fractal-bf-parent;org.objectweb.fractal.bf;fractal-bf-parent
net.thegodcode:highchair_2.8.0;net.thegodcode;highchair_2.8.0
net.thegodcode:highchair-datastore_2.8.0;net.thegodcode;highchair-datastore_2.8.0
net.thegodcode:highchair-remote_2.8.0;net.thegodcode;highchair-remote_2.8.0
net.thegodcode:highchair-spec_2.8.0;net.thegodcode;highchair-spec_2.8.0
net.thegodcode:highchair-util_2.8.0;net.thegodcode;highchair-util_2.8.0
net.thegodcode:highchair_2.8.1;net.thegodcode;highchair_2.8.1
net.thegodcode:highchair-datastore_2.8.1;net.thegodcode;highchair-datastore_2.8.1
net.thegodcode:highchair-remote_2.8.1;net.thegodcode;highchair-remote_2.8.1
net.thegodcode:highchair-spec_2.8.1;net.thegodcode;highchair-spec_2.8.1
net.thegodcode:highchair-util_2.8.1;net.thegodcode;highchair-util_2.8.1
net.thegodcode:highchair_2.9.0;net.thegodcode;highchair_2.9.0
net.thegodcode:highchair-datastore_2.9.0;net.thegodcode;highchair-datastore_2.9.0
net.thegodcode:highchair-remote_2.9.0;net.thegodcode;highchair-remote_2.9.0
net.thegodcode:highchair-spec_2.9.0;net.thegodcode;highchair-spec_2.9.0
net.thegodcode:highchair-util_2.9.0;net.thegodcode;highchair-util_2.9.0
net.thegodcode:highchair_2.9.0-1;net.thegodcode;highchair_2.9.0-1
net.thegodcode:highchair-datastore_2.9.0-1;net.thegodcode;highchair-datastore_2.9.0-1
net.thegodcode:highchair-remote_2.9.0-1;net.thegodcode;highchair-remote_2.9.0-1
net.thegodcode:highchair-spec_2.9.0-1;net.thegodcode;highchair-spec_2.9.0-1
net.thegodcode:highchair-util_2.9.0-1;net.thegodcode;highchair-util_2.9.0-1
com.hack23.cia:template-component-service;com.hack23.cia;template-component-service
com.hack23.cia:service.external.itsyourparliament;com.hack23.cia;service.external.itsyourparliament
com.hack23.cia:model.external.itsyourparliament;com.hack23.cia;model.external.itsyourparliament
com.hack23.cia:model.external.itsyourparliament.votes.impl;com.hack23.cia;model.external.itsyourparliament.votes.impl
com.hack23.cia:model.external.itsyourparliament.voteinfo.impl;com.hack23.cia;model.external.itsyourparliament.voteinfo.impl
com.hack23.cia:model.external.itsyourparliament.mepinfo.impl;com.hack23.cia;model.external.itsyourparliament.mepinfo.impl
com.hack23.cia:model.external.itsyourparliament.countryinfo.impl;com.hack23.cia;model.external.itsyourparliament.countryinfo.impl
com.hack23.cia:model.external.itsyourparliament.countries.impl;com.hack23.cia;model.external.itsyourparliament.countries.impl
com.mongodb.casbah:casbah_2.8.0;com.mongodb.casbah;casbah_2.8.0
com.mongodb.casbah:casbah-gridfs_2.8.0;com.mongodb.casbah;casbah-gridfs_2.8.0
com.mongodb.casbah:casbah-core_2.8.0;com.mongodb.casbah;casbah-core_2.8.0
com.mongodb.casbah:casbah-query_2.8.0;com.mongodb.casbah;casbah-query_2.8.0
com.mongodb.casbah:casbah-commons_2.8.0;com.mongodb.casbah;casbah-commons_2.8.0
de.johoop:findbugs4sbt_2.9.0-1;de.johoop;findbugs4sbt_2.9.0-1
com.mongodb.casbah:casbah_2.9.0-1;com.mongodb.casbah;casbah_2.9.0-1
com.mongodb.casbah:casbah-gridfs_2.9.0-1;com.mongodb.casbah;casbah-gridfs_2.9.0-1
com.mongodb.casbah:casbah-core_2.9.0-1;com.mongodb.casbah;casbah-core_2.9.0-1
com.mongodb.casbah:casbah-query_2.9.0-1;com.mongodb.casbah;casbah-query_2.9.0-1
com.mongodb.casbah:casbah-commons_2.9.0-1;com.mongodb.casbah;casbah-commons_2.9.0-1
com.mongodb.casbah:casbah_2.8.1;com.mongodb.casbah;casbah_2.8.1
com.mongodb.casbah:casbah-gridfs_2.8.1;com.mongodb.casbah;casbah-gridfs_2.8.1
com.mongodb.casbah:casbah-core_2.8.1;com.mongodb.casbah;casbah-core_2.8.1
com.mongodb.casbah:casbah-query_2.8.1;com.mongodb.casbah;casbah-query_2.8.1
com.mongodb.casbah:casbah-commons_2.8.1;com.mongodb.casbah;casbah-commons_2.8.1
org.scala-tools.testing:scalacheck_2.9.0-1;org.scala-tools.testing;scalacheck_2.9.0-1
org.codehaus.sonar-plugins:sonar-jacoco-plugin;org.codehaus.sonar-plugins;sonar-jacoco-plugin
org.scala-tools.testing:specs_2.9.0-1;org.scala-tools.testing;specs_2.9.0-1
org.mortbay.jetty:example-async-rest-webapp;org.mortbay.jetty;example-async-rest-webapp
org.mortbay.jetty:reverse-http-server;org.mortbay.jetty;reverse-http-server
org.mortbay.jetty:jetty-setuid-test;org.mortbay.jetty;jetty-setuid-test
org.mortbay.jetty:jetty-integration-tests;org.mortbay.jetty;jetty-integration-tests
org.jvnet.hudson.main:hudson-maven;org.jvnet.hudson.main;hudson-maven
nl.ivonet:beanunit;nl.ivonet;beanunit
com.weiglewilczek.sbteclipse:sbteclipse_2.9.0-1;com.weiglewilczek.sbteclipse;sbteclipse_2.9.0-1
org.apache.mahout:mahout-utils;org.apache.mahout;mahout-utils
org.apache.mahout:mahout-taste-webapp;org.apache.mahout;mahout-taste-webapp
org.apache.mahout:mahout-eclipse-support;org.apache.mahout;mahout-eclipse-support
org.imixs.workflow:imixs-workflow-xml;org.imixs.workflow;imixs-workflow-xml
org.imixs.workflow:imixs-workflow-api;org.imixs.workflow;imixs-workflow-api
com.github.philcali:library_2.7.7;com.github.philcali;library_2.7.7
com.github.philcali:scalendar_2.7.7;com.github.philcali;scalendar_2.7.7
com.github.philcali:implicits_2.8.0;com.github.philcali;implicits_2.8.0
com.github.philcali:library_2.8.0;com.github.philcali;library_2.8.0
com.github.philcali:implicits_2.8.1;com.github.philcali;implicits_2.8.1
com.github.philcali:library_2.8.1;com.github.philcali;library_2.8.1
com.github.philcali:implicits_2.9.0;com.github.philcali;implicits_2.9.0
com.github.philcali:library_2.9.0;com.github.philcali;library_2.9.0
com.googlecode.mavenfilesync:maven-filesync-plugin;com.googlecode.mavenfilesync;maven-filesync-plugin
com.weiglewilczek.sbteclipse:sbteclipse_2.8.1;com.weiglewilczek.sbteclipse;sbteclipse_2.8.1
org.easyb:easyb-plugin-xmlunit;org.easyb;easyb-plugin-xmlunit
com.zaubersoftware.maven.skins:maven-zauber-skin;com.zaubersoftware.maven.skins;maven-zauber-skin
it.tidalwave.thesefoolishthings:it-tidalwave-android-awt;it.tidalwave.thesefoolishthings;it-tidalwave-android-awt
com.mongodb.casbah:casbah-dynamic_2.9.0-1;com.mongodb.casbah;casbah-dynamic_2.9.0-1
com.ovea:virtual-resources;com.ovea;virtual-resources
org.graphstream:scalags;org.graphstream;scalags
com.googlecode.rapid-framework:rapid-core;com.googlecode.rapid-framework;rapid-core
com.googlecode.rapid-framework:parent;com.googlecode.rapid-framework;parent
com.googlecode.reflective:reflective_2.9.0;com.googlecode.reflective;reflective_2.9.0
org.jpatterns:jpatterns;org.jpatterns;jpatterns
org.mule.examples:mule-example-loanbroker-esb;org.mule.examples;mule-example-loanbroker-esb
org.mule.modules:mule-module-acegi;org.mule.modules;mule-module-acegi
com.recursivity:recursivity-jpa_2.9.0-1;com.recursivity;recursivity-jpa_2.9.0-1
org.jvnet.hudson.plugins:project-health-report;org.jvnet.hudson.plugins;project-health-report
org.specs2:specs2-scalaz-core_2.9.0-1;org.specs2;specs2-scalaz-core_2.9.0-1
org.ow2.weblab.service:folder-crawler-service;org.ow2.weblab.service;folder-crawler-service
nl.cloudfarming.client:lib-hsqldb;nl.cloudfarming.client;lib-hsqldb
org.mortbay.jetty:jsp-impl;org.mortbay.jetty;jsp-impl
com.sourceallies.beanoh:beanoh;com.sourceallies.beanoh;beanoh
org.hrodberaht.inject.extension:tdd;org.hrodberaht.inject.extension;tdd
net.ju-n.bonita.connectors:bonita-qrcode-connector;net.ju-n.bonita.connectors;bonita-qrcode-connector
it.tidalwave.bluebill:it-tidalwave-android-org-openrdf-sesame-model;it.tidalwave.bluebill;it-tidalwave-android-org-openrdf-sesame-model
it.tidalwave.bluebill:it-tidalwave-android-it-tidalwave-semantic-io;it.tidalwave.bluebill;it-tidalwave-android-it-tidalwave-semantic-io
it.tidalwave.bluebill:it-tidalwave-bluebill-mobile;it.tidalwave.bluebill;it-tidalwave-bluebill-mobile
org.mulgara:mrg;org.mulgara;mrg
com.github.jsuereth.scala-arm:scala-arm_2.9.0;com.github.jsuereth.scala-arm;scala-arm_2.9.0
org.apache.myfaces.shared:myfaces-shared-impl;org.apache.myfaces.shared;myfaces-shared-impl
com.jhickman:gxt-uibinder;com.jhickman;gxt-uibinder
com.github.taksan:native-tray-adapter;com.github.taksan;native-tray-adapter
org.openengsb.connector:openengsb-connector-promreport;org.openengsb.connector;openengsb-connector-promreport
org.openengsb.connector:openengsb-connector-plaintextreport;org.openengsb.connector;openengsb-connector-plaintextreport
org.openengsb.connector:openengsb-connector-trac;org.openengsb.connector;openengsb-connector-trac
org.ancoron.javaee:sudo-glassfish-3.1;org.ancoron.javaee;sudo-glassfish-3.1
org.jstryker:jstryker;org.jstryker;jstryker
org.ancoron.osgi.test:test-glassfish-derby;org.ancoron.osgi.test;test-glassfish-derby
org.ancoron.osgi.test:test-glassfish;org.ancoron.osgi.test;test-glassfish
org.jboss.spec.javax.faces:jboss-jsf-api_2.0_spec;org.jboss.spec.javax.faces;jboss-jsf-api_2.0_spec
org.ancoron.osgi.test:test-felix;org.ancoron.osgi.test;test-felix
org.ancoron.osgi.test:movie-service-test;org.ancoron.osgi.test;movie-service-test
org.ancoron.osgi.test:test;org.ancoron.osgi.test;test
org.ancoron.osgi.test:test-support-glassfish;org.ancoron.osgi.test;test-support-glassfish
org.ancoron.osgi.test:test-support-felix;org.ancoron.osgi.test;test-support-felix
org.ancoron.osgi.test:test-support-base;org.ancoron.osgi.test;test-support-base
org.ancoron.osgi.test:test-support;org.ancoron.osgi.test;test-support
org.ancoron.osgi.test:fragments-simple-fragment;org.ancoron.osgi.test;fragments-simple-fragment
org.ancoron.osgi.test:fragments-simple-host;org.ancoron.osgi.test;fragments-simple-host
org.ancoron.osgi.test:fragments-simple;org.ancoron.osgi.test;fragments-simple
org.ancoron.osgi.test:fragments;org.ancoron.osgi.test;fragments
org.ancoron.movie:movie-web;org.ancoron.movie;movie-web
org.ancoron.movie:pojo;org.ancoron.movie;pojo
org.ancoron.movie:ejb;org.ancoron.movie;ejb
org.ancoron.movie:jpa;org.ancoron.movie;jpa
org.ancoron.movie:persistence;org.ancoron.movie;persistence
org.ancoron.movie:client;org.ancoron.movie;client
org.ancoron.movie:api;org.ancoron.movie;api
org.ancoron.movie:movie;org.ancoron.movie;movie
org.ancoron.common:common-persistence;org.ancoron.common;common-persistence
org.ancoron.common:common-model;org.ancoron.common;common-model
org.ancoron.common:common-utils;org.ancoron.common;common-utils
org.ancoron.common:common-api;org.ancoron.common;common-api
org.ancoron.common:common;org.ancoron.common;common
org.ancoron.osgi.test:bundles-ejb-slsb;org.ancoron.osgi.test;bundles-ejb-slsb
org.ancoron.osgi.test:bundles-simple;org.ancoron.osgi.test;bundles-simple
org.ancoron.osgi.test:bundles;org.ancoron.osgi.test;bundles
org.ancoron.osgi.test:osgi-tests;org.ancoron.osgi.test;osgi-tests
com.vecna:artifact-location-plugin;com.vecna;artifact-location-plugin
com.vecna:maven-commons;com.vecna;maven-commons
org.glassfish:mq-distribution;org.glassfish;mq-distribution
org.openengsb.connector:openengsb-connector-github;org.openengsb.connector;openengsb-connector-github
com.vaadin.addon:jpacontainer-addon;com.vaadin.addon;jpacontainer-addon
com.vaadin.addon:jpacontainer;com.vaadin.addon;jpacontainer
org.codeartisans.swing-on-steroids:sos-wizard;org.codeartisans.swing-on-steroids;sos-wizard
org.codeartisans.swing-on-steroids:sos-ui-swing;org.codeartisans.swing-on-steroids;sos-ui-swing
org.codeartisans.swing-on-steroids:sos-ui;org.codeartisans.swing-on-steroids;sos-ui
org.codeartisans.swing-on-steroids:sos-test-support;org.codeartisans.swing-on-steroids;sos-test-support
org.codeartisans.swing-on-steroids:sos-core;org.codeartisans.swing-on-steroids;sos-core
org.codeartisans.swing-on-steroids:sos-parent;org.codeartisans.swing-on-steroids;sos-parent
org.openengsb.connector:openengsb-connector-gcontacts;org.openengsb.connector;openengsb-connector-gcontacts
org.openengsb.connector:openengsb-connector-gcalendar;org.openengsb.connector;openengsb-connector-gcalendar
org.openengsb.connector:openengsb-connector-email;org.openengsb.connector;openengsb-connector-email
org.openengsb.domain:openengsb-domain-test;org.openengsb.domain;openengsb-domain-test
org.openengsb.domain:openengsb-domain-scm;org.openengsb.domain;openengsb-domain-scm
org.openengsb.domain:openengsb-domain-report;org.openengsb.domain;openengsb-domain-report
org.openengsb.domain:openengsb-domain-notification;org.openengsb.domain;openengsb-domain-notification
org.openengsb.domain:openengsb-domain-issue;org.openengsb.domain;openengsb-domain-issue
org.openengsb.domain:openengsb-domain-deploy;org.openengsb.domain;openengsb-domain-deploy
org.openengsb.domain:openengsb-domain-contact;org.openengsb.domain;openengsb-domain-contact
org.openengsb.domain:openengsb-domain-build;org.openengsb.domain;openengsb-domain-build
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jetty-bundle;org.apache.servicemix.bundles;org.apache.servicemix.bundles.jetty-bundle
org.openengsb.domain:openengsb-domain-appointment;org.openengsb.domain;openengsb-domain-appointment
de.sciss:scalacolliderswing_2.8.1;de.sciss;scalacolliderswing_2.8.1
de.sciss:scalacolliderswing_2.9.0;de.sciss;scalacolliderswing_2.9.0
de.sciss:scalacollider_2.8.1;de.sciss;scalacollider_2.8.1
de.sciss:scalacollider_2.9.0;de.sciss;scalacollider_2.9.0
de.sciss:scalainterpreterpane_2.8.1;de.sciss;scalainterpreterpane_2.8.1
de.sciss:scalainterpreterpane_2.9.0;de.sciss;scalainterpreterpane_2.9.0
de.sciss:scalaaudiofile_2.8.1;de.sciss;scalaaudiofile_2.8.1
de.sciss:scalaaudiofile_2.9.0;de.sciss;scalaaudiofile_2.9.0
ch.fortysix:maven-postman-plugin;ch.fortysix;maven-postman-plugin
org.sgine:sgine-property_2.9.0;org.sgine;sgine-property_2.9.0
org.sgine:sgine-concurrent_2.9.0;org.sgine;sgine-concurrent_2.9.0
org.sgine:sgine-event_2.9.0;org.sgine;sgine-event_2.9.0
org.sgine:sgine-render_2.9.0;org.sgine;sgine-render_2.9.0
org.sgine:sgine-opengl-generator_2.9.0;org.sgine;sgine-opengl-generator_2.9.0
org.sgine:sgine-opengl-android_2.9.0;org.sgine;sgine-opengl-android_2.9.0
org.sgine:sgine-opengl-nehe_2.9.0;org.sgine;sgine-opengl-nehe_2.9.0
org.sgine:sgine-opengl-lwjgl_2.9.0;org.sgine;sgine-opengl-lwjgl_2.9.0
org.sgine:sgine-opengl-api_2.9.0;org.sgine;sgine-opengl-api_2.9.0
org.sgine:sgine-core_2.9.0;org.sgine;sgine-core_2.9.0
org.springframework.ws:spring-oxm-tiger;org.springframework.ws;spring-oxm-tiger
org.springframework.ws:spring-oxm;org.springframework.ws;spring-oxm
org.springframework.ws:spring-ws-core-tiger;org.springframework.ws;spring-ws-core-tiger
org.bitbucket:sbt-filter-plugin;org.bitbucket;sbt-filter-plugin
org.antlr:stringtemplate;org.antlr;stringtemplate
eu.vitaliy:xaoc-event;eu.vitaliy;xaoc-event
com.github.taksan:jni-utils;com.github.taksan;jni-utils
sk.openhouse:openhouse-web;sk.openhouse;openhouse-web
org.picketlink.idm:picketlink-idm-jpa;org.picketlink.idm;picketlink-idm-jpa
com.googlecode:kiama_2.9.0;com.googlecode;kiama_2.9.0
org.scala-tools.sbinary:sbinary_2.8.1;org.scala-tools.sbinary;sbinary_2.8.1
org.scala-tools.sbinary:sbinary_2.9.0;org.scala-tools.sbinary;sbinary_2.9.0
org.scala-tools.sxr:sxr_2.8.1;org.scala-tools.sxr;sxr_2.8.1
org.scala-tools.sxr:sxr_2.9.0;org.scala-tools.sxr;sxr_2.9.0
com.cedarsoft.business:db;com.cedarsoft.business;db
com.cedarsoft.db:genericdaotest;com.cedarsoft.db;genericdaotest
com.cedarsoft.db:genericdao;com.cedarsoft.db;genericdao
com.cedarsoft.db:async;com.cedarsoft.db;async
com.cedarsoft:db;com.cedarsoft;db
net.orfjackal.specsy:specsy;net.orfjackal.specsy;specsy
com.recursivity:recursivity-jpa_2.9.0;com.recursivity;recursivity-jpa_2.9.0
com.recursivity:recursivity-commons_2.9.0;com.recursivity;recursivity-commons_2.9.0
org.hrodberaht:i18n;org.hrodberaht;i18n
org.hrodberaht:inject;org.hrodberaht;inject
org.hrodberaht.directus:core;org.hrodberaht.directus;core
org.hrodberaht.directus:parent-pom;org.hrodberaht.directus;parent-pom
org.ow2.jasmine.kerneos:kerneos-war;org.ow2.jasmine.kerneos;kerneos-war
org.ow2.jasmine.kerneos:kerneos-assemblies;org.ow2.jasmine.kerneos;kerneos-assemblies
org.ow2.jasmine.kerneos:kerneos-core-server;org.ow2.jasmine.kerneos;kerneos-core-server
org.ow2.jasmine.kerneos:kerneos-core-client;org.ow2.jasmine.kerneos;kerneos-core-client
org.ow2.jasmine.kerneos:kerneos-api;org.ow2.jasmine.kerneos;kerneos-api
org.ow2.jasmine.kerneos:kerneos-core;org.ow2.jasmine.kerneos;kerneos-core
org.ow2.jasmine.kerneos:kerneos-login-server;org.ow2.jasmine.kerneos;kerneos-login-server
org.ow2.jasmine.kerneos:kerneos-login-client;org.ow2.jasmine.kerneos;kerneos-login-client
org.ow2.jasmine.kerneos:kerneos-login;org.ow2.jasmine.kerneos;kerneos-login
org.ow2.jasmine.kerneos:kerneos-common-client;org.ow2.jasmine.kerneos;kerneos-common-client
org.ow2.jasmine.kerneos:kerneos-common;org.ow2.jasmine.kerneos;kerneos-common
org.ow2.jasmine.kerneos:kerneos-libraries;org.ow2.jasmine.kerneos;kerneos-libraries
org.ow2.jasmine.kerneos:kerneos-war-archetype;org.ow2.jasmine.kerneos;kerneos-war-archetype
org.ow2.jasmine.kerneos:kerneos-module-archetype;org.ow2.jasmine.kerneos;kerneos-module-archetype
org.ow2.jasmine.kerneos:kerneos-modules;org.ow2.jasmine.kerneos;kerneos-modules
org.ow2.jasmine.kerneos:kerneos;org.ow2.jasmine.kerneos;kerneos
com.vaadin.addon:beanvalidation-addon;com.vaadin.addon;beanvalidation-addon
com.vaadin.addon:beanvalidation-root;com.vaadin.addon;beanvalidation-root
org.graphstream:util;org.graphstream;util
org.graphstream:pherd;org.graphstream;pherd
org.graphstream:mbox2;org.graphstream;mbox2
net.debasishg:sjson_2.8.1;net.debasishg;sjson_2.8.1
nl.cloudfarming.client:cloudfarming-client-geoviewer-jxmap;nl.cloudfarming.client;cloudfarming-client-geoviewer-jxmap
nl.cloudfarming.client:area-plot;nl.cloudfarming.client;area-plot
nl.cloudfarming.client:cloudfarming-client-geoviewer-api;nl.cloudfarming.client;cloudfarming-client-geoviewer-api
net.debasishg:sjson_2.9.0;net.debasishg;sjson_2.9.0
com.github.jedis-lock:jedis-lock;com.github.jedis-lock;jedis-lock
org.jvnet.hudson.plugins:upstream-downstream-view;org.jvnet.hudson.plugins;upstream-downstream-view
org.apache.npanday:NPanday.Artifact;org.apache.npanday;NPanday.Artifact
org.apache.npanday:NPanday.Assemblies;org.apache.npanday;NPanday.Assemblies
org.apache.npanday:NPanday.Logging;org.apache.npanday;NPanday.Logging
org.apache.npanday:NPanday.Model.AutomationExtensibility;org.apache.npanday;NPanday.Model.AutomationExtensibility
org.apache.npanday:NPanday.Model.Pom;org.apache.npanday;NPanday.Model.Pom
org.apache.npanday:NPanday.Model.Settings;org.apache.npanday;NPanday.Model.Settings
org.apache.npanday:NPanday.Project;org.apache.npanday;NPanday.Project
org.apache.npanday:NPanday.Utils;org.apache.npanday;NPanday.Utils
org.apache.npanday:dotnet-archetypes;org.apache.npanday;dotnet-archetypes
org.apache.npanday:dotnet-artifact;org.apache.npanday;dotnet-artifact
org.apache.npanday:dotnet-assembler;org.apache.npanday;dotnet-assembler
org.apache.npanday:dotnet-components;org.apache.npanday;dotnet-components
org.apache.npanday:dotnet-core;org.apache.npanday;dotnet-core
org.apache.npanday:dotnet-dao-project;org.apache.npanday;dotnet-dao-project
org.apache.npanday:dotnet-executable;org.apache.npanday;dotnet-executable
org.apache.npanday:dotnet-model;org.apache.npanday;dotnet-model
org.apache.npanday:dotnet-model-assembly-plugins;org.apache.npanday;dotnet-model-assembly-plugins
org.apache.npanday:dotnet-model-compiler-plugins;org.apache.npanday;dotnet-model-compiler-plugins
org.apache.npanday:dotnet-model-configuration-appenders;org.apache.npanday;dotnet-model-configuration-appenders
org.apache.npanday:dotnet-model-entries;org.apache.npanday;dotnet-model-entries
org.apache.npanday:dotnet-model-executable-plugins;org.apache.npanday;dotnet-model-executable-plugins
org.apache.npanday:dotnet-model-netdependency;org.apache.npanday;dotnet-model-netdependency
org.apache.npanday:dotnet-model-settings;org.apache.npanday;dotnet-model-settings
org.apache.npanday:dotnet-plugin;org.apache.npanday;dotnet-plugin
org.apache.npanday:dotnet-registry;org.apache.npanday;dotnet-registry
org.apache.npanday:dotnet-repository;org.apache.npanday;dotnet-repository
org.apache.npanday:dotnet-repository-builder;org.apache.npanday;dotnet-repository-builder
org.apache.npanday:dotnet-vendor;org.apache.npanday;dotnet-vendor
org.apache.npanday:maven-archetype-dotnet-simple;org.apache.npanday;maven-archetype-dotnet-simple
org.apache.npanday:maven-archetype-netexecutable;org.apache.npanday;maven-archetype-netexecutable
org.apache.npanday:maven-archetype-vb-simple;org.apache.npanday;maven-archetype-vb-simple
org.apache.npanday:npanday-installer;org.apache.npanday;npanday-installer
org.apache.npanday:npanday-project;org.apache.npanday;npanday-project
org.apache.npanday:npanday-repository-builder;org.apache.npanday;npanday-repository-builder
org.apache.npanday.its:npanday-its;org.apache.npanday.its;npanday-its
org.apache.npanday.plugins:NPanday.Plugin;org.apache.npanday.plugins;NPanday.Plugin
org.apache.npanday.plugins:NPanday.Plugin.Addin;org.apache.npanday.plugins;NPanday.Plugin.Addin
org.apache.npanday.plugins:NPanday.Plugin.Addin.JavaBinding;org.apache.npanday.plugins;NPanday.Plugin.Addin.JavaBinding
org.apache.npanday.plugins:NPanday.Plugin.Devenv;org.apache.npanday.plugins;NPanday.Plugin.Devenv
org.apache.npanday.plugins:NPanday.Plugin.Devenv.JavaBinding;org.apache.npanday.plugins;NPanday.Plugin.Devenv.JavaBinding
org.apache.npanday.plugins:NPanday.Plugin.Loader;org.apache.npanday.plugins;NPanday.Plugin.Loader
org.apache.npanday.plugins:NPanday.Plugin.MojoGenerator;org.apache.npanday.plugins;NPanday.Plugin.MojoGenerator
org.apache.npanday.plugins:NPanday.Plugin.Msbuild;org.apache.npanday.plugins;NPanday.Plugin.Msbuild
org.apache.npanday.plugins:NPanday.Plugin.Msbuild.JavaBinding;org.apache.npanday.plugins;NPanday.Plugin.Msbuild.JavaBinding
org.apache.npanday.plugins:NPanday.Plugin.Resx;org.apache.npanday.plugins;NPanday.Plugin.Resx
org.apache.npanday.plugins:NPanday.Plugin.Runner;org.apache.npanday.plugins;NPanday.Plugin.Runner
org.apache.npanday.plugins:NPanday.Plugin.Settings;org.apache.npanday.plugins;NPanday.Plugin.Settings
org.apache.npanday.plugins:NPanday.Plugin.Settings.JavaBinding;org.apache.npanday.plugins;NPanday.Plugin.Settings.JavaBinding
org.apache.npanday.plugins:NPanday.Plugin.SysRef;org.apache.npanday.plugins;NPanday.Plugin.SysRef
org.apache.npanday.plugins:NPanday.Plugin.SysRef.JavaBinding;org.apache.npanday.plugins;NPanday.Plugin.SysRef.JavaBinding
org.apache.npanday.plugins:custom-lifecycle-maven-plugin;org.apache.npanday.plugins;custom-lifecycle-maven-plugin
org.apache.npanday.plugins:maven-aspx-plugin;org.apache.npanday.plugins;maven-aspx-plugin
org.apache.npanday.plugins:maven-compile-plugin;org.apache.npanday.plugins;maven-compile-plugin
org.apache.npanday.plugins:maven-dotnet-plugins;org.apache.npanday.plugins;maven-dotnet-plugins
org.apache.npanday.plugins:maven-fxcop-plugin;org.apache.npanday.plugins;maven-fxcop-plugin
org.apache.npanday.plugins:maven-install-plugin;org.apache.npanday.plugins;maven-install-plugin
org.apache.npanday.plugins:maven-link-plugin;org.apache.npanday.plugins;maven-link-plugin
org.apache.npanday.plugins:maven-mojo-generator-plugin;org.apache.npanday.plugins;maven-mojo-generator-plugin
org.apache.npanday.plugins:maven-repository-plugin;org.apache.npanday.plugins;maven-repository-plugin
org.apache.npanday.plugins:maven-resgen-plugin;org.apache.npanday.plugins;maven-resgen-plugin
org.apache.npanday.plugins:maven-resolver-plugin;org.apache.npanday.plugins;maven-resolver-plugin
