io.github.youngtaekh:android-util;io.github.youngtaekh;android-util
org.danbrough.kotlinxtras.sqlite:sqliteLinuxX64Binaries;org.danbrough.kotlinxtras.sqlite;sqliteLinuxX64Binaries
org.danbrough.kotlinxtras.sqlite:sqliteLinuxArm64Binaries;org.danbrough.kotlinxtras.sqlite;sqliteLinuxArm64Binaries
org.danbrough.kotlinxtras.sqlite:sqliteLinuxArm32HfpBinaries;org.danbrough.kotlinxtras.sqlite;sqliteLinuxArm32HfpBinaries
org.danbrough.kotlinxtras.sqlite:sqliteAndroidNativeX86Binaries;org.danbrough.kotlinxtras.sqlite;sqliteAndroidNativeX86Binaries
org.danbrough.kotlinxtras.sqlite:sqliteAndroidNativeX64Binaries;org.danbrough.kotlinxtras.sqlite;sqliteAndroidNativeX64Binaries
org.danbrough.kotlinxtras.curl:curlMacosX64Binaries;org.danbrough.kotlinxtras.curl;curlMacosX64Binaries
org.danbrough.kotlinxtras.sqlite:sqliteAndroidNativeArm64Binaries;org.danbrough.kotlinxtras.sqlite;sqliteAndroidNativeArm64Binaries
org.danbrough.kotlinxtras.sqlite:sqliteAndroidNativeArm32Binaries;org.danbrough.kotlinxtras.sqlite;sqliteAndroidNativeArm32Binaries
org.danbrough.kotlinxtras.openssl:opensslMingwX64Binaries;org.danbrough.kotlinxtras.openssl;opensslMingwX64Binaries
org.danbrough.kotlinxtras.openssl:opensslLinuxX64Binaries;org.danbrough.kotlinxtras.openssl;opensslLinuxX64Binaries
org.danbrough.kotlinxtras.openssl:opensslLinuxArm64Binaries;org.danbrough.kotlinxtras.openssl;opensslLinuxArm64Binaries
org.danbrough.kotlinxtras.openssl:opensslLinuxArm32HfpBinaries;org.danbrough.kotlinxtras.openssl;opensslLinuxArm32HfpBinaries
org.danbrough.kotlinxtras.curl:curlMacosArm64Binaries;org.danbrough.kotlinxtras.curl;curlMacosArm64Binaries
org.danbrough.kotlinxtras.openssl:opensslAndroidNativeX86Binaries;org.danbrough.kotlinxtras.openssl;opensslAndroidNativeX86Binaries
org.danbrough.kotlinxtras.openssl:opensslAndroidNativeX64Binaries;org.danbrough.kotlinxtras.openssl;opensslAndroidNativeX64Binaries
org.danbrough.kotlinxtras.openssl:opensslAndroidNativeArm64Binaries;org.danbrough.kotlinxtras.openssl;opensslAndroidNativeArm64Binaries
org.danbrough.kotlinxtras.openssl:opensslAndroidNativeArm32Binaries;org.danbrough.kotlinxtras.openssl;opensslAndroidNativeArm32Binaries
io.github.flash-query:FlashSqlEngine;io.github.flash-query;FlashSqlEngine
org.danbrough.kotlinxtras.curl:curlMingwX64Binaries;org.danbrough.kotlinxtras.curl;curlMingwX64Binaries
org.danbrough.kotlinxtras.curl:curlLinuxX64Binaries;org.danbrough.kotlinxtras.curl;curlLinuxX64Binaries
org.danbrough.kotlinxtras.curl:curlLinuxArm64Binaries;org.danbrough.kotlinxtras.curl;curlLinuxArm64Binaries
org.danbrough.kotlinxtras.curl:curlLinuxArm32HfpBinaries;org.danbrough.kotlinxtras.curl;curlLinuxArm32HfpBinaries
org.danbrough.kotlinxtras.curl:curlAndroidNativeX86Binaries;org.danbrough.kotlinxtras.curl;curlAndroidNativeX86Binaries
org.danbrough.kotlinxtras.curl:curlAndroidNativeX64Binaries;org.danbrough.kotlinxtras.curl;curlAndroidNativeX64Binaries
org.danbrough.kotlinxtras.curl:curlAndroidNativeArm64Binaries;org.danbrough.kotlinxtras.curl;curlAndroidNativeArm64Binaries
org.danbrough.kotlinxtras.curl:curlAndroidNativeArm32Binaries;org.danbrough.kotlinxtras.curl;curlAndroidNativeArm32Binaries
io.github.rsv-code:cali-lang-mule-connector;io.github.rsv-code;cali-lang-mule-connector
io.github.AppNetlink:mediation;io.github.AppNetlink;mediation
io.asgardeo.java.saml.sdk:io.asgardeo.java.saml.sdk;io.asgardeo.java.saml.sdk;io.asgardeo.java.saml.sdk
io.asgardeo.java.saml.sdk:java-saml-sdk;io.asgardeo.java.saml.sdk;java-saml-sdk
com.c4-soft.springaddons:spring-addons-archetypes-webflux-multimodule;com.c4-soft.springaddons;spring-addons-archetypes-webflux-multimodule
tz.co.asoft:math-vector-core-linuxx64;tz.co.asoft;math-vector-core-linuxx64
tz.co.asoft:math-point-core-linuxx64;tz.co.asoft;math-point-core-linuxx64
tz.co.asoft:math-vector-core;tz.co.asoft;math-vector-core
tz.co.asoft:math-point-core;tz.co.asoft;math-point-core
tz.co.asoft:math-spatial-core;tz.co.asoft;math-spatial-core
tz.co.asoft:math-spatial-core-linuxx64;tz.co.asoft;math-spatial-core-linuxx64
tz.co.asoft:math-point-core-jvm;tz.co.asoft;math-point-core-jvm
tz.co.asoft:math-point-core-js;tz.co.asoft;math-point-core-js
tz.co.asoft:math-vector-core-jvm;tz.co.asoft;math-vector-core-jvm
tz.co.asoft:math-vector-core-js;tz.co.asoft;math-vector-core-js
tz.co.asoft:bitframe-service-builder-api-mock;tz.co.asoft;bitframe-service-builder-api-mock
tz.co.asoft:bitframe-service-builder-api-mock-jvm;tz.co.asoft;bitframe-service-builder-api-mock-jvm
tz.co.asoft:bitframe-service-builder-api-mock-js;tz.co.asoft;bitframe-service-builder-api-mock-js
tz.co.asoft:bitframe-service-builder-sdk-server-core;tz.co.asoft;bitframe-service-builder-sdk-server-core
tz.co.asoft:bitframe-service-builder-sdk-client-core;tz.co.asoft;bitframe-service-builder-sdk-client-core
tz.co.asoft:bitframe-service-builder-sdk-client-react;tz.co.asoft;bitframe-service-builder-sdk-client-react
tz.co.asoft:kida-core;tz.co.asoft;kida-core
tz.co.asoft:math-spatial-core-js;tz.co.asoft;math-spatial-core-js
tz.co.asoft:math-spatial-core-jvm;tz.co.asoft;math-spatial-core-jvm
tz.co.asoft:bitframe-service-builder-api-ktor;tz.co.asoft;bitframe-service-builder-api-ktor
tz.co.asoft:bitframe-service-builder-api-ktor-jvm;tz.co.asoft;bitframe-service-builder-api-ktor-jvm
tz.co.asoft:kida-core-js;tz.co.asoft;kida-core-js
tz.co.asoft:bitframe-service-builder-rest;tz.co.asoft;bitframe-service-builder-rest
tz.co.asoft:bitframe-service-builder-sdk-client-core-jvm;tz.co.asoft;bitframe-service-builder-sdk-client-core-jvm
tz.co.asoft:bitframe-service-builder-rest-jvm;tz.co.asoft;bitframe-service-builder-rest-jvm
tz.co.asoft:bitframe-service-builder-api-ktor-js;tz.co.asoft;bitframe-service-builder-api-ktor-js
tz.co.asoft:kida-core-jvm;tz.co.asoft;kida-core-jvm
tz.co.asoft:bitframe-service-builder-daod;tz.co.asoft;bitframe-service-builder-daod
tz.co.asoft:bitframe-service-builder-api-core;tz.co.asoft;bitframe-service-builder-api-core
tz.co.asoft:bitframe-service-builder-rest-js;tz.co.asoft;bitframe-service-builder-rest-js
tz.co.asoft:kida-ktor-jvm;tz.co.asoft;kida-ktor-jvm
tz.co.asoft:bitframe-service-builder-api-core-jvm;tz.co.asoft;bitframe-service-builder-api-core-jvm
tz.co.asoft:bitframe-service-builder-daod-js;tz.co.asoft;bitframe-service-builder-daod-js
tz.co.asoft:bitframe-service-builder-sdk-server-core-jvm;tz.co.asoft;bitframe-service-builder-sdk-server-core-jvm
tz.co.asoft:kida-ktor;tz.co.asoft;kida-ktor
tz.co.asoft:bitframe-service-builder-daod-jvm;tz.co.asoft;bitframe-service-builder-daod-jvm
tz.co.asoft:kida-ktor-js;tz.co.asoft;kida-ktor-js
tz.co.asoft:bitframe-service-builder-core;tz.co.asoft;bitframe-service-builder-core
tz.co.asoft:bitframe-service-builder-core-jvm;tz.co.asoft;bitframe-service-builder-core-jvm
tz.co.asoft:bitframe-service-builder-sdk-client-core-js;tz.co.asoft;bitframe-service-builder-sdk-client-core-js
tz.co.asoft:bitframe-service-builder-sdk-server-core-js;tz.co.asoft;bitframe-service-builder-sdk-server-core-js
tz.co.asoft:presenters-geo;tz.co.asoft;presenters-geo
tz.co.asoft:presenters-geo-js;tz.co.asoft;presenters-geo-js
tz.co.asoft:bitframe-service-builder-api-core-js;tz.co.asoft;bitframe-service-builder-api-core-js
tz.co.asoft:presenters-geo-jvm;tz.co.asoft;presenters-geo-jvm
tz.co.asoft:presenters-krono-jvm;tz.co.asoft;presenters-krono-jvm
tz.co.asoft:bitframe-service-builder-core-js;tz.co.asoft;bitframe-service-builder-core-js
tz.co.asoft:bitframe-api-core;tz.co.asoft;bitframe-api-core
tz.co.asoft:presenters-krono;tz.co.asoft;presenters-krono
tz.co.asoft:bitframe-api-core-jvm;tz.co.asoft;bitframe-api-core-jvm
tz.co.asoft:presenters-krono-js;tz.co.asoft;presenters-krono-js
tz.co.asoft:presenters-mock;tz.co.asoft;presenters-mock
tz.co.asoft:presenters-mock-jvm;tz.co.asoft;presenters-mock-jvm
tz.co.asoft:presenters-mock-js;tz.co.asoft;presenters-mock-js
tz.co.asoft:live-test-linuxx64;tz.co.asoft;live-test-linuxx64
tz.co.asoft:bitframe-api-core-js;tz.co.asoft;bitframe-api-core-js
tz.co.asoft:math-core-linuxx64;tz.co.asoft;math-core-linuxx64
tz.co.asoft:live-test-jvm;tz.co.asoft;live-test-jvm
tz.co.asoft:math-core;tz.co.asoft;math-core
tz.co.asoft:presenters-actions;tz.co.asoft;presenters-actions
tz.co.asoft:live-test;tz.co.asoft;live-test
tz.co.asoft:presenters-core;tz.co.asoft;presenters-core
tz.co.asoft:bitframe-actor-space-jvm;tz.co.asoft;bitframe-actor-space-jvm
tz.co.asoft:presenters-actions-jvm;tz.co.asoft;presenters-actions-jvm
tz.co.asoft:live-test-js;tz.co.asoft;live-test-js
tz.co.asoft:bitframe-actor-space;tz.co.asoft;bitframe-actor-space
tz.co.asoft:presenters-actions-js;tz.co.asoft;presenters-actions-js
tz.co.asoft:bitframe-actor-user;tz.co.asoft;bitframe-actor-user
tz.co.asoft:live-react;tz.co.asoft;live-react
tz.co.asoft:bitframe-dao-file-jvm;tz.co.asoft;bitframe-dao-file-jvm
tz.co.asoft:bitframe-actor-space-js;tz.co.asoft;bitframe-actor-space-js
tz.co.asoft:bitframe-dao-file;tz.co.asoft;bitframe-dao-file
tz.co.asoft:math-core-jvm;tz.co.asoft;math-core-jvm
tz.co.asoft:presenters-core-jvm;tz.co.asoft;presenters-core-jvm
tz.co.asoft:live-coroutines-linuxx64;tz.co.asoft;live-coroutines-linuxx64
tz.co.asoft:math-core-js;tz.co.asoft;math-core-js
tz.co.asoft:bitframe-dao-file-js;tz.co.asoft;bitframe-dao-file-js
tz.co.asoft:bitframe-actor-user-jvm;tz.co.asoft;bitframe-actor-user-jvm
tz.co.asoft:bitframe-dao-mongo;tz.co.asoft;bitframe-dao-mongo
tz.co.asoft:live-coroutines;tz.co.asoft;live-coroutines
tz.co.asoft:bitframe-dao;tz.co.asoft;bitframe-dao
tz.co.asoft:bitframe-dao-mongo-jvm;tz.co.asoft;bitframe-dao-mongo-jvm
tz.co.asoft:live-coroutines-jvm;tz.co.asoft;live-coroutines-jvm
tz.co.asoft:bitframe-actor-user-js;tz.co.asoft;bitframe-actor-user-js
tz.co.asoft:bitframe-dao-mongo-js;tz.co.asoft;bitframe-dao-mongo-js
tz.co.asoft:koncurrent-primitives-mock-linuxx64;tz.co.asoft;koncurrent-primitives-mock-linuxx64
tz.co.asoft:bitframe-dao-jvm;tz.co.asoft;bitframe-dao-jvm
tz.co.asoft:bitframe-dao-mock;tz.co.asoft;bitframe-dao-mock
tz.co.asoft:koncurrent-primitives-mock;tz.co.asoft;koncurrent-primitives-mock
tz.co.asoft:live-coroutines-js;tz.co.asoft;live-coroutines-js
tz.co.asoft:bitframe-dao-js;tz.co.asoft;bitframe-dao-js
tz.co.asoft:bitframe-dao-mock-jvm;tz.co.asoft;bitframe-dao-mock-jvm
tz.co.asoft:koncurrent-primitives-mock-jvm;tz.co.asoft;koncurrent-primitives-mock-jvm
tz.co.asoft:bitframe-dao-mock-js;tz.co.asoft;bitframe-dao-mock-js
tz.co.asoft:bitframe-actor-app-jvm;tz.co.asoft;bitframe-actor-app-jvm
tz.co.asoft:live-compose;tz.co.asoft;live-compose
tz.co.asoft:koncurrent-primitives-mock-js;tz.co.asoft;koncurrent-primitives-mock-js
tz.co.asoft:bitframe-sdk-server-test;tz.co.asoft;bitframe-sdk-server-test
tz.co.asoft:bitframe-sdk-server-test-jvm;tz.co.asoft;bitframe-sdk-server-test-jvm
tz.co.asoft:bitframe-actor-app;tz.co.asoft;bitframe-actor-app
tz.co.asoft:bitframe-dao-core;tz.co.asoft;bitframe-dao-core
tz.co.asoft:bitframe-sdk-server-test-js;tz.co.asoft;bitframe-sdk-server-test-js
tz.co.asoft:koncurrent-primitives-coroutines-linuxx64;tz.co.asoft;koncurrent-primitives-coroutines-linuxx64
tz.co.asoft:live-compose-js;tz.co.asoft;live-compose-js
tz.co.asoft:koncurrent-primitives-coroutines;tz.co.asoft;koncurrent-primitives-coroutines
tz.co.asoft:bitframe-sdk-server-core;tz.co.asoft;bitframe-sdk-server-core
tz.co.asoft:bitframe-sdk-server-ktor;tz.co.asoft;bitframe-sdk-server-ktor
tz.co.asoft:live-compose-jvm;tz.co.asoft;live-compose-jvm
tz.co.asoft:bitframe-actor-core;tz.co.asoft;bitframe-actor-core
tz.co.asoft:koncurrent-primitives-coroutines-jvm;tz.co.asoft;koncurrent-primitives-coroutines-jvm
tz.co.asoft:presenters-core-js;tz.co.asoft;presenters-core-js
tz.co.asoft:bitframe-actor-app-js;tz.co.asoft;bitframe-actor-app-js
tz.co.asoft:koncurrent-primitives-coroutines-js;tz.co.asoft;koncurrent-primitives-coroutines-js
tz.co.asoft:live-core-linuxx64;tz.co.asoft;live-core-linuxx64
tz.co.asoft:bitframe-dao-core-jvm;tz.co.asoft;bitframe-dao-core-jvm
tz.co.asoft:bitframe-sdk-server-core-jvm;tz.co.asoft;bitframe-sdk-server-core-jvm
tz.co.asoft:koncurrent-primitives-core-linuxx64;tz.co.asoft;koncurrent-primitives-core-linuxx64
tz.co.asoft:live-core;tz.co.asoft;live-core
tz.co.asoft:bitframe-actor-core-jvm;tz.co.asoft;bitframe-actor-core-jvm
tz.co.asoft:viewmodel-core;tz.co.asoft;viewmodel-core
tz.co.asoft:bitframe-dao-core-js;tz.co.asoft;bitframe-dao-core-js
tz.co.asoft:viewmodel-core-linuxx64;tz.co.asoft;viewmodel-core-linuxx64
tz.co.asoft:bitframe-actor-core-js;tz.co.asoft;bitframe-actor-core-js
tz.co.asoft:koncurrent-primitives-core-linuxarm64;tz.co.asoft;koncurrent-primitives-core-linuxarm64
tz.co.asoft:bitframe-sdk-server-core-js;tz.co.asoft;bitframe-sdk-server-core-js
tz.co.asoft:koncurrent-primitives-core;tz.co.asoft;koncurrent-primitives-core
tz.co.asoft:mailer-smtp;tz.co.asoft;mailer-smtp
tz.co.asoft:cache-react-native;tz.co.asoft;cache-react-native
tz.co.asoft:koncurrent-primitives-core-linuxarm32hfp;tz.co.asoft;koncurrent-primitives-core-linuxarm32hfp
tz.co.asoft:cache-mock-linuxx64;tz.co.asoft;cache-mock-linuxx64
tz.co.asoft:cache-mock;tz.co.asoft;cache-mock
tz.co.asoft:formatter-core-linuxx64;tz.co.asoft;formatter-core-linuxx64
tz.co.asoft:mailer-mock-jvm;tz.co.asoft;mailer-mock-jvm
tz.co.asoft:mailer-mock;tz.co.asoft;mailer-mock
tz.co.asoft:cache-mock-jvm;tz.co.asoft;cache-mock-jvm
tz.co.asoft:cache-mock-js;tz.co.asoft;cache-mock-js
tz.co.asoft:mailer-mock-js;tz.co.asoft;mailer-mock-js
tz.co.asoft:mailer-api;tz.co.asoft;mailer-api
tz.co.asoft:cache-file-linuxx64;tz.co.asoft;cache-file-linuxx64
tz.co.asoft:formatter-core;tz.co.asoft;formatter-core
tz.co.asoft:live-core-jvm;tz.co.asoft;live-core-jvm
tz.co.asoft:cache-file;tz.co.asoft;cache-file
tz.co.asoft:mailer-api-jvm;tz.co.asoft;mailer-api-jvm
tz.co.asoft:cache-file-jvm;tz.co.asoft;cache-file-jvm
tz.co.asoft:cache-file-js;tz.co.asoft;cache-file-js
tz.co.asoft:live-core-js;tz.co.asoft;live-core-js
tz.co.asoft:cache-browser;tz.co.asoft;cache-browser
tz.co.asoft:cache-api;tz.co.asoft;cache-api
tz.co.asoft:cache-api-linuxx64;tz.co.asoft;cache-api-linuxx64
tz.co.asoft:geo-languages;tz.co.asoft;geo-languages
tz.co.asoft:geo-languages-jvm;tz.co.asoft;geo-languages-jvm
tz.co.asoft:viewmodel-core-js;tz.co.asoft;viewmodel-core-js
tz.co.asoft:geo-languages-js;tz.co.asoft;geo-languages-js
tz.co.asoft:viewmodel-core-jvm;tz.co.asoft;viewmodel-core-jvm
tz.co.asoft:events-react;tz.co.asoft;events-react
tz.co.asoft:events-inmemory;tz.co.asoft;events-inmemory
tz.co.asoft:koncurrent-primitives-core-jvm;tz.co.asoft;koncurrent-primitives-core-jvm
tz.co.asoft:events-inmemory-jvm;tz.co.asoft;events-inmemory-jvm
tz.co.asoft:events-core;tz.co.asoft;events-core
tz.co.asoft:koncurrent-primitives-core-js;tz.co.asoft;koncurrent-primitives-core-js
tz.co.asoft:events-inmemory-js;tz.co.asoft;events-inmemory-js
tz.co.asoft:viewmodel-core-android;tz.co.asoft;viewmodel-core-android
tz.co.asoft:formatter-core-jvm;tz.co.asoft;formatter-core-jvm
tz.co.asoft:expect-coroutines-linuxx64;tz.co.asoft;expect-coroutines-linuxx64
tz.co.asoft:formatter-core-js;tz.co.asoft;formatter-core-js
tz.co.asoft:expect-coroutines;tz.co.asoft;expect-coroutines
tz.co.asoft:mailer-api-js;tz.co.asoft;mailer-api-js
tz.co.asoft:identifier-generators-linuxx64;tz.co.asoft;identifier-generators-linuxx64
tz.co.asoft:expect-coroutines-js;tz.co.asoft;expect-coroutines-js
tz.co.asoft:identifier-generators;tz.co.asoft;identifier-generators
tz.co.asoft:expect-coroutines-jvm;tz.co.asoft;expect-coroutines-jvm
tz.co.asoft:identifier-generators-js;tz.co.asoft;identifier-generators-js
tz.co.asoft:identifier-generators-jvm;tz.co.asoft;identifier-generators-jvm
tz.co.asoft:cache-api-jvm;tz.co.asoft;cache-api-jvm
tz.co.asoft:events-core-jvm;tz.co.asoft;events-core-jvm
tz.co.asoft:expect-core-linuxx64;tz.co.asoft;expect-core-linuxx64
tz.co.asoft:functions-core-linuxarm64;tz.co.asoft;functions-core-linuxarm64
tz.co.asoft:cache-api-js;tz.co.asoft;cache-api-js
tz.co.asoft:events-core-js;tz.co.asoft;events-core-js
tz.co.asoft:expect-core;tz.co.asoft;expect-core
tz.co.asoft:functions-core-linuxarm32hfp;tz.co.asoft;functions-core-linuxarm32hfp
tz.co.asoft:expect-core-jvm;tz.co.asoft;expect-core-jvm
tz.co.asoft:expect-core-js;tz.co.asoft;expect-core-js
io.sunshower.aire:aire-common;io.sunshower.aire;aire-common
com.globalmentor:globalmentor-webdav;com.globalmentor;globalmentor-webdav
com.globalmentor:globalmentor-http-bom;com.globalmentor;globalmentor-http-bom
com.globalmentor:globalmentor-http;com.globalmentor;globalmentor-http
com.globalmentor:globalmentor-rdf;com.globalmentor;globalmentor-rdf
com.globalmentor:globalmentor-rdf-bom;com.globalmentor;globalmentor-rdf-bom
com.facebook.portal:ui-smartcamera;com.facebook.portal;ui-smartcamera
com.facebook.portal:calling;com.facebook.portal;calling
com.facebook.portal:ui-calling;com.facebook.portal;ui-calling
com.facebook.portal:ui;com.facebook.portal;ui
com.facebook.portal:systemstate-ipc;com.facebook.portal;systemstate-ipc
com.facebook.portal:systemstate;com.facebook.portal;systemstate
com.facebook.portal:smartcamera-ipc;com.facebook.portal;smartcamera-ipc
com.facebook.portal:smartcamera-editor;com.facebook.portal;smartcamera-editor
com.facebook.portal:smartcamera;com.facebook.portal;smartcamera
com.facebook.portal:fbns;com.facebook.portal;fbns
com.facebook.portal:context;com.facebook.portal;context
com.facebook.portal:calling-ipc;com.facebook.portal;calling-ipc
com.facebook.portal:calling-client;com.facebook.portal;calling-client
com.facebook.portal:base;com.facebook.portal;base
com.facebook.portal:call-notification;com.facebook.portal;call-notification
com.liferay:com.liferay.portal.rules.engine.wiring;com.liferay;com.liferay.portal.rules.engine.wiring
com.formdev:svgSalamander;com.formdev;svgSalamander
io.getquill:quill-codegen-tests_2.11;io.getquill;quill-codegen-tests_2.11
io.getquill:quill-cassandra-zio_2.11;io.getquill;quill-cassandra-zio_2.11
io.getquill:quill-cassandra-monix_2.11;io.getquill;quill-cassandra-monix_2.11
io.getquill:quill-orientdb_2.11;io.getquill;quill-orientdb_2.11
io.getquill:quill-codegen-jdbc_2.11;io.getquill;quill-codegen-jdbc_2.11
io.getquill:quill-spark_2.11;io.getquill;quill-spark_2.11
io.getquill:quill-cassandra_2.11;io.getquill;quill-cassandra_2.11
io.getquill:quill-codegen_2.11;io.getquill;quill-codegen_2.11
io.getquill:quill-ndbc-monix_2.11;io.getquill;quill-ndbc-monix_2.11
io.getquill:quill-jasync-zio-postgres_2.11;io.getquill;quill-jasync-zio-postgres_2.11
io.getquill:quill-ndbc-postgres_2.11;io.getquill;quill-ndbc-postgres_2.11
io.getquill:quill-jasync-postgres_2.11;io.getquill;quill-jasync-postgres_2.11
io.getquill:quill-jasync-mysql_2.11;io.getquill;quill-jasync-mysql_2.11
io.getquill:quill-jasync-zio_2.11;io.getquill;quill-jasync-zio_2.11
io.getquill:quill-finagle-postgres_2.11;io.getquill;quill-finagle-postgres_2.11
io.getquill:quill-ndbc_2.11;io.getquill;quill-ndbc_2.11
io.getquill:quill-jasync_2.11;io.getquill;quill-jasync_2.11
io.getquill:quill-finagle-mysql_2.11;io.getquill;quill-finagle-mysql_2.11
io.getquill:quill-jdbc-monix_2.11;io.getquill;quill-jdbc-monix_2.11
io.getquill:quill-jdbc-zio_2.11;io.getquill;quill-jdbc-zio_2.11
io.getquill:quill-jdbc_2.11;io.getquill;quill-jdbc_2.11
io.getquill:quill-zio_2.11;io.getquill;quill-zio_2.11
io.getquill:quill-sql_2.11;io.getquill;quill-sql_2.11
io.getquill:quill-monix_2.11;io.getquill;quill-monix_2.11
io.getquill:quill-core_2.11;io.getquill;quill-core_2.11
io.getquill:quill-engine_2.11;io.getquill;quill-engine_2.11
org.apache.creadur.tentacles:apache-tentacles;org.apache.creadur.tentacles;apache-tentacles
io.github.jan-tennert.supacompose:Supacompose-Storage-web;io.github.jan-tennert.supacompose;Supacompose-Storage-web
io.github.jan-tennert.supacompose:Supacompose-Storage;io.github.jan-tennert.supacompose;Supacompose-Storage
io.github.jan-tennert.supacompose:Supacompose-Storage-desktop;io.github.jan-tennert.supacompose;Supacompose-Storage-desktop
io.github.jan-tennert.supacompose:Supacompose-Storage-android;io.github.jan-tennert.supacompose;Supacompose-Storage-android
io.github.jan-tennert.supacompose:Supacompose-Storage-android-debug;io.github.jan-tennert.supacompose;Supacompose-Storage-android-debug
io.github.jan-tennert.supacompose:Supacompose-Realtime-web;io.github.jan-tennert.supacompose;Supacompose-Realtime-web
io.github.jan-tennert.supacompose:Supacompose-Realtime;io.github.jan-tennert.supacompose;Supacompose-Realtime
io.github.jan-tennert.supacompose:Supacompose-Realtime-desktop;io.github.jan-tennert.supacompose;Supacompose-Realtime-desktop
io.github.jan-tennert.supacompose:Supacompose-Realtime-android;io.github.jan-tennert.supacompose;Supacompose-Realtime-android
io.github.jan-tennert.supacompose:Supacompose-Realtime-android-debug;io.github.jan-tennert.supacompose;Supacompose-Realtime-android-debug
io.github.jan-tennert.supacompose:Supacompose-Postgrest-web;io.github.jan-tennert.supacompose;Supacompose-Postgrest-web
io.github.jan-tennert.supacompose:Supacompose-Postgrest;io.github.jan-tennert.supacompose;Supacompose-Postgrest
io.github.jan-tennert.supacompose:Supacompose-Postgrest-desktop;io.github.jan-tennert.supacompose;Supacompose-Postgrest-desktop
io.github.jan-tennert.supacompose:Supacompose-Postgrest-android;io.github.jan-tennert.supacompose;Supacompose-Postgrest-android
io.github.jan-tennert.supacompose:Supacompose-Postgrest-android-debug;io.github.jan-tennert.supacompose;Supacompose-Postgrest-android-debug
io.github.jan-tennert.supacompose:Supacompose-Functions-web;io.github.jan-tennert.supacompose;Supacompose-Functions-web
io.github.jan-tennert.supacompose:Supacompose-Functions;io.github.jan-tennert.supacompose;Supacompose-Functions
io.github.jan-tennert.supacompose:Supacompose-Functions-desktop;io.github.jan-tennert.supacompose;Supacompose-Functions-desktop
io.github.jan-tennert.supacompose:Supacompose-Functions-android;io.github.jan-tennert.supacompose;Supacompose-Functions-android
io.github.jan-tennert.supacompose:Supacompose-Functions-android-debug;io.github.jan-tennert.supacompose;Supacompose-Functions-android-debug
io.github.jan-tennert.supacompose:Supacompose-Auth-web;io.github.jan-tennert.supacompose;Supacompose-Auth-web
io.github.jan-tennert.supacompose:Supacompose-Auth;io.github.jan-tennert.supacompose;Supacompose-Auth
io.github.jan-tennert.supacompose:Supacompose-Auth-desktop;io.github.jan-tennert.supacompose;Supacompose-Auth-desktop
io.github.jan-tennert.supacompose:Supacompose-Auth-android;io.github.jan-tennert.supacompose;Supacompose-Auth-android
io.github.jan-tennert.supacompose:Supacompose-Auth-android-debug;io.github.jan-tennert.supacompose;Supacompose-Auth-android-debug
io.github.jan-tennert.supacompose:Supacompose-web;io.github.jan-tennert.supacompose;Supacompose-web
io.github.jan-tennert.supacompose:Supacompose;io.github.jan-tennert.supacompose;Supacompose
io.github.jan-tennert.supacompose:Supacompose-desktop;io.github.jan-tennert.supacompose;Supacompose-desktop
io.github.jan-tennert.supacompose:Supacompose-android;io.github.jan-tennert.supacompose;Supacompose-android
io.github.jan-tennert.supacompose:Supacompose-android-debug;io.github.jan-tennert.supacompose;Supacompose-android-debug
com.armanbilge:stratus-core_native0.4_3;com.armanbilge;stratus-core_native0.4_3
io.github.qurben:jico;io.github.qurben;jico
net.jasima:jasima-main;net.jasima;jasima-main
dev.zio:zio-connect_2.13;dev.zio;zio-connect_2.13
dev.zio:zio-connect_3;dev.zio;zio-connect_3
dev.zio:zio-connect_2.12;dev.zio;zio-connect_2.12
com.ethlo.my2ch:my2ch-core;com.ethlo.my2ch;my2ch-core
net.aichler:jupiter-interface;net.aichler;jupiter-interface
net.aichler:sbt-jupiter-interface724599971;net.aichler;sbt-jupiter-interface
net.aichler:jupiter-root_2.12;net.aichler;jupiter-root_2.12
net.aichler:jupiter-root_2.10;net.aichler;jupiter-root_2.10
net.aichler:sbt-jupiter-interface920682454;net.aichler;sbt-jupiter-interface
org.openstreetmap.atlas:atlas-generator;org.openstreetmap.atlas;atlas-generator
com.exp-blog:release-project-plugin;com.exp-blog;release-project-plugin
io.github.nowshad-hasan:solid-potato;io.github.nowshad-hasan;solid-potato
io.github.spekka:spekka-context_2.13;io.github.spekka;spekka-context_2.13
io.github.spekka:spekka-stateful-sharding_2.12;io.github.spekka;spekka-stateful-sharding_2.12
io.github.spekka:spekka-stateful_2.12;io.github.spekka;spekka-stateful_2.12
io.github.spekka:spekka-codec_2.13;io.github.spekka;spekka-codec_2.13
io.github.spekka:spekka-stateful-akkapersistence_2.13;io.github.spekka;spekka-stateful-akkapersistence_2.13
io.github.spekka:spekka-codec_2.12;io.github.spekka;spekka-codec_2.12
io.github.spekka:spekka-context_2.12;io.github.spekka;spekka-context_2.12
io.github.spekka:spekka-stateful-akkapersistence_2.12;io.github.spekka;spekka-stateful-akkapersistence_2.12
io.github.spekka:spekka-stateful-sharding_2.13;io.github.spekka;spekka-stateful-sharding_2.13
io.github.spekka:spekka-stateful_2.13;io.github.spekka;spekka-stateful_2.13
org.webjars.npm:jszip;org.webjars.npm;jszip
io.github.alexarchambault:scalacon2022-demo_3;io.github.alexarchambault;scalacon2022-demo_3
es.weso:collectioncompat_2.12;es.weso;collectioncompat_2.12
