de.dentrassi.asyncapi:asyncapi-generator-java;de.dentrassi.asyncapi;asyncapi-generator-java
de.dentrassi.asyncapi:asyncapi-model;de.dentrassi.asyncapi;asyncapi-model
de.dentrassi.asyncapi:asyncapi-gson;de.dentrassi.asyncapi;asyncapi-gson
de.dentrassi.asyncapi:asyncapi-jms-amqp;de.dentrassi.asyncapi;asyncapi-jms-amqp
de.dentrassi.asyncapi:asyncapi-jms;de.dentrassi.asyncapi;asyncapi-jms
de.dentrassi.asyncapi:asyncapi;de.dentrassi.asyncapi;asyncapi
de.dentrassi.asyncapi:asyncapi-parent;de.dentrassi.asyncapi;asyncapi-parent
com.dell.cpsd:component-common-validators;com.dell.cpsd;component-common-validators
com.hardis.adelia:tdk-web-objects;com.hardis.adelia;tdk-web-objects
org.webjars.bower:calendar-heatmap;org.webjars.bower;calendar-heatmap
org.webjars.npm:xss-filters;org.webjars.npm;xss-filters
org.cdecode.firebase:org.cdecode.firebase.pom.target;org.cdecode.firebase;org.cdecode.firebase.pom.target
org.ceylon-lang:ceylon-sdk;org.ceylon-lang;ceylon-sdk
org.ceylon-lang:ceylon.unicode;org.ceylon-lang;ceylon.unicode
org.ceylon-lang:ceylon.toml;org.ceylon-lang;ceylon.toml
org.ceylon-lang:ceylon.regex;org.ceylon-lang;ceylon.regex
org.ceylon-lang:ceylon.random;org.ceylon-lang;ceylon.random
org.ceylon-lang:ceylon.promise;org.ceylon-lang;ceylon.promise
org.ceylon-lang:ceylon.process;org.ceylon-lang;ceylon.process
org.ceylon-lang:ceylon.numeric;org.ceylon-lang;ceylon.numeric
org.ceylon-lang:ceylon.math;org.ceylon-lang;ceylon.math
org.ceylon-lang:ceylon.logging;org.ceylon-lang;ceylon.logging
org.ceylon-lang:ceylon.locale;org.ceylon-lang;ceylon.locale
org.ceylon-lang:ceylon.json;org.ceylon-lang;ceylon.json
org.ceylon-lang:ceylon.interop.spring;org.ceylon-lang;ceylon.interop.spring
org.ceylon-lang:ceylon.interop.persistence;org.ceylon-lang;ceylon.interop.persistence
org.ceylon-lang:ceylon.interop.java;org.ceylon-lang;ceylon.interop.java
org.ceylon-lang:ceylon.http.server;org.ceylon-lang;ceylon.http.server
org.ceylon-lang:ceylon.http.client;org.ceylon-lang;ceylon.http.client
org.ceylon-lang:ceylon.uri;org.ceylon-lang;ceylon.uri
org.ceylon-lang:ceylon.http.common;org.ceylon-lang;ceylon.http.common
org.ceylon-lang:ceylon.io;org.ceylon-lang;ceylon.io
org.ceylon-lang:ceylon.html;org.ceylon-lang;ceylon.html
org.ceylon-lang:ceylon.file;org.ceylon-lang;ceylon.file
org.ceylon-lang:ceylon.dbc;org.ceylon-lang;ceylon.dbc
