com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
org.kie.uberfire:kie-uberfire-widgets-service;org.kie.uberfire;kie-uberfire-widgets-service
org.kie.uberfire:kie-uberfire-widgets;org.kie.uberfire;kie-uberfire-widgets
org.kie.uberfire:kie-uberfire-metadata-commons-io;org.kie.uberfire;kie-uberfire-metadata-commons-io
org.kie.uberfire:kie-uberfire-metadata-backend-lucene;org.kie.uberfire;kie-uberfire-metadata-backend-lucene
org.kie.uberfire:kie-uberfire-metadata-backends;org.kie.uberfire;kie-uberfire-metadata-backends
org.kie.uberfire:kie-uberfire-metadata-api;org.kie.uberfire;kie-uberfire-metadata-api
org.kie.uberfire:kie-uberfire-metadata;org.kie.uberfire;kie-uberfire-metadata
org.kie.uberfire:kie-uberfire-servlet-security;org.kie.uberfire;kie-uberfire-servlet-security
org.kie.uberfire:kie-uberfire-security;org.kie.uberfire;kie-uberfire-security
org.apache.servicemix.activemq:org.apache.servicemix.activemq.web;org.apache.servicemix.activemq;org.apache.servicemix.activemq.web
com.netbase:netbase4j;com.netbase;netbase4j
org.openengsb.wrapped:jira-rest-java-client-test;org.openengsb.wrapped;jira-rest-java-client-test
org.openengsb.wrapped:jira-rest-java-client-plugin;org.openengsb.wrapped;jira-rest-java-client-plugin
org.openengsb.wrapped:jira-rest-java-client-core;org.openengsb.wrapped;jira-rest-java-client-core
org.openengsb.wrapped:jira-rest-java-client-api;org.openengsb.wrapped;jira-rest-java-client-api
org.openengsb.wrapped:jira-rest-java-client-parent;org.openengsb.wrapped;jira-rest-java-client-parent
org.nd4j:nd4j-examples;org.nd4j;nd4j-examples
org.nd4j:nd4j-jcublas;org.nd4j;nd4j-jcublas
com.github.stephenc.wagon:wagon-gitsite;com.github.stephenc.wagon;wagon-gitsite
com.mycila:mycila-xmltool;com.mycila;mycila-xmltool
org.apache.servicemix.bundles:org.apache.servicemix.bundles.jaxb-impl;org.apache.servicemix.bundles;org.apache.servicemix.bundles.jaxb-impl
com.tngtech.jgiven:jgiven-parent;com.tngtech.jgiven;jgiven-parent
com.jamierf:sony-bravia-client;com.jamierf;sony-bravia-client
xtc:rats;xtc;rats
com.watchrabbit:rabbit-executor-spring;com.watchrabbit;rabbit-executor-spring
com.watchrabbit:rabbit-executor;com.watchrabbit;rabbit-executor
org.okkam.owl:jaob-core;org.okkam.owl;jaob-core
org.okkam.owl:jaob;org.okkam.owl;jaob
org.okkam.owl:jaob-maven-plugin;org.okkam.owl;jaob-maven-plugin
com.github.unix-junkie:jsr255;com.github.unix-junkie;jsr255
com.websudos:morpheus-postgres_2.10;com.websudos;morpheus-postgres_2.10
com.websudos:morpheus-mysql_2.10;com.websudos;morpheus-mysql_2.10
com.websudos:morpheus_2.10;com.websudos;morpheus_2.10
com.websudos:morpheus-testing_2.10;com.websudos;morpheus-testing_2.10
com.websudos:morpheus-dsl_2.10;com.websudos;morpheus-dsl_2.10
com.websudos:morpheus-zookeeper_2.10;com.websudos;morpheus-zookeeper_2.10
edu.internet2.middleware.psp:psp-distribution-for-grouper;edu.internet2.middleware.psp;psp-distribution-for-grouper
org.dbrain:templating;org.dbrain;templating
edu.internet2.middleware.psp:psp-distribution;edu.internet2.middleware.psp;psp-distribution
