com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
org.msgpack:msgpack-scala_2.9.2;org.msgpack;msgpack-scala_2.9.2
org.msgpack:msgpack-scala_2.9.1-1;org.msgpack;msgpack-scala_2.9.1-1
eu.fusepool.p3:transformer-commons;eu.fusepool.p3;transformer-commons
com.gu.tmp:scala-automation_2.10;com.gu.tmp;scala-automation_2.10
com.novocode:junit-interface;com.novocode;junit-interface
com.uwetrottmann:getglue-java;com.uwetrottmann;getglue-java
com.avast:bytecompressor-zlib_2.11;com.avast;bytecompressor-zlib_2.11
com.avast:bytecompressor-jsnappy_2.11;com.avast;bytecompressor-jsnappy_2.11
com.avast:bytecompressor-huffman_2.11;com.avast;bytecompressor-huffman_2.11
com.avast:bytecompressor_2.11;com.avast;bytecompressor_2.11
com.avast:bytecompressor-parent;com.avast;bytecompressor-parent
com.avast:avast-oss-parent;com.avast;avast-oss-parent
cn.org.zeronote:commondao;cn.org.zeronote;commondao
org.skyscreamer:yoga-demo-jersey-guice;org.skyscreamer;yoga-demo-jersey-guice
org.skyscreamer:yoga-demo-jersey-spring;org.skyscreamer;yoga-demo-jersey-spring
org.skyscreamer:yoga-demo-jersey-standalone;org.skyscreamer;yoga-demo-jersey-standalone
org.skyscreamer:yoga-demo-resteasy;org.skyscreamer;yoga-demo-resteasy
org.skyscreamer:yoga-demo-jaxrs-shared;org.skyscreamer;yoga-demo-jaxrs-shared
org.skyscreamer:yoga-demo-springmvc;org.skyscreamer;yoga-demo-springmvc
org.skyscreamer:yoga-demo-shared;org.skyscreamer;yoga-demo-shared
org.skyscreamer:yoga-demos;org.skyscreamer;yoga-demos
org.skyscreamer:yoga-hibernate;org.skyscreamer;yoga-hibernate
org.skyscreamer:yoga-jersey;org.skyscreamer;yoga-jersey
org.skyscreamer:yoga-jaxrs;org.skyscreamer;yoga-jaxrs
org.skyscreamer:yoga-springmvc;org.skyscreamer;yoga-springmvc
org.skyscreamer:yoga-integration;org.skyscreamer;yoga-integration
org.skyscreamer:yoga-core;org.skyscreamer;yoga-core
org.skyscreamer:yoga;org.skyscreamer;yoga
io.pristine:libjingle-peerconnection-so;io.pristine;libjingle-peerconnection-so
io.pristine:libjingle-peerconnection;io.pristine;libjingle-peerconnection
org.crazyyak.dev:yak-dev-rest-client;org.crazyyak.dev;yak-dev-rest-client
com.avast:bytecompressor-zlib_2.10;com.avast;bytecompressor-zlib_2.10
com.avast:bytecompressor-jsnappy_2.10;com.avast;bytecompressor-jsnappy_2.10
com.avast:bytecompressor-huffman_2.10;com.avast;bytecompressor-huffman_2.10
com.avast:bytecompressor_2.10;com.avast;bytecompressor_2.10
com.avast:bytecompressor-zlib_2.9;com.avast;bytecompressor-zlib_2.9
com.avast:bytecompressor-jsnappy_2.9;com.avast;bytecompressor-jsnappy_2.9
com.avast:bytecompressor-huffman_2.9;com.avast;bytecompressor-huffman_2.9
com.avast:bytecompressor_2.9;com.avast;bytecompressor_2.9
com.buddy:androidsdk-test;com.buddy;androidsdk-test
org.seqdoop:htsjdk;org.seqdoop;htsjdk
br.com.objectos:way-bvmf-fi;br.com.objectos;way-bvmf-fi
re.mko.jsnprsr:jsnprsr;re.mko.jsnprsr;jsnprsr
re.mko.jsnprsr:root;re.mko.jsnprsr;root
re.mko.jsnprsr:jsnprsr-speedtests;re.mko.jsnprsr;jsnprsr-speedtests
com.github.talberto:easybeans-atg;com.github.talberto;easybeans-atg
com.github.talberto:easybeans-gen;com.github.talberto;easybeans-gen
com.github.talberto:easybeans-api;com.github.talberto;easybeans-api
com.github.talberto:easybeans-parent;com.github.talberto;easybeans-parent
com.hp.autonomy.frontend:foss-master-pom;com.hp.autonomy.frontend;foss-master-pom
org.nuiton.js:nuiton-js-test;org.nuiton.js;nuiton-js-test
org.nuiton.js:nuiton-js-lib;org.nuiton.js;nuiton-js-lib
org.nuiton.js:nuiton-js-wro;org.nuiton.js;nuiton-js-wro
org.nuiton.js:nuiton-js;org.nuiton.js;nuiton-js
org.opentelecoms.client.launch:launch;org.opentelecoms.client.launch;launch
net.jexler.leanengine:leanengine;net.jexler.leanengine;leanengine
au.com.bytecode:opencsv;au.com.bytecode;opencsv
com.twitter:parquet-scrooge;com.twitter;parquet-scrooge
com.alibaba:daybits;com.alibaba;daybits
com.twitter:parquet-scala;com.twitter;parquet-scala
org.xacml4j:xacml-ehcache;org.xacml4j;xacml-ehcache
net.liftmodules:ng-js_3.0_2.10;net.liftmodules;ng-js_3.0_2.10
org.webjars:jsonary;org.webjars;jsonary
com.moparisthebest:junidecode;com.moparisthebest;junidecode
de.eleon:report2image;de.eleon;report2image
org.jwall:apache-config;org.jwall;apache-config
com.qmetric:hal-feed-server;com.qmetric;hal-feed-server
org.webjars:angular-motion;org.webjars;angular-motion
org.openpcf:neo4vertx;org.openpcf;neo4vertx
com.github.vizghar.circularview:lib;com.github.vizghar.circularview;lib
com.orange.redis-embedded:embedded-redis;com.orange.redis-embedded;embedded-redis
li.rudin.mavenjs:knockout;li.rudin.mavenjs;knockout
uk.gov.hmrc:play-health_2.10;uk.gov.hmrc;play-health_2.10
de.flapdoodle.wicket6:de.flapdoodle.wicket--examples;de.flapdoodle.wicket6;de.flapdoodle.wicket--examples
de.flapdoodle.wicket6:de.flapdoodle.wicket--incubator;de.flapdoodle.wicket6;de.flapdoodle.wicket--incubator
de.flapdoodle.wicket6:de.flapdoodle.wicket--debug;de.flapdoodle.wicket6;de.flapdoodle.wicket--debug
de.flapdoodle.wicket6:de.flapdoodle.wicket--requests;de.flapdoodle.wicket6;de.flapdoodle.wicket--requests
de.flapdoodle.wicket6:de.flapdoodle.wicket--components;de.flapdoodle.wicket6;de.flapdoodle.wicket--components
de.flapdoodle.wicket6:de.flapdoodle.wicket--models;de.flapdoodle.wicket6;de.flapdoodle.wicket--models
de.flapdoodle.wicket6:de.flapdoodle.wicket;de.flapdoodle.wicket6;de.flapdoodle.wicket
com.phloc:phloc-datetime-jdk5;com.phloc;phloc-datetime-jdk5
org.trippi:trippi-mulgara;org.trippi;trippi-mulgara
org.trippi:trippi-mptstore;org.trippi;trippi-mptstore
org.trippi:trippi-core;org.trippi;trippi-core
org.trippi:trippi;org.trippi;trippi
com.chrishorner:rhythmsticks;com.chrishorner;rhythmsticks
net.sf.jbddi:jbddi-visualization;net.sf.jbddi;jbddi-visualization
net.sf.jbddi:jbddi-core;net.sf.jbddi;jbddi-core
net.sf.jbddi:jbddi-algorithms;net.sf.jbddi;jbddi-algorithms
com.github.ethul:redis-algebra_2.11;com.github.ethul;redis-algebra_2.11
com.github.ethul:redis-algebra_2.10;com.github.ethul;redis-algebra_2.10
com.github.sambe:json-stream-transform_2.11;com.github.sambe;json-stream-transform_2.11
com.github.sambe:json-stream-transform_2.9.2;com.github.sambe;json-stream-transform_2.9.2
com.github.sambe:json-stream-transform_2.10;com.github.sambe;json-stream-transform_2.10
com.myriadmobile:serializablepath;com.myriadmobile;serializablepath
org.hudsonci.plugins:copy-team-cli;org.hudsonci.plugins;copy-team-cli
com.liferay:com.liferay.portal.log.bridge;com.liferay;com.liferay.portal.log.bridge
com.madgag:scala-textmatching_2.10;com.madgag;scala-textmatching_2.10
com.cloudbees.util:jnr-unixsocket-nodep;com.cloudbees.util;jnr-unixsocket-nodep
org.webjars:reconnecting-websocket;org.webjars;reconnecting-websocket
org.webjars:smoothie;org.webjars;smoothie
org.webjars:ramda;org.webjars;ramda
org.faktorips:org.faktorips.valuetypes.joda;org.faktorips;org.faktorips.valuetypes.joda
org.faktorips:org.faktorips.valuetypes;org.faktorips;org.faktorips.valuetypes
org.faktorips:org.faktorips.runtime;org.faktorips;org.faktorips.runtime
com.vk.androidsdk:library;com.vk.androidsdk;library
com.jpardogo.listbuddies:library;com.jpardogo.listbuddies;library
nz.ac.auckland.syllabus:syllabus-apidoc;nz.ac.auckland.syllabus;syllabus-apidoc
com.thindeck:thindeck-cockpit;com.thindeck;thindeck-cockpit
com.thindeck:thindeck;com.thindeck;thindeck
com.truward.di:micro-di-root;com.truward.di;micro-di-root
com.truward.di:micro-di;com.truward.di;micro-di
org.openldap:enmasse;org.openldap;enmasse
org.openldap:commander;org.openldap;commander
net.databinder.dispatch:dispatch-core_2.9.3;net.databinder.dispatch;dispatch-core_2.9.3
net.databinder.dispatch:dispatch-jsoup_2.9.3;net.databinder.dispatch;dispatch-jsoup_2.9.3
net.databinder.dispatch:dispatch-json4s-jackson_2.9.3;net.databinder.dispatch;dispatch-json4s-jackson_2.9.3
net.databinder.dispatch:dispatch-json4s-native_2.9.3;net.databinder.dispatch;dispatch-json4s-native_2.9.3
net.databinder.dispatch:dispatch-tagsoup_2.9.3;net.databinder.dispatch;dispatch-tagsoup_2.9.3
net.databinder.dispatch:dispatch-all_2.9.3;net.databinder.dispatch;dispatch-all_2.9.3
com.meterware.simpleserver:simpleserver;com.meterware.simpleserver;simpleserver
org.openldap:sentry;org.openldap;sentry
com.truward:micro-di-root;com.truward;micro-di-root
com.truward:micro-di;com.truward;micro-di
org.openscoring:server;org.openscoring;server
org.openscoring:service;org.openscoring;service
org.openscoring:client;org.openscoring;client
org.openscoring:common;org.openscoring;common
com.github.pavlospt:activitypassprotection;com.github.pavlospt;activitypassprotection
com.robbypond:facebook-android-sdk;com.robbypond;facebook-android-sdk
com.github.seratch:java-time-backport;com.github.seratch;java-time-backport
com.github.scalagen:scalagen_2.11;com.github.scalagen;scalagen_2.11
uk.co.javahelp.fitnesse:fitnesse-launcher-webapp-example;uk.co.javahelp.fitnesse;fitnesse-launcher-webapp-example
uk.co.javahelp.fitnesse:fitnesse-launcher-sql-example;uk.co.javahelp.fitnesse;fitnesse-launcher-sql-example
uk.co.javahelp.fitnesse:fitnesse-launcher-spring-example;uk.co.javahelp.fitnesse;fitnesse-launcher-spring-example
uk.co.javahelp.fitnesse:fitnesse-launcher-java-example;uk.co.javahelp.fitnesse;fitnesse-launcher-java-example
uk.co.javahelp.fitnesse:fitnesse-launcher-maven-plugin;uk.co.javahelp.fitnesse;fitnesse-launcher-maven-plugin
uk.co.javahelp.fitnesse:fitnesse-launcher-parent;uk.co.javahelp.fitnesse;fitnesse-launcher-parent
org.openldap:fortress;org.openldap;fortress
com.nicta:rng_2.10;com.nicta;rng_2.10
com.truward:metrics4j-api;com.truward;metrics4j-api
com.truward:metrics4j;com.truward;metrics4j
com.truward:metrics4j-json-log;com.truward;metrics4j-json-log
org.clojure:tools.emitter.jvm;org.clojure;tools.emitter.jvm
com.indoles.clj:mapdb-utils;com.indoles.clj;mapdb-utils
io.loli.storage:socket-redirect;io.loli.storage;socket-redirect
io.loli:storage;io.loli;storage
io.loli.storage:aliyun-oss;io.loli.storage;aliyun-oss
org.webjars:angular-foundation;org.webjars;angular-foundation
org.webjars:cilogi-marker;org.webjars;cilogi-marker
org.webjars:datatables-colvis;org.webjars;datatables-colvis
org.webjars:leaflet-plugins;org.webjars;leaflet-plugins
org.webjars:jasny-bootstrap;org.webjars;jasny-bootstrap
org.seqdoop:cofoja;org.seqdoop;cofoja
co.fusionx.spotify:spotify-web-api;co.fusionx.spotify;spotify-web-api
me.laiseca.urlmapper:url-mapper_2.10;me.laiseca.urlmapper;url-mapper_2.10
me.laiseca.urlmapper:url-mapper_2.11;me.laiseca.urlmapper;url-mapper_2.11
com.github.chytreg:elasticsearch-analysis-morfologik;com.github.chytreg;elasticsearch-analysis-morfologik
cc.concurrent:mango;cc.concurrent;mango
me.tfeng.play-plugins:dust-plugin;me.tfeng.play-plugins;dust-plugin
com.bluetrainsoftware.parent:maven-plugin-parent;com.bluetrainsoftware.parent;maven-plugin-parent
com.bluetrainsoftware.parent:groovy-parent;com.bluetrainsoftware.parent;groovy-parent
de.cubeisland:messageextractor-parent;de.cubeisland;messageextractor-parent
io.meles.testing:tomcat-test;io.meles.testing;tomcat-test
com.papertrailapp:logback-syslog4j;com.papertrailapp;logback-syslog4j
de.cubeisland.spoon:spoon-core;de.cubeisland.spoon;spoon-core
com.github.xuwei-k:twitterz_2.10;com.github.xuwei-k;twitterz_2.10
com.github.xuwei-k:twitterz_2.11;com.github.xuwei-k;twitterz_2.11
org.epics:vtype-seds;org.epics;vtype-seds
org.ow2.chameleon.fuchsia.discovery:org.ow2.chameleon.fuchsia.discovery.upnp-it;org.ow2.chameleon.fuchsia.discovery;org.ow2.chameleon.fuchsia.discovery.upnp-it
org.ow2.chameleon.fuchsia.importer:org.ow2.chameleon.fuchsia.importer.json-rpc-it;org.ow2.chameleon.fuchsia.importer;org.ow2.chameleon.fuchsia.importer.json-rpc-it
org.ow2.chameleon.fuchsia.base.philips-hue:philips-hue-sdk-resources;org.ow2.chameleon.fuchsia.base.philips-hue;philips-hue-sdk-resources
org.ow2.chameleon.fuchsia.base.philips-hue:philips-hue-sdk-core;org.ow2.chameleon.fuchsia.base.philips-hue;philips-hue-sdk-core
com.github.mperry:fidbake;com.github.mperry;fidbake
org.apache.sling:org.apache.sling.auth.selector;org.apache.sling;org.apache.sling.auth.selector
org.apache.sling:org.apache.sling.auth.openid;org.apache.sling;org.apache.sling.auth.openid
org.virtuslab:play-slick-configuration_2.10;org.virtuslab;play-slick-configuration_2.10
com.phloc:phloc-xmldsig;com.phloc;phloc-xmldsig
ru.yandex.qatools.allure:allure-e2e;ru.yandex.qatools.allure;allure-e2e
ru.yandex.qatools.allure:allure-java-commons;ru.yandex.qatools.allure;allure-java-commons
com.mgmtp.perfload:perfload-perfmon;com.mgmtp.perfload;perfload-perfmon
io.gatling:async-http-client;io.gatling;async-http-client
com.sixdimensions.commons.osgi.wrapper:jaxrpc-api;com.sixdimensions.commons.osgi.wrapper;jaxrpc-api
com.sixdimensions.commons.osgi.wrapper:commons-discovery;com.sixdimensions.commons.osgi.wrapper;commons-discovery
org.lappsgrid:json2json;org.lappsgrid;json2json
com.beachape.extensions:unless-when_2.11;com.beachape.extensions;unless-when_2.11
com.beachape.extensions:unless-when_2.10;com.beachape.extensions;unless-when_2.10
com.owteam.engUtils:log;com.owteam.engUtils;log
com.slidingautonomy.sbt:sbt-filter-1555225206;com.slidingautonomy.sbt;sbt-filter
de.eleon:console-builder-example;de.eleon;console-builder-example
de.eleon:console-builder;de.eleon;console-builder
de.eleon:console-builder-parent;de.eleon;console-builder-parent
com.lorentzos:FlingSwipe;com.lorentzos;FlingSwipe
com.selgp.opensauce:moladek-appium;com.selgp.opensauce;moladek-appium
com.selgp.opensauce:moladek-core;com.selgp.opensauce;moladek-core
com.selgp.opensauce:moladek;com.selgp.opensauce;moladek
com.selgp.opensauce:moladek-webdriver;com.selgp.opensauce;moladek-webdriver
co.fusionx.spotify:model;co.fusionx.spotify;model
com.owteam.engUtils:netrc;com.owteam.engUtils;netrc
edu.umass.cs:docker_2.11;edu.umass.cs;docker_2.11
edu.umass.cs:docker_2.10;edu.umass.cs;docker_2.10
net.xrrocha:yamltag;net.xrrocha;yamltag
co.fusionx:spotifymodel;co.fusionx;spotifymodel
com.github.sakebook.dialoghelper:DialogHelper;com.github.sakebook.dialoghelper;DialogHelper
com.github.sebastianengel.actionbarpulltorefresh:library;com.github.sebastianengel.actionbarpulltorefresh;library
com.github.sebastianengel.actionbarpulltorefresh:extra-abs;com.github.sebastianengel.actionbarpulltorefresh;extra-abs
com.github.sebastianengel.actionbarpulltorefresh:extra-abc;com.github.sebastianengel.actionbarpulltorefresh;extra-abc
com.github.androidsocialnetworks:library;com.github.androidsocialnetworks;library
com.github.misev:asqldb;com.github.misev;asqldb
com.sifionsolution:ssolution-commons;com.sifionsolution;ssolution-commons
com.github.dral:test-should;com.github.dral;test-should
de.cinovo.cloudconductor:cloudconductor-server;de.cinovo.cloudconductor;cloudconductor-server
eu.limetri.platform:jboss-support;eu.limetri.platform;jboss-support
eu.limetri.platform:platform-client;eu.limetri.platform;platform-client
eu.limetri.platform:platform-server;eu.limetri.platform;platform-server
eu.limetri.platform:platform-registry-jdbc;eu.limetri.platform;platform-registry-jdbc
eu.limetri.platform:platform-api;eu.limetri.platform;platform-api
eu.limetri.platform:platform-parent;eu.limetri.platform;platform-parent
org.subscript-lang:gradle-plugin;org.subscript-lang;gradle-plugin
io.jdev.cucumber:cucumber-variables;io.jdev.cucumber;cucumber-variables
au.com.dius:pact-jvm-provider-sbt_2.101685830400;au.com.dius;pact-jvm-provider-sbt_2.10
au.com.dius:pact-jvm-consumer-sbt_2.10;au.com.dius;pact-jvm-consumer-sbt_2.10
org.kevoree.platform:org.kevoree.platform.standalone.test;org.kevoree.platform;org.kevoree.platform.standalone.test
org.kevoree.platform:org.kevoree.platform.standalone.gui.public;org.kevoree.platform;org.kevoree.platform.standalone.gui.public
org.kevoree.platform:org.kevoree.platform.standalone.gui.prompt;org.kevoree.platform;org.kevoree.platform.standalone.gui.prompt
org.kevoree.tools:org.kevoree.tools.annotator.standalone;org.kevoree.tools;org.kevoree.tools.annotator.standalone
com.hazelcast.stabilizer:hazelcast-stabilizer-dist;com.hazelcast.stabilizer;hazelcast-stabilizer-dist
com.hazelcast.stabilizer:archetype;com.hazelcast.stabilizer;archetype
com.hazelcast.stabilizer:stabilizer;com.hazelcast.stabilizer;stabilizer
com.hazelcast.stabilizer:stabilizer-root;com.hazelcast.stabilizer;stabilizer-root
com.pkmmte.view:circularimageview-sample;com.pkmmte.view;circularimageview-sample
com.pkmmte.view:circularimageview;com.pkmmte.view;circularimageview
co.tomlee.guava.services:guava-nifty-service;co.tomlee.guava.services;guava-nifty-service
org.wildfly.core:wildfly-build-plugin;org.wildfly.core;wildfly-build-plugin
com.wesleyhome.jpa:criteria-query-generator;com.wesleyhome.jpa;criteria-query-generator
com.wesleyhome.jpa:criteria-query-annotations;com.wesleyhome.jpa;criteria-query-annotations
com.wesleyhome.jpa:criteria-query-generator-parent;com.wesleyhome.jpa;criteria-query-generator-parent
net.unit8.maven.plugins:assets-maven-plugin;net.unit8.maven.plugins;assets-maven-plugin
hu.chengming:In-Memory-Counter;hu.chengming;In-Memory-Counter
com.facebook.hiveio:hive-io-exp-testing;com.facebook.hiveio;hive-io-exp-testing
com.facebook.hiveio:hive-io-exp-mapreduce;com.facebook.hiveio;hive-io-exp-mapreduce
com.facebook.hiveio:hive-io-exp-cmdline;com.facebook.hiveio;hive-io-exp-cmdline
com.facebook.hiveio:hive-io-exp-core;com.facebook.hiveio;hive-io-exp-core
com.facebook.hiveio:hive-io-exp-parent;com.facebook.hiveio;hive-io-exp-parent
com.emc.vipr:jersey-apache-httpclient4;com.emc.vipr;jersey-apache-httpclient4
com.strategicgains.plugin-express:HyperExpressPlugin;com.strategicgains.plugin-express;HyperExpressPlugin
com.owteam.engUtils:cert;com.owteam.engUtils;cert
org.kaazing:robot.websocket.functions;org.kaazing;robot.websocket.functions
org.jbpm:jbpm-console-ng-asset-mgmt-client;org.jbpm;jbpm-console-ng-asset-mgmt-client
org.jbpm:jbpm-console-ng-asset-mgmt-api;org.jbpm;jbpm-console-ng-asset-mgmt-api
com.twitter:tormenta-twitter_2.9.3;com.twitter;tormenta-twitter_2.9.3
com.twitter:tormenta-kestrel_2.9.3;com.twitter;tormenta-kestrel_2.9.3
com.twitter:tormenta-core_2.9.3;com.twitter;tormenta-core_2.9.3
com.twitter:tormenta-kafka_2.9.3;com.twitter;tormenta-kafka_2.9.3
com.twitter:tormenta-avro_2.9.3;com.twitter;tormenta-avro_2.9.3
com.twitter:tormenta_2.9.3;com.twitter;tormenta_2.9.3
br.com.objectos:way-bvmf-bdr;br.com.objectos;way-bvmf-bdr
javax.websocket:javax.websocket-api;javax.websocket;javax.websocket-api
javax.websocket:javax.websocket-client-api;javax.websocket;javax.websocket-client-api
com.nicostratus:maven-common-parent;com.nicostratus;maven-common-parent
org.everit.osgi:org.everit.osgi.cache.infinispan;org.everit.osgi;org.everit.osgi.cache.infinispan
com.specdevs:specgine_2.10;com.specdevs;specgine_2.10
com.specdevs:specgine-macros_2.10;com.specdevs;specgine-macros_2.10
com.twitter:twitter-server_2.9.2;com.twitter;twitter-server_2.9.2
com.zanox.vertx:mod-kafka;com.zanox.vertx;mod-kafka
io.shaka:naive-json_2.11;io.shaka;naive-json_2.11
io.shaka:naive-json_2.10;io.shaka;naive-json_2.10
cn.chenlichao:wmi4j;cn.chenlichao;wmi4j
com.twitter:finagle-example_2.9.2;com.twitter;finagle-example_2.9.2
com.twitter:finagle-stream_2.9.2;com.twitter;finagle-stream_2.9.2
com.twitter:finagle-kestrel_2.9.2;com.twitter;finagle-kestrel_2.9.2
com.twitter:finagle-memcached_2.9.2;com.twitter;finagle-memcached_2.9.2
com.twitter:finagle-stress_2.9.2;com.twitter;finagle-stress_2.9.2
com.twitter:finagle-redis_2.9.2;com.twitter;finagle-redis_2.9.2
com.twitter:finagle-ostrich4_2.9.2;com.twitter;finagle-ostrich4_2.9.2
com.twitter:finagle-stats_2.9.2;com.twitter;finagle-stats_2.9.2
com.twitter:finagle-http_2.9.2;com.twitter;finagle-http_2.9.2
com.twitter:finagle-native_2.9.2;com.twitter;finagle-native_2.9.2
com.twitter:finagle-zipkin_2.9.2;com.twitter;finagle-zipkin_2.9.2
com.twitter:finagle-exception_2.9.2;com.twitter;finagle-exception_2.9.2
com.twitter:finagle-thriftmux_2.9.2;com.twitter;finagle-thriftmux_2.9.2
com.twitter:finagle-serversets_2.9.2;com.twitter;finagle-serversets_2.9.2
com.twitter:finagle-exp_2.9.2;com.twitter;finagle-exp_2.9.2
com.twitter:finagle-mux_2.9.2;com.twitter;finagle-mux_2.9.2
com.twitter:finagle-thrift_2.9.2;com.twitter;finagle-thrift_2.9.2
com.twitter:finagle-mysql_2.9.2;com.twitter;finagle-mysql_2.9.2
com.twitter:scrooge-linter_2.9.2;com.twitter;scrooge-linter_2.9.2
com.twitter:scrooge-generator_2.9.2;com.twitter;scrooge-generator_2.9.2
com.twitter:scrooge-ostrich_2.9.2;com.twitter;scrooge-ostrich_2.9.2
com.twitter:scrooge-serializer_2.9.2;com.twitter;scrooge-serializer_2.9.2
com.twitter:scrooge-runtime_2.9.2;com.twitter;scrooge-runtime_2.9.2
com.twitter:scrooge-core_2.9.2;com.twitter;scrooge-core_2.9.2
com.twitter:scrooge_2.9.2;com.twitter;scrooge_2.9.2
com.twitter:finagle-testers_2.9.2;com.twitter;finagle-testers_2.9.2
com.twitter:finagle-spdy_2.9.2;com.twitter;finagle-spdy_2.9.2
com.twitter:finagle-mdns_2.9.2;com.twitter;finagle-mdns_2.9.2
com.twitter:finagle-core_2.9.2;com.twitter;finagle-core_2.9.2
com.twitter:finagle-commons-stats_2.9.2;com.twitter;finagle-commons-stats_2.9.2
com.twitter:finagle-test_2.9.2;com.twitter;finagle-test_2.9.2
com.twitter:finagle_2.9.2;com.twitter;finagle_2.9.2
com.twitter:ostrich_2.9.2;com.twitter;ostrich_2.9.2
nl.tweeenveertig:seagull-api-wrapper;nl.tweeenveertig;seagull-api-wrapper
se.skltp.itintegration.monitoring:ServiceContracts_itintegration_monitoring;se.skltp.itintegration.monitoring;ServiceContracts_itintegration_monitoring
com.beachape.unlesswhen:unless-when_2.11;com.beachape.unlesswhen;unless-when_2.11
com.beachape.unlesswhen:unless-when_2.10;com.beachape.unlesswhen;unless-when_2.10
de.timroes.gradle:staged-properties;de.timroes.gradle;staged-properties
com.sandinh:couchbase-akka-extension_2.10;com.sandinh;couchbase-akka-extension_2.10
com.sandinh:couchbase-akka-extension_2.11;com.sandinh;couchbase-akka-extension_2.11
net.zaim.android:decoratecalendarview;net.zaim.android;decoratecalendarview
ru.zinal:gosthash;ru.zinal;gosthash
in.srain:parent;in.srain;parent
org.hudsonci.plugins:htmlpublisher;org.hudsonci.plugins;htmlpublisher
org.hudsonci.plugins:jacoco;org.hudsonci.plugins;jacoco
net.ceedubs:scrutinator-swagger_2.10;net.ceedubs;scrutinator-swagger_2.10
net.ceedubs:scrutinator-core_2.10;net.ceedubs;scrutinator-core_2.10
net.ceedubs:scrutinator-scalatra_2.10;net.ceedubs;scrutinator-scalatra_2.10
net.ceedubs:scrutinator-json4s_2.10;net.ceedubs;scrutinator-json4s_2.10
net.ceedubs:scrutinator_2.10;net.ceedubs;scrutinator_2.10
com.confluex:mule-module-error;com.confluex;mule-module-error
org.golo-lang:gradle-golo-plugin;org.golo-lang;gradle-golo-plugin
com.github.ndorigatti.mcpb:library;com.github.ndorigatti.mcpb;library
com.storm-enroute:reactive-collections_2.11;com.storm-enroute;reactive-collections_2.11
com.storm-enroute:reactive-collections-core_2.11;com.storm-enroute;reactive-collections-core_2.11
com.storm-enroute:reactive-collections_2.10;com.storm-enroute;reactive-collections_2.10
com.storm-enroute:reactive-collections-core_2.10;com.storm-enroute;reactive-collections-core_2.10
org.kuali.maven.plugins:kscontractdoc-maven-plugin;org.kuali.maven.plugins;kscontractdoc-maven-plugin
eu.fusepool.p3:p3;eu.fusepool.p3;p3
org.reactivebird:reactivebird_2.10;org.reactivebird;reactivebird_2.10
com.scalarx:scalarx_sjs0.5_2.10;com.scalarx;scalarx_sjs0.5_2.10
com.scalarx:scalarx_sjs0.5_2.11;com.scalarx;scalarx_sjs0.5_2.11
org.webjars:baconjs;org.webjars;baconjs
org.jasig.portlet:esup-twitter;org.jasig.portlet;esup-twitter
javax.websocket:javax.websocket-all;javax.websocket;javax.websocket-all
de.yourinspiration:jexpresso-session;de.yourinspiration;jexpresso-session
de.yourinspiration:jexpresso-static-resources;de.yourinspiration;jexpresso-static-resources
de.yourinspiration:jexpresso-basic-auth;de.yourinspiration;jexpresso-basic-auth
de.yourinspiration:jexpresso-accesslog;de.yourinspiration;jexpresso-accesslog
com.phloc:phloc-commons-jdk5;com.phloc;phloc-commons-jdk5
org.everit.osgi:org.everit.osgi.authorization.ri.schema.qdsl.util.api;org.everit.osgi;org.everit.osgi.authorization.ri.schema.qdsl.util.api
org.everit.osgi:org.everit.osgi.authorization.ri.schema.qdsl;org.everit.osgi;org.everit.osgi.authorization.ri.schema.qdsl
com.github.insubstantial:trident;com.github.insubstantial;trident
com.github.insubstantial:substance-swingx;com.github.insubstantial;substance-swingx
com.github.insubstantial:substance-flamingo;com.github.insubstantial;substance-flamingo
com.github.insubstantial:substance;com.github.insubstantial;substance
com.github.insubstantial:laf-widget;com.github.insubstantial;laf-widget
com.github.insubstantial:laf-plugin;com.github.insubstantial;laf-plugin
com.github.insubstantial:flamingo;com.github.insubstantial;flamingo
cn.guoyukun:pdm2pdf;cn.guoyukun;pdm2pdf
de.yourinspiration:jexpresso-base-auth;de.yourinspiration;jexpresso-base-auth
com.ansvia.graph:blueprints-scala_2.9.2;com.ansvia.graph;blueprints-scala_2.9.2
com.github.semoncat.fragmenttransanim:library;com.github.semoncat.fragmenttransanim;library
net.sourceforge.schemacrawler:schemacrawler;net.sourceforge.schemacrawler;schemacrawler
net.sourceforge.schemacrawler:schemacrawler-docs;net.sourceforge.schemacrawler;schemacrawler-docs
net.sourceforge.schemacrawler:schemacrawler-sybaseiq;net.sourceforge.schemacrawler;schemacrawler-sybaseiq
net.sourceforge.schemacrawler:schemacrawler-sqlserver;net.sourceforge.schemacrawler;schemacrawler-sqlserver
net.sourceforge.schemacrawler:schemacrawler-sqlite;net.sourceforge.schemacrawler;schemacrawler-sqlite
net.sourceforge.schemacrawler:schemacrawler-postgresql;net.sourceforge.schemacrawler;schemacrawler-postgresql
net.sourceforge.schemacrawler:schemacrawler-oracle;net.sourceforge.schemacrawler;schemacrawler-oracle
net.sourceforge.schemacrawler:schemacrawler-mysql;net.sourceforge.schemacrawler;schemacrawler-mysql
net.sourceforge.schemacrawler:schemacrawler-hsqldb;net.sourceforge.schemacrawler;schemacrawler-hsqldb
net.sourceforge.schemacrawler:schemacrawler-derby;net.sourceforge.schemacrawler;schemacrawler-derby
