com.w2v4:vertx-lang-clojure-parent;com.w2v4;vertx-lang-clojure-parent
org.softcake.cherry:cherry-core;org.softcake.cherry;cherry-core
com.rackspace.cloud.api:wadl-tools_2.11;com.rackspace.cloud.api;wadl-tools_2.11
com.rackspace.cloud.api:wadl-tools_2.10;com.rackspace.cloud.api;wadl-tools_2.10
com.rackspace.cloud.api:wadl-tools-aggregator;com.rackspace.cloud.api;wadl-tools-aggregator
org.wso2.performance.apim:performance-apim-distribution;org.wso2.performance.apim;performance-apim-distribution
org.wso2.performance.apim:performance-apim;org.wso2.performance.apim;performance-apim
io.shardingjdbc:sharding-jdbc-opentracing;io.shardingjdbc;sharding-jdbc-opentracing
io.shardingjdbc:sharding-jdbc-orchestration-spring-boot-starter;io.shardingjdbc;sharding-jdbc-orchestration-spring-boot-starter
io.shardingjdbc:sharding-jdbc-orchestration-spring-namespace;io.shardingjdbc;sharding-jdbc-orchestration-spring-namespace
io.shardingjdbc:sharding-jdbc-orchestration-spring;io.shardingjdbc;sharding-jdbc-orchestration-spring
io.shardingjdbc:sharding-jdbc-orchestration;io.shardingjdbc;sharding-jdbc-orchestration
io.shardingjdbc:sharding-jdbc-transaction-async-job;io.shardingjdbc;sharding-jdbc-transaction-async-job
io.shardingjdbc:sharding-jdbc-transaction;io.shardingjdbc;sharding-jdbc-transaction
io.shardingjdbc:sharding-jdbc-transaction-storage;io.shardingjdbc;sharding-jdbc-transaction-storage
io.shardingjdbc:sharding-jdbc-transaction-parent;io.shardingjdbc;sharding-jdbc-transaction-parent
io.shardingjdbc:sharding-jdbc-core-spring-boot-starter;io.shardingjdbc;sharding-jdbc-core-spring-boot-starter
io.shardingjdbc:sharding-jdbc-core-spring-namespace;io.shardingjdbc;sharding-jdbc-core-spring-namespace
io.shardingjdbc:sharding-jdbc-core-spring;io.shardingjdbc;sharding-jdbc-core-spring
io.shardingjdbc:sharding-jdbc-core;io.shardingjdbc;sharding-jdbc-core
io.shardingjdbc:sharding-jdbc;io.shardingjdbc;sharding-jdbc
com.typesafe.genjavadoc:genjavadoc-plugin_2.13.0-M3;com.typesafe.genjavadoc;genjavadoc-plugin_2.13.0-M3
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.5;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.5
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.4;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.4
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.3;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.3
com.sksamuel.avro4s:sbt-avro4s-1555225206;com.sksamuel.avro4s;sbt-avro4s
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.2;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.2
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.1;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.1
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.0;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.0
com.github.tkrs:gcs-scala-core_2.12;com.github.tkrs;gcs-scala-core_2.12
com.github.tkrs:gcs-scala-core_2.11;com.github.tkrs;gcs-scala-core_2.11
com.stripe:dagon_sjs0.6_2.10;com.stripe;dagon_sjs0.6_2.10
com.stripe:dagon-core_2.10;com.stripe;dagon-core_2.10
com.stripe:dagon-core_sjs0.6_2.10;com.stripe;dagon-core_sjs0.6_2.10
com.stripe:dagon_2.10;com.stripe;dagon_2.10
org.eurekaclinical:umls-query;org.eurekaclinical;umls-query
org.eurekaclinical:cas-server;org.eurekaclinical;cas-server
com.eimapi:file-service-fs;com.eimapi;file-service-fs
com.cisco.maven.plugins:device-package-maven-plugin;com.cisco.maven.plugins;device-package-maven-plugin
com.google.cloud.trace.v1:http-consumer;com.google.cloud.trace.v1;http-consumer
com.google.cloud.trace:appengine-standard-service;com.google.cloud.trace;appengine-standard-service
com.google.cloud.trace:trace-grpc-api-service;com.google.cloud.trace;trace-grpc-api-service
com.google.cloud.trace:logging-service;com.google.cloud.trace;logging-service
com.google.cloud.trace:services-parent;com.google.cloud.trace;services-parent
com.google.cloud.trace:service;com.google.cloud.trace;service
com.google.cloud.trace:guice-single-thread-scheduler;com.google.cloud.trace;guice-single-thread-scheduler
com.google.cloud.trace:guice-servlet;com.google.cloud.trace;guice-servlet
com.google.cloud.trace:servlet;com.google.cloud.trace;servlet
com.google.cloud.trace:guice-joda-timestamp;com.google.cloud.trace;guice-joda-timestamp
com.google.cloud.trace:joda-timestamp;com.google.cloud.trace;joda-timestamp
com.google.cloud.trace:guice-java-timestamp;com.google.cloud.trace;guice-java-timestamp
com.google.cloud.trace:java-timestamp;com.google.cloud.trace;java-timestamp
com.google.cloud.trace:guice-grpc-sink;com.google.cloud.trace;guice-grpc-sink
com.google.cloud.trace:guice-v1;com.google.cloud.trace;guice-v1
com.google.cloud.trace.v1:grpc-consumer;com.google.cloud.trace.v1;grpc-consumer
com.google.cloud.trace.v1:sink;com.google.cloud.trace.v1;sink
com.google.cloud.trace.v1:v1;com.google.cloud.trace.v1;v1
com.google.cloud.trace:guice-google-auth;com.google.cloud.trace;guice-google-auth
com.google.cloud.trace:guice-core;com.google.cloud.trace;guice-core
com.google.cloud.trace:implementation;com.google.cloud.trace;implementation
com.google.cloud.trace:sdk-sink;com.google.cloud.trace;sdk-sink
com.google.cloud.trace:core-testing;com.google.cloud.trace;core-testing
com.google.cloud.trace:guice-annotation;com.google.cloud.trace;guice-annotation
com.google.cloud.trace:guice;com.google.cloud.trace;guice
com.google.cloud.trace:core;com.google.cloud.trace;core
com.google.cloud.trace:annotation;com.google.cloud.trace;annotation
com.google.cloud.trace:sdk;com.google.cloud.trace;sdk
com.google.cloud.trace:root;com.google.cloud.trace;root
com.cisco.maven.plugins:cisco-maven-plugins-parent;com.cisco.maven.plugins;cisco-maven-plugins-parent
net.stickycode:sticky-coercion-ws;net.stickycode;sticky-coercion-ws
org.checkerframework.annotatedlib:commons-bcel;org.checkerframework.annotatedlib;commons-bcel
com.hypertino:service-control_2.12;com.hypertino;service-control_2.12
com.hypertino:service-control_2.11;com.hypertino;service-control_2.11
com.github.veithen.ulog:ulog;com.github.veithen.ulog;ulog
com.github.veithen.ulog:ulog-project;com.github.veithen.ulog;ulog-project
org.checkerframework:commons-bcel;org.checkerframework;commons-bcel
com.github.ykiselev:assets;com.github.ykiselev;assets
com.sangupta:jerry-services;com.sangupta;jerry-services
com.github.marvin-ai:marvin-engine-executor_2.12;com.github.marvin-ai;marvin-engine-executor_2.12
hr.com.vgv:vgv-exceptions;hr.com.vgv;vgv-exceptions
com.highrung:highrung-play_2.11;com.highrung;highrung-play_2.11
org.hibernate:hibernate-orm-modules;org.hibernate;hibernate-orm-modules
com.github.ppadial.mavenbase:root;com.github.ppadial.mavenbase;root
com.github.ppadial.mavenbase:pom;com.github.ppadial.mavenbase;pom
com.github.ppadial.mavenbase:pom-policy;com.github.ppadial.mavenbase;pom-policy
com.github.ppadial.mavenbase:aggregator;com.github.ppadial.mavenbase;aggregator
org.kuali.rice:rice-krad-data;org.kuali.rice;rice-krad-data
org.kuali.rice:rice-ken-api;org.kuali.rice;rice-ken-api
org.kuali.rice:rice-kew-api;org.kuali.rice;rice-kew-api
org.kuali.rice:rice-ksb;org.kuali.rice;rice-ksb
org.kuali.rice:rice-xml;org.kuali.rice;rice-xml
org.kuali.rice:rice-kim-impl;org.kuali.rice;rice-kim-impl
org.kuali.rice:rice-kim-ldap;org.kuali.rice;rice-kim-ldap
org.kuali.rice:rice-framework;org.kuali.rice;rice-framework
org.kuali.rice:rice-it-kim;org.kuali.rice;rice-it-kim
org.kuali.rice:rice-core-framework;org.kuali.rice;rice-core-framework
org.kuali.rice:rice-location-impl;org.kuali.rice;rice-location-impl
org.kuali.rice:rice-impex;org.kuali.rice;rice-impex
org.kuali.rice:rice-impex-server-bootstrap;org.kuali.rice;rice-impex-server-bootstrap
org.kuali.rice:rice-krad-sampleapp-web;org.kuali.rice;rice-krad-sampleapp-web
org.kuali.rice:rice-kns;org.kuali.rice;rice-kns
org.kuali.rice:rice-core-service-impl;org.kuali.rice;rice-core-service-impl
org.kuali.rice:rice-it-internal-tools;org.kuali.rice;rice-it-internal-tools
org.kuali.rice:rice-core-service-api;org.kuali.rice;rice-core-service-api
org.kuali.rice:rice-krms;org.kuali.rice;rice-krms
org.kuali.rice:rice-krad-theme-builder-test;org.kuali.rice;rice-krad-theme-builder-test
org.kuali.rice:rice-db-config;org.kuali.rice;rice-db-config
org.kuali.rice:rice-location-api;org.kuali.rice;rice-location-api
org.kuali.rice:rice;org.kuali.rice;rice
org.kuali.rice:rice-core-service;org.kuali.rice;rice-core-service
org.kuali.rice:rice-standalone;org.kuali.rice;rice-standalone
org.kuali.rice:rice-archetype;org.kuali.rice;rice-archetype
org.kuali.rice:rice-krad-sampleapp-impl;org.kuali.rice;rice-krad-sampleapp-impl
org.kuali.rice:rice-ksb-api;org.kuali.rice;rice-ksb-api
org.kuali.rice:rice-sampleapp;org.kuali.rice;rice-sampleapp
org.kuali.rice:rice-it-edl;org.kuali.rice;rice-it-edl
org.kuali.rice:rice-impl;org.kuali.rice;rice-impl
org.kuali.rice:rice-ksb-server-impl;org.kuali.rice;rice-ksb-server-impl
org.kuali.rice:rice-it-impl;org.kuali.rice;rice-it-impl
org.kuali.rice:rice-ksb-web;org.kuali.rice;rice-ksb-web
org.kuali.rice:rice-it-kcb;org.kuali.rice;rice-it-kcb
org.kuali.rice:rice-impex-client-demo;org.kuali.rice;rice-impex-client-demo
org.kuali.rice:rice-archetype-quickstart;org.kuali.rice;rice-archetype-quickstart
org.kuali.rice:rice-edl-framework;org.kuali.rice;rice-edl-framework
org.kuali.rice:rice-kim-api;org.kuali.rice;rice-kim-api
org.kuali.rice:rice-it-krms;org.kuali.rice;rice-it-krms
org.kuali.rice:rice-krms-api;org.kuali.rice;rice-krms-api
org.kuali.rice:rice-impex-server-demo;org.kuali.rice;rice-impex-server-demo
org.kuali.rice:rice-impex-server;org.kuali.rice;rice-impex-server
org.kuali.rice:rice-serviceregistry;org.kuali.rice;rice-serviceregistry
org.kuali.rice:rice-kew-framework;org.kuali.rice;rice-kew-framework
org.kuali.rice:rice-it-krad;org.kuali.rice;rice-it-krad
org.kuali.rice:rice-it-location;org.kuali.rice;rice-it-location
org.kuali.rice:rice-location-framework;org.kuali.rice;rice-location-framework
org.kuali.rice:rice-edl-impl;org.kuali.rice;rice-edl-impl
org.kuali.rice:rice-core-api;org.kuali.rice;rice-core-api
org.kuali.rice:rice-core-service-web;org.kuali.rice;rice-core-service-web
org.kuali.rice:rice-it-kew;org.kuali.rice;rice-it-kew
org.kuali.rice:rice-it-krad-s3;org.kuali.rice;rice-it-krad-s3
org.kuali.rice:rice-kew-impl;org.kuali.rice;rice-kew-impl
org.kuali.rice:rice-kim-framework;org.kuali.rice;rice-kim-framework
org.kuali.rice:rice-krad-sampleapp;org.kuali.rice;rice-krad-sampleapp
org.kuali.rice:rice-krad-service-impl;org.kuali.rice;rice-krad-service-impl
org.kuali.rice:rice-impex-client-bootstrap;org.kuali.rice;rice-impex-client-bootstrap
org.kuali.rice:rice-it;org.kuali.rice;rice-it
org.kuali.rice:rice-it-remote;org.kuali.rice;rice-it-remote
org.kuali.rice:rice-krms-gen;org.kuali.rice;rice-krms-gen
org.kuali.rice:rice-it-kew-s3;org.kuali.rice;rice-it-kew-s3
org.kuali.rice:rice-core-impl;org.kuali.rice;rice-core-impl
org.kuali.rice:rice-client-contrib;org.kuali.rice;rice-client-contrib
org.kuali.rice:rice-it-ken;org.kuali.rice;rice-it-ken
org.kuali.rice:rice-krms-impl;org.kuali.rice;rice-krms-impl
org.kuali.rice:rice-krad-web;org.kuali.rice;rice-krad-web
org.kuali.rice:rice-kew;org.kuali.rice;rice-kew
org.kuali.rice:rice-edl;org.kuali.rice;rice-edl
org.kuali.rice:rice-krad-web-framework;org.kuali.rice;rice-krad-web-framework
org.kuali.rice:rice-it-vc;org.kuali.rice;rice-it-vc
org.kuali.rice:rice-legacy-web;org.kuali.rice;rice-legacy-web
org.kuali.rice:rice-ken;org.kuali.rice;rice-ken
org.kuali.rice:rice-krad-development-tools;org.kuali.rice;rice-krad-development-tools
org.kuali.rice:rice-db;org.kuali.rice;rice-db
org.kuali.rice:rice-tools-test;org.kuali.rice;rice-tools-test
org.kuali.rice:rice-ksb-client-impl;org.kuali.rice;rice-ksb-client-impl
org.kuali.rice:rice-kim;org.kuali.rice;rice-kim
org.kuali.rice:rice-location-web;org.kuali.rice;rice-location-web
org.kuali.rice:rice-it-core;org.kuali.rice;rice-it-core
org.kuali.rice:rice-core-web;org.kuali.rice;rice-core-web
org.kuali.rice:rice-web;org.kuali.rice;rice-web
org.kuali.rice:rice-core-service-framework;org.kuali.rice;rice-core-service-framework
org.kuali.rice:rice-development-tools;org.kuali.rice;rice-development-tools
org.kuali.rice:rice-krms-framework;org.kuali.rice;rice-krms-framework
org.kuali.rice:rice-middleware;org.kuali.rice;rice-middleware
org.kuali.rice:rice-checkstyle;org.kuali.rice;rice-checkstyle
org.kuali.rice:rice-config;org.kuali.rice;rice-config
org.kuali.rice:rice-core;org.kuali.rice;rice-core
org.kuali.rice:rice-sql;org.kuali.rice;rice-sql
org.kuali.rice:rice-dist;org.kuali.rice;rice-dist
org.kuali.rice:rice-it-kns;org.kuali.rice;rice-it-kns
org.kuali.rice:rice-deploy;org.kuali.rice;rice-deploy
org.kuali.rice:rice-it-ksb;org.kuali.rice;rice-it-ksb
org.kuali.rice:rice-impex-master;org.kuali.rice;rice-impex-master
org.kuali.rice:rice-krad-theme-builder;org.kuali.rice;rice-krad-theme-builder
org.kuali.rice:rice-location;org.kuali.rice;rice-location
org.kuali.rice:rice-impex-client;org.kuali.rice;rice-impex-client
org.kuali.rice:rice-krad-app-framework;org.kuali.rice;rice-krad-app-framework
com.nachinius:linkcuttrees_2.12;com.nachinius;linkcuttrees_2.12
de.rototor.snuggletex:snuggletex-upconversion;de.rototor.snuggletex;snuggletex-upconversion
de.rototor.snuggletex:snuggletex-core;de.rototor.snuggletex;snuggletex-core
de.rototor.snuggletex:snuggletex-webapp;de.rototor.snuggletex;snuggletex-webapp
de.rototor.snuggletex:snuggletex-jeuclid;de.rototor.snuggletex;snuggletex-jeuclid
de.rototor.snuggletex:snuggletex;de.rototor.snuggletex;snuggletex
org.webjars.bower:github-com-srfrnk-ua-device-detector;org.webjars.bower;github-com-srfrnk-ua-device-detector
org.webjars.bower:github-com-srfrnk-ng-device-detector;org.webjars.bower;github-com-srfrnk-ng-device-detector
org.webjars.bower:ua-device-detector;org.webjars.bower;ua-device-detector
org.webjars.bower:github-com-legalthings-pdf-js-viewer;org.webjars.bower;github-com-legalthings-pdf-js-viewer
org.webjars.npm:github-com-legalthings-pdf-js-viewer;org.webjars.npm;github-com-legalthings-pdf-js-viewer
org.webjars.npm:uglifycss;org.webjars.npm;uglifycss
de.adorsys.sts:sts-jclouds-persistence;de.adorsys.sts;sts-jclouds-persistence
com.github.youyinnn:you-quick-jetty;com.github.youyinnn;you-quick-jetty
org.hypercomp.telco:axlrate-utils_2.12;org.hypercomp.telco;axlrate-utils_2.12
hu.blackbelt.bundles.t-digest:com.tdunning.t-digest;hu.blackbelt.bundles.t-digest;com.tdunning.t-digest
io.axoniq.axonhub:axonhub-spring-boot-autoconfigure;io.axoniq.axonhub;axonhub-spring-boot-autoconfigure
io.axoniq.axonhub:axonhub-client;io.axoniq.axonhub;axonhub-client
io.axoniq.axonhub:axonhub-grpc-proto;io.axoniq.axonhub;axonhub-grpc-proto
io.axoniq.axonhub:axonhub-client-parent;io.axoniq.axonhub;axonhub-client-parent
io.primeval:primeval-commons;io.primeval;primeval-commons
io.primeval:primeval-thirdparty-rt-bom;io.primeval;primeval-thirdparty-rt-bom
io.primeval:primeval-thirdparty-bom;io.primeval;primeval-thirdparty-bom
io.primeval:primeval-thirdparty-boms;io.primeval;primeval-thirdparty-boms
org.wso2.carbon.dashboards.samples.widgets:org.wso2.carbon.dashboards.samples.widgets.universal-widget;org.wso2.carbon.dashboards.samples.widgets;org.wso2.carbon.dashboards.samples.widgets.universal-widget
io.primeval:primeval-parent;io.primeval;primeval-parent
org.opendaylight.vtn:manager.it.features;org.opendaylight.vtn;manager.it.features
org.opendaylight.vtn:features4-vtn-manager;org.opendaylight.vtn;features4-vtn-manager
org.opendaylight.nic:odl-nic-renderer-vtn;org.opendaylight.nic;odl-nic-renderer-vtn
org.opendaylight.nic:vtn-renderer;org.opendaylight.nic;vtn-renderer
javax.management.j2ee:javax.management.j2ee-api;javax.management.j2ee;javax.management.j2ee-api
org.webjars.npm:react-joyride;org.webjars.npm;react-joyride
de.evosec:gradle-gitflow-release;de.evosec;gradle-gitflow-release
net.spals.shaded:protobuf-java;net.spals.shaded;protobuf-java
org.webjars.npm:rafl;org.webjars.npm;rafl
org.webjars.npm:nested-property;org.webjars.npm;nested-property
net.spals.shaded:guava;net.spals.shaded;guava
org.gnieh:lingua-fst_2.12;org.gnieh;lingua-fst_2.12
org.gnieh:lingua-cascade_2.12;org.gnieh;lingua-cascade_2.12
io.spray:spray-json_2.13.0-M3;io.spray;spray-json_2.13.0-M3
org.webjars.bower:github-com-igorlino-angular-colorbox;org.webjars.bower;github-com-igorlino-angular-colorbox
org.webjars.bower:jquery-colorbox;org.webjars.bower;jquery-colorbox
net.prasenjit:crypto;net.prasenjit;crypto
org.javadelight:delight-promise;org.javadelight;delight-promise
org.ansj:ansj_seg;org.ansj;ansj_seg
io.github.lordakkarin:nbt;io.github.lordakkarin;nbt
com.github.dcendents:mybatis-generator-plugins;com.github.dcendents;mybatis-generator-plugins
org.webjars.npm:github-com-szimek-signature_pad;org.webjars.npm;github-com-szimek-signature_pad
com.torchmind.utility:cidr;com.torchmind.utility;cidr
com.torchmind:authenticator;com.torchmind;authenticator
com.torchmind:observables;com.torchmind;observables
com.techshroom:templar;com.techshroom;templar
tec.uom.domain:uom-cloud;tec.uom.domain;uom-cloud
com.torchmind.utility:version;com.torchmind.utility;version
org.javadelight:delight-functional;org.javadelight;delight-functional
net.yetamine:net.yetamine.template;net.yetamine;net.yetamine.template
org.javadelight:delight-async;org.javadelight;delight-async
info.unterrainer.java.tools:csv-tools;info.unterrainer.java.tools;csv-tools
com.github.paramitamirza:CATENA;com.github.paramitamirza;CATENA
com.ailyr:lyr-tool-parent;com.ailyr;lyr-tool-parent
com.ailyr:lyr-tool-all;com.ailyr;lyr-tool-all
com.ailyr:lyr-tool-xpath;com.ailyr;lyr-tool-xpath
com.ailyr:lyr-tool-captcha;com.ailyr;lyr-tool-captcha
com.ailyr:lyr-tool-poi;com.ailyr;lyr-tool-poi
com.ailyr:lyr-tool-cron;com.ailyr;lyr-tool-cron
com.ailyr:lyr-tool-system;com.ailyr;lyr-tool-system
com.ailyr:lyr-tool-script;com.ailyr;lyr-tool-script
com.ailyr:lyr-tool-http;com.ailyr;lyr-tool-http
com.ailyr:lyr-tool-extra;com.ailyr;lyr-tool-extra
com.ailyr:lyr-tool-dfa;com.ailyr;lyr-tool-dfa
com.ailyr:lyr-tool-json;com.ailyr;lyr-tool-json
com.ailyr:lyr-tool-db;com.ailyr;lyr-tool-db
com.ailyr:lyr-tool-setting;com.ailyr;lyr-tool-setting
com.ailyr:lyr-tool-crypto;com.ailyr;lyr-tool-crypto
com.ailyr:lyr-tool-cache;com.ailyr;lyr-tool-cache
com.ailyr:lyr-tool-bloomFilter;com.ailyr;lyr-tool-bloomFilter
com.ailyr:lyr-tool-aop;com.ailyr;lyr-tool-aop
com.ailyr:lyr-tool-log;com.ailyr;lyr-tool-log
com.ailyr:lyr-tool-core;com.ailyr;lyr-tool-core
org.webjars.npm:rambdax;org.webjars.npm;rambdax
com.handcraftedbits.web:flaky;com.handcraftedbits.web;flaky
org.webjars.bower:dagre;org.webjars.bower;dagre
org.javadelight:delight-scheduler;org.javadelight;delight-scheduler
org.webjars.bower:graphlib;org.webjars.bower;graphlib
org.javadelight:delight-concurrency;org.javadelight;delight-concurrency
org.javadelight:delight-json;org.javadelight;delight-json
org.webjars.npm:foreachasync;org.webjars.npm;foreachasync
org.webjars.npm:closure-util;org.webjars.npm;closure-util
org.webjars.npm:underscore-contrib;org.webjars.npm;underscore-contrib
com.nachinius:splaytrees_2.12;com.nachinius;splaytrees_2.12
com.github.andreidore:smartbillclient;com.github.andreidore;smartbillclient
com.github.yhcheng.ppc64native:ppc64native;com.github.yhcheng.ppc64native;ppc64native
org.webjars.npm:junk;org.webjars.npm;junk
org.webjars.npm:decompress-zip;org.webjars.npm;decompress-zip
org.webjars.npm:temp;org.webjars.npm;temp
org.webjars.npm:pixelworks;org.webjars.npm;pixelworks
org.webjars.npm:get-down;org.webjars.npm;get-down
org.webjars.npm:request-progress;org.webjars.npm;request-progress
systems.manifold:archetype;systems.manifold;archetype
org.xerial.sbt:sbt-sonatype-1555225206;org.xerial.sbt;sbt-sonatype
org.webjars.npm:is-module;org.webjars.npm;is-module
org.webjars.npm:filename-regex;org.webjars.npm;filename-regex
ru.d-shap:hex;ru.d-shap;hex
net.dankito.mime:mime-utils;net.dankito.mime;mime-utils
org.sevensource.magnolia:magnolia-module-keycloak-security;org.sevensource.magnolia;magnolia-module-keycloak-security
net.unit8.enkan:kotowari-archetype;net.unit8.enkan;kotowari-archetype
org.zenframework.z8.dependencies.commons:juniversalchardet-1.0.3;org.zenframework.z8.dependencies.commons;juniversalchardet-1.0.3
org.zenframework.z8.dependencies.servlet:servlet-api-2.5;org.zenframework.z8.dependencies.servlet;servlet-api-2.5
org.zenframework.z8.dependencies.minimizers:closure;org.zenframework.z8.dependencies.minimizers;closure
org.zenframework.z8.dependencies:z8-dependencies-servlet;org.zenframework.z8.dependencies;z8-dependencies-servlet
org.zenframework.z8.dependencies.commons:dom4j-1.6.1;org.zenframework.z8.dependencies.commons;dom4j-1.6.1
org.zenframework.z8.dependencies.commons:postgresql-42.0.0;org.zenframework.z8.dependencies.commons;postgresql-42.0.0
org.zenframework.z8.dependencies.commons:jodconverter-core-3.0-beta-4-jahia2;org.zenframework.z8.dependencies.commons;jodconverter-core-3.0-beta-4-jahia2
org.zenframework.z8.dependencies:z8-dependencies-minimizers;org.zenframework.z8.dependencies;z8-dependencies-minimizers
org.zenframework.z8.dependencies:z8-dependencies;org.zenframework.z8.dependencies;z8-dependencies
org.zenframework.z8.dependencies.commons:log4j-1.2.17;org.zenframework.z8.dependencies.commons;log4j-1.2.17
org.zenframework.z8.dependencies.minimizers:yuicompressor;org.zenframework.z8.dependencies.minimizers;yuicompressor
org.zenframework.z8.dependencies:z8-dependencies-commons;org.zenframework.z8.dependencies;z8-dependencies-commons
org.zenframework.z8.dependencies.commons:mail-1.4.7;org.zenframework.z8.dependencies.commons;mail-1.4.7
org.zenframework.z8.dependencies.commons:ojdbc6;org.zenframework.z8.dependencies.commons;ojdbc6
org.zenframework.z8.dependencies.commons:commons-cli-1.0;org.zenframework.z8.dependencies.commons;commons-cli-1.0
org.zenframework.z8.dependencies.commons:commons-lang-2.1;org.zenframework.z8.dependencies.commons;commons-lang-2.1
org.zenframework.z8.dependencies.commons:commons-fileupload-1.3.1;org.zenframework.z8.dependencies.commons;commons-fileupload-1.3.1
org.zenframework.z8.dependencies.commons:commons-io-2.2;org.zenframework.z8.dependencies.commons;commons-io-2.2
se.litsec.eidas:eidas-opensaml2;se.litsec.eidas;eidas-opensaml2
org.webjars.bower:github-com-miztroh-wysiwyg-e;org.webjars.bower;github-com-miztroh-wysiwyg-e
org.webjars.bower:github-com-PolymerElements-iron-doc-viewer;org.webjars.bower;github-com-PolymerElements-iron-doc-viewer
com.logstruck:logstruck-json_2.11;com.logstruck;logstruck-json_2.11
com.logstruck:logstruck-logstash_2.11;com.logstruck;logstruck-logstash_2.11
com.logstruck:logstruck-example_2.11;com.logstruck;logstruck-example_2.11
org.webjars.bower:github-com-web-animations-web-animations-js;org.webjars.bower;github-com-web-animations-web-animations-js
com.logstruck:logstruck-file_2.11;com.logstruck;logstruck-file_2.11
com.logstruck:logstruck-slf4j_2.11;com.logstruck;logstruck-slf4j_2.11
com.logstruck:logstruck-fluentd_2.11;com.logstruck;logstruck-fluentd_2.11
com.logstruck:logstruck-logger_2.11;com.logstruck;logstruck-logger_2.11
org.webjars.bower:github-com-PolymerElements-paper-button;org.webjars.bower;github-com-PolymerElements-paper-button
com.logstruck:logstruck_2.11;com.logstruck;logstruck_2.11
org.webjars.bower:github-com-PolymerElements-paper-dropdown-menu;org.webjars.bower;github-com-PolymerElements-paper-dropdown-menu
org.webjars.bower:github-com-polymer-polymer;org.webjars.bower;github-com-polymer-polymer
org.webjars.bower:github-com-PolymerElements-iron-component-page;org.webjars.bower;github-com-PolymerElements-iron-component-page
com.github.cristianoperez:statsd-autoconfiguration;com.github.cristianoperez;statsd-autoconfiguration
com.permeagility:permeagility;com.permeagility;permeagility
com.sensatus:sbt-build-info-conf724599971;com.sensatus;sbt-build-info-conf
com.sensatus:sbt-build-info-conf-1555225206;com.sensatus;sbt-build-info-conf
com.github.raphcal:argument-parser;com.github.raphcal;argument-parser
org.webjars.bower:cometd-jquery;org.webjars.bower;cometd-jquery
org.webjars.bower:cometd;org.webjars.bower;cometd
org.webjars.bower:rsvp.js;org.webjars.bower;rsvp.js
org.webjars.bower:angular-ui-bootstrap-datetimepicker;org.webjars.bower;angular-ui-bootstrap-datetimepicker
com.steinf:spring-boot-feign-correlation-id;com.steinf;spring-boot-feign-correlation-id
org.wso2.messaging:org.wso2.broker.feature;org.wso2.messaging;org.wso2.broker.feature
org.wso2.messaging:broker-feature;org.wso2.messaging;broker-feature
org.wso2.messaging:broker-code-coverage;org.wso2.messaging;broker-code-coverage
org.wso2.messaging:integration;org.wso2.messaging;integration
org.wso2.messaging:broker-launcher;org.wso2.messaging;broker-launcher
org.wso2.messaging:broker-amqp;org.wso2.messaging;broker-amqp
org.wso2.messaging:broker-core;org.wso2.messaging;broker-core
org.wso2.messaging:broker-rest-runner;org.wso2.messaging;broker-rest-runner
org.wso2.messaging:broker-coordination;org.wso2.messaging;broker-coordination
org.wso2.messaging:broker-metrics;org.wso2.messaging;broker-metrics
org.wso2.messaging:broker-auth;org.wso2.messaging;broker-auth
org.wso2.messaging:broker-common;org.wso2.messaging;broker-common
org.wso2.messaging:message-broker;org.wso2.messaging;message-broker
io.committed.invest:invest-plugin-examples;io.committed.invest;invest-plugin-examples
org.opendaylight.netvirt:vpnservice-karaf;org.opendaylight.netvirt;vpnservice-karaf
ch.empros:kmap;ch.empros;kmap
com.yashoid:sliderlayout;com.yashoid;sliderlayout
com.speedment.connector:h2;com.speedment.connector;h2
com.speedment.connector:connector-parent;com.speedment.connector;connector-parent
org.webjars.bower:github-com-bcabanes-ng-camera;org.webjars.bower;github-com-bcabanes-ng-camera
org.webjars.bower:webcamjs;org.webjars.bower;webcamjs
org.apache.hivemall:hivemall-spark2.0;org.apache.hivemall;hivemall-spark2.0
org.javadelight:delight-strings;org.javadelight;delight-strings
com.f2prateek.dart.migration:henson-processor;com.f2prateek.dart.migration;henson-processor
com.f2prateek.dart.migration:dart-processor;com.f2prateek.dart.migration;dart-processor
com.f2prateek.dart.migration:dart-common;com.f2prateek.dart.migration;dart-common
com.f2prateek.dart.migration:henson;com.f2prateek.dart.migration;henson
com.f2prateek.dart.migration:dart;com.f2prateek.dart.migration;dart
com.f2prateek.dart.migration:dart-annotations;com.f2prateek.dart.migration;dart-annotations
com.f2prateek.dart.migration:dart-parent;com.f2prateek.dart.migration;dart-parent
com.github.bordertech.taskmaster:taskmaster;com.github.bordertech.taskmaster;taskmaster
com.outln:powercsv;com.outln;powercsv
