net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
dev.schlaubi.lyrics:client-jvm;dev.schlaubi.lyrics;client-jvm
dev.schlaubi.lyrics:lavaplayer;dev.schlaubi.lyrics;lavaplayer
org.robolectric:android-all-instrumented;org.robolectric;android-all-instrumented
org.robolectric:android-all;org.robolectric;android-all
com.increase.api:increase-kotlin-client-okhttp;com.increase.api;increase-kotlin-client-okhttp
com.increase.api:increase-kotlin;com.increase.api;increase-kotlin
com.increase.api:increase-kotlin-core;com.increase.api;increase-kotlin-core
xyz.block:java-kotlin-maven-example-impl;xyz.block;java-kotlin-maven-example-impl
xyz.block:java-kotlin-maven-example-api;xyz.block;java-kotlin-maven-example-api
xyz.block:java-kotlin-maven-example-parent;xyz.block;java-kotlin-maven-example-parent
org.springframework.ldap:spring-ldap-core-tiger;org.springframework.ldap;spring-ldap-core-tiger
io.github.woody230.gw2:v2-tile-model;io.github.woody230.gw2;v2-tile-model
io.github.woody230.gw2:v2-tile-model-jvm;io.github.woody230.gw2;v2-tile-model-jvm
io.github.woody230.gw2:v2-tile-model-android;io.github.woody230.gw2;v2-tile-model-android
io.github.woody230.gw2:v2-tile-model-android-debug;io.github.woody230.gw2;v2-tile-model-android-debug
io.github.ralfspoeth:basix;io.github.ralfspoeth;basix
io.github.woody230.gw2:v2-tile-kodein-db;io.github.woody230.gw2;v2-tile-kodein-db
io.github.woody230.gw2:v2-tile-kodein-db-jvm;io.github.woody230.gw2;v2-tile-kodein-db-jvm
io.github.woody230.gw2:v2-tile-kodein-db-android;io.github.woody230.gw2;v2-tile-kodein-db-android
io.github.woody230.gw2:v2-tile-kodein-db-android-debug;io.github.woody230.gw2;v2-tile-kodein-db-android-debug
io.github.woody230.gw2:v2-tile-client;io.github.woody230.gw2;v2-tile-client
io.github.woody230.gw2:v2-tile-client-jvm;io.github.woody230.gw2;v2-tile-client-jvm
io.github.woody230.gw2:v2-tile-client-android;io.github.woody230.gw2;v2-tile-client-android
io.github.woody230.gw2:v2-tile-client-android-debug;io.github.woody230.gw2;v2-tile-client-android-debug
io.github.woody230.gw2:v2-scope;io.github.woody230.gw2;v2-scope
io.github.woody230.gw2:v2-scope-jvm;io.github.woody230.gw2;v2-scope-jvm
io.github.woody230.gw2:v2-scope-android;io.github.woody230.gw2;v2-scope-android
io.github.woody230.gw2:v2-scope-android-debug;io.github.woody230.gw2;v2-scope-android-debug
io.github.woody230.gw2:v2-resource;io.github.woody230.gw2;v2-resource
io.github.woody230.gw2:v2-resource-jvm;io.github.woody230.gw2;v2-resource-jvm
io.github.woody230.gw2:v2-resource-android;io.github.woody230.gw2;v2-resource-android
io.github.woody230.gw2:v2-resource-android-debug;io.github.woody230.gw2;v2-resource-android-debug
io.github.woody230.gw2:v2-model-kodein-db;io.github.woody230.gw2;v2-model-kodein-db
io.github.woody230.gw2:v2-model-kodein-db-jvm;io.github.woody230.gw2;v2-model-kodein-db-jvm
io.github.woody230.gw2:v2-model-kodein-db-android;io.github.woody230.gw2;v2-model-kodein-db-android
io.github.woody230.gw2:v2-model-kodein-db-android-debug;io.github.woody230.gw2;v2-model-kodein-db-android-debug
io.github.woody230.gw2:v2-model-extension;io.github.woody230.gw2;v2-model-extension
io.github.woody230.gw2:v2-model-extension-jvm;io.github.woody230.gw2;v2-model-extension-jvm
io.github.woody230.gw2:v2-model-extension-android;io.github.woody230.gw2;v2-model-extension-android
io.github.woody230.gw2:v2-model-extension-android-debug;io.github.woody230.gw2;v2-model-extension-android-debug
io.github.woody230.gw2:v2-model-enumeration;io.github.woody230.gw2;v2-model-enumeration
io.github.woody230.gw2:v2-model-enumeration-jvm;io.github.woody230.gw2;v2-model-enumeration-jvm
io.github.woody230.gw2:v2-model-enumeration-android;io.github.woody230.gw2;v2-model-enumeration-android
io.github.woody230.gw2:v2-model-enumeration-android-debug;io.github.woody230.gw2;v2-model-enumeration-android-debug
io.github.woody230.gw2:v2-model;io.github.woody230.gw2;v2-model
io.github.woody230.gw2:v2-model-jvm;io.github.woody230.gw2;v2-model-jvm
io.github.woody230.gw2:v2-model-android;io.github.woody230.gw2;v2-model-android
io.github.woody230.gw2:v2-model-android-debug;io.github.woody230.gw2;v2-model-android-debug
io.github.woody230.gw2:v2-intl-kodein-db;io.github.woody230.gw2;v2-intl-kodein-db
io.github.woody230.gw2:v2-intl-kodein-db-jvm;io.github.woody230.gw2;v2-intl-kodein-db-jvm
io.github.woody230.gw2:v2-intl-kodein-db-android;io.github.woody230.gw2;v2-intl-kodein-db-android
io.github.woody230.gw2:v2-intl-kodein-db-android-debug;io.github.woody230.gw2;v2-intl-kodein-db-android-debug
io.github.woody230.gw2:v2-intl;io.github.woody230.gw2;v2-intl
io.github.woody230.gw2:v2-intl-jvm;io.github.woody230.gw2;v2-intl-jvm
io.github.woody230.gw2:v2-intl-android;io.github.woody230.gw2;v2-intl-android
io.github.woody230.gw2:v2-intl-android-debug;io.github.woody230.gw2;v2-intl-android-debug
io.github.woody230.gw2:v2-emblem;io.github.woody230.gw2;v2-emblem
io.github.woody230.gw2:v2-emblem-jvm;io.github.woody230.gw2;v2-emblem-jvm
io.github.woody230.gw2:v2-emblem-android;io.github.woody230.gw2;v2-emblem-android
io.github.woody230.gw2:v2-emblem-android-debug;io.github.woody230.gw2;v2-emblem-android-debug
io.github.woody230.gw2:v2-client;io.github.woody230.gw2;v2-client
io.github.woody230.gw2:v2-client-jvm;io.github.woody230.gw2;v2-client-jvm
io.github.woody230.gw2:v2-client-android;io.github.woody230.gw2;v2-client-android
io.github.woody230.gw2:v2-client-android-debug;io.github.woody230.gw2;v2-client-android-debug
io.github.woody230.gw2:v2-chatlink;io.github.woody230.gw2;v2-chatlink
io.github.woody230.gw2:v2-chatlink-jvm;io.github.woody230.gw2;v2-chatlink-jvm
io.github.woody230.gw2:v2-chatlink-android;io.github.woody230.gw2;v2-chatlink-android
io.github.woody230.gw2:v2-chatlink-android-debug;io.github.woody230.gw2;v2-chatlink-android-debug
io.github.woody230.gw2:asset-cdn;io.github.woody230.gw2;asset-cdn
io.github.woody230.gw2:asset-cdn-jvm;io.github.woody230.gw2;asset-cdn-jvm
io.github.woody230.gw2:asset-cdn-android;io.github.woody230.gw2;asset-cdn-android
io.github.woody230.gw2:asset-cdn-android-debug;io.github.woody230.gw2;asset-cdn-android-debug
io.github.woody230.ktx:value-identifier;io.github.woody230.ktx;value-identifier
io.github.woody230.ktx:value-identifier-jvm;io.github.woody230.ktx;value-identifier-jvm
io.github.woody230.ktx:value-identifier-android;io.github.woody230.ktx;value-identifier-android
io.github.woody230.ktx:value-identifier-android-debug;io.github.woody230.ktx;value-identifier-android-debug
io.github.woody230.ktx:value-enumeration;io.github.woody230.ktx;value-enumeration
io.github.woody230.ktx:value-enumeration-jvm;io.github.woody230.ktx;value-enumeration-jvm
io.github.woody230.ktx:compose-ui-unit;io.github.woody230.ktx;compose-ui-unit
io.github.woody230.ktx:value-enumeration-android;io.github.woody230.ktx;value-enumeration-android
io.github.woody230.ktx:compose-ui-unit-jvm;io.github.woody230.ktx;compose-ui-unit-jvm
io.github.woody230.ktx:value-enumeration-android-debug;io.github.woody230.ktx;value-enumeration-android-debug
io.github.woody230.ktx:compose-ui-unit-android;io.github.woody230.ktx;compose-ui-unit-android
io.github.woody230.ktx:compose-ui-unit-android-debug;io.github.woody230.ktx;compose-ui-unit-android-debug
io.github.woody230.ktx:settings;io.github.woody230.ktx;settings
io.github.woody230.ktx:compose-ui-text;io.github.woody230.ktx;compose-ui-text
io.github.woody230.ktx:settings-jvm;io.github.woody230.ktx;settings-jvm
io.github.woody230.ktx:compose-ui-text-jvm;io.github.woody230.ktx;compose-ui-text-jvm
io.github.woody230.ktx:settings-android;io.github.woody230.ktx;settings-android
io.github.woody230.ktx:compose-ui-text-android;io.github.woody230.ktx;compose-ui-text-android
io.github.woody230.ktx:settings-android-debug;io.github.woody230.ktx;settings-android-debug
io.github.woody230.ktx:compose-ui-text-android-debug;io.github.woody230.ktx;compose-ui-text-android-debug
io.github.woody230.ktx:resource;io.github.woody230.ktx;resource
io.github.woody230.ktx:resource-jvm;io.github.woody230.ktx;resource-jvm
io.github.woody230.ktx:compose-ui-layout-custom;io.github.woody230.ktx;compose-ui-layout-custom
io.github.woody230.ktx:resource-android;io.github.woody230.ktx;resource-android
io.github.woody230.ktx:compose-ui-layout-custom-jvm;io.github.woody230.ktx;compose-ui-layout-custom-jvm
io.github.woody230.ktx:resource-android-debug;io.github.woody230.ktx;resource-android-debug
io.github.woody230.ktx:compose-ui-layout-custom-android;io.github.woody230.ktx;compose-ui-layout-custom-android
io.github.woody230.ktx:ktor-client-connectivity;io.github.woody230.ktx;ktor-client-connectivity
io.github.woody230.ktx:compose-ui-layout-custom-android-debug;io.github.woody230.ktx;compose-ui-layout-custom-android-debug
io.github.woody230.ktx:ktor-client-connectivity-jvm;io.github.woody230.ktx;ktor-client-connectivity-jvm
io.github.woody230.ktx:ktor-client-connectivity-android;io.github.woody230.ktx;ktor-client-connectivity-android
io.github.woody230.ktx:compose-ui-layout-common;io.github.woody230.ktx;compose-ui-layout-common
io.github.woody230.ktx:ktor-client-connectivity-android-debug;io.github.woody230.ktx;ktor-client-connectivity-android-debug
io.github.woody230.ktx:compose-ui-layout-common-jvm;io.github.woody230.ktx;compose-ui-layout-common-jvm
io.github.woody230.ktx:ktor-client;io.github.woody230.ktx;ktor-client
io.github.woody230.ktx:compose-ui-layout-common-android;io.github.woody230.ktx;compose-ui-layout-common-android
io.github.woody230.ktx:ktor-client-jvm;io.github.woody230.ktx;ktor-client-jvm
io.github.woody230.ktx:ktor-client-android;io.github.woody230.ktx;ktor-client-android
io.github.woody230.ktx:compose-ui-layout-common-android-debug;io.github.woody230.ktx;compose-ui-layout-common-android-debug
io.github.woody230.ktx:ktor-client-android-debug;io.github.woody230.ktx;ktor-client-android-debug
io.github.woody230.ktx:compose-ui-layout;io.github.woody230.ktx;compose-ui-layout
io.github.woody230.ktx:kodein-db;io.github.woody230.ktx;kodein-db
io.github.woody230.ktx:compose-ui-layout-jvm;io.github.woody230.ktx;compose-ui-layout-jvm
io.github.woody230.ktx:kodein-db-jvm;io.github.woody230.ktx;kodein-db-jvm
io.github.woody230.ktx:compose-ui-layout-android;io.github.woody230.ktx;compose-ui-layout-android
io.github.woody230.ktx:kodein-db-android;io.github.woody230.ktx;kodein-db-android
io.github.woody230.ktx:kodein-db-android-debug;io.github.woody230.ktx;kodein-db-android-debug
io.github.woody230.ktx:compose-ui-layout-android-debug;io.github.woody230.ktx;compose-ui-layout-android-debug
io.github.woody230.ktx:intl-serialization;io.github.woody230.ktx;intl-serialization
io.github.woody230.ktx:compose-ui-intl;io.github.woody230.ktx;compose-ui-intl
io.github.woody230.ktx:intl-serialization-jvm;io.github.woody230.ktx;intl-serialization-jvm
io.github.woody230.ktx:compose-ui-intl-jvm;io.github.woody230.ktx;compose-ui-intl-jvm
io.github.woody230.ktx:intl-serialization-android;io.github.woody230.ktx;intl-serialization-android
io.github.woody230.ktx:compose-ui-intl-android;io.github.woody230.ktx;compose-ui-intl-android
io.github.woody230.ktx:intl-serialization-android-debug;io.github.woody230.ktx;intl-serialization-android-debug
io.github.woody230.ktx:compose-ui-intl-android-debug;io.github.woody230.ktx;compose-ui-intl-android-debug
io.github.woody230.ktx:intl;io.github.woody230.ktx;intl
io.github.woody230.ktx:compose-ui-graphics;io.github.woody230.ktx;compose-ui-graphics
io.github.ablearthy:td-types_2.13;io.github.ablearthy;td-types_2.13
io.github.ablearthy:td-types_3;io.github.ablearthy;td-types_3
io.github.woody230.ktx:intl-jvm;io.github.woody230.ktx;intl-jvm
io.github.woody230.ktx:compose-ui-graphics-jvm;io.github.woody230.ktx;compose-ui-graphics-jvm
io.github.woody230.ktx:intl-android;io.github.woody230.ktx;intl-android
io.github.woody230.ktx:compose-ui-graphics-android;io.github.woody230.ktx;compose-ui-graphics-android
io.github.woody230.ktx:intl-android-debug;io.github.woody230.ktx;intl-android-debug
io.github.woody230.ktx:compose-ui-graphics-android-debug;io.github.woody230.ktx;compose-ui-graphics-android-debug
io.github.woody230.ktx:intent;io.github.woody230.ktx;intent
io.github.woody230.ktx:compose-ui-geometry;io.github.woody230.ktx;compose-ui-geometry
io.github.woody230.ktx:intent-jvm;io.github.woody230.ktx;intent-jvm
io.github.woody230.ktx:compose-ui-geometry-jvm;io.github.woody230.ktx;compose-ui-geometry-jvm
io.github.woody230.ktx:intent-android;io.github.woody230.ktx;intent-android
io.github.woody230.ktx:compose-ui-geometry-android;io.github.woody230.ktx;compose-ui-geometry-android
io.github.woody230.ktx:intent-android-debug;io.github.woody230.ktx;intent-android-debug
io.github.woody230.ktx:compose-ui-geometry-android-debug;io.github.woody230.ktx;compose-ui-geometry-android-debug
io.github.woody230.ktx:geometry-serialization;io.github.woody230.ktx;geometry-serialization
io.github.woody230.ktx:compose-ui;io.github.woody230.ktx;compose-ui
io.github.woody230.ktx:geometry-serialization-jvm;io.github.woody230.ktx;geometry-serialization-jvm
io.github.woody230.ktx:compose-ui-jvm;io.github.woody230.ktx;compose-ui-jvm
io.github.woody230.ktx:geometry-serialization-android;io.github.woody230.ktx;geometry-serialization-android
io.github.woody230.ktx:compose-ui-android;io.github.woody230.ktx;compose-ui-android
io.github.woody230.ktx:geometry-serialization-android-debug;io.github.woody230.ktx;geometry-serialization-android-debug
de.cimt.talendcomp:cimt-talendcomp-maven-plugin;de.cimt.talendcomp;cimt-talendcomp-maven-plugin
io.github.woody230.ktx:compose-ui-android-debug;io.github.woody230.ktx;compose-ui-android-debug
io.github.woody230.ktx:geometry;io.github.woody230.ktx;geometry
io.github.woody230.ktx:compose-settings;io.github.woody230.ktx;compose-settings
io.github.woody230.ktx:geometry-jvm;io.github.woody230.ktx;geometry-jvm
io.github.woody230.ktx:compose-settings-jvm;io.github.woody230.ktx;compose-settings-jvm
io.github.woody230.ktx:compose-settings-android;io.github.woody230.ktx;compose-settings-android
io.github.woody230.ktx:geometry-android;io.github.woody230.ktx;geometry-android
io.github.woody230.ktx:geometry-android-debug;io.github.woody230.ktx;geometry-android-debug
io.github.woody230.ktx:compose-settings-android-debug;io.github.woody230.ktx;compose-settings-android-debug
io.github.woody230.ktx:function;io.github.woody230.ktx;function
io.github.woody230.ktx:compose-serialization;io.github.woody230.ktx;compose-serialization
io.github.woody230.ktx:function-jvm;io.github.woody230.ktx;function-jvm
io.github.woody230.ktx:compose-serialization-jvm;io.github.woody230.ktx;compose-serialization-jvm
io.github.woody230.ktx:function-android;io.github.woody230.ktx;function-android
io.github.woody230.ktx:compose-serialization-android;io.github.woody230.ktx;compose-serialization-android
io.github.woody230.ktx:function-android-debug;io.github.woody230.ktx;function-android-debug
io.github.woody230.ktx:compose-serialization-android-debug;io.github.woody230.ktx;compose-serialization-android-debug
io.github.woody230.ktx:serialization-yaml-json-conversion;io.github.woody230.ktx;serialization-yaml-json-conversion
io.github.woody230.ktx:datetime-serialization;io.github.woody230.ktx;datetime-serialization
io.github.woody230.ktx:compose-resource;io.github.woody230.ktx;compose-resource
io.github.woody230.ktx:serialization-yaml-json-conversion-jvm;io.github.woody230.ktx;serialization-yaml-json-conversion-jvm
io.github.woody230.ktx:datetime-serialization-jvm;io.github.woody230.ktx;datetime-serialization-jvm
io.github.woody230.ktx:compose-resource-jvm;io.github.woody230.ktx;compose-resource-jvm
io.github.woody230.ktx:serialization-yaml-json-conversion-android;io.github.woody230.ktx;serialization-yaml-json-conversion-android
io.github.woody230.ktx:datetime-serialization-android;io.github.woody230.ktx;datetime-serialization-android
io.github.woody230.ktx:compose-resource-android;io.github.woody230.ktx;compose-resource-android
io.github.woody230.ktx:serialization-yaml-json-conversion-android-debug;io.github.woody230.ktx;serialization-yaml-json-conversion-android-debug
io.github.woody230.ktx:datetime-serialization-android-debug;io.github.woody230.ktx;datetime-serialization-android-debug
io.github.woody230.ktx:compose-resource-android-debug;io.github.woody230.ktx;compose-resource-android-debug
io.github.woody230.ktx:serialization-yaml;io.github.woody230.ktx;serialization-yaml
io.github.woody230.ktx:datetime;io.github.woody230.ktx;datetime
io.github.woody230.ktx:serialization-yaml-jvm;io.github.woody230.ktx;serialization-yaml-jvm
io.github.woody230.ktx:compose-constraint-layout;io.github.woody230.ktx;compose-constraint-layout
io.github.woody230.ktx:datetime-jvm;io.github.woody230.ktx;datetime-jvm
io.github.woody230.ktx:serialization-yaml-android;io.github.woody230.ktx;serialization-yaml-android
io.github.woody230.ktx:datetime-android;io.github.woody230.ktx;datetime-android
io.github.woody230.ktx:serialization-yaml-android-debug;io.github.woody230.ktx;serialization-yaml-android-debug
io.github.woody230.ktx:compose-constraint-layout-jvm;io.github.woody230.ktx;compose-constraint-layout-jvm
io.github.woody230.ktx:datetime-android-debug;io.github.woody230.ktx;datetime-android-debug
io.github.woody230.ktx:serialization-xml;io.github.woody230.ktx;serialization-xml
io.github.woody230.ktx:coroutine;io.github.woody230.ktx;coroutine
io.github.woody230.ktx:serialization-xml-jvm;io.github.woody230.ktx;serialization-xml-jvm
io.github.woody230.ktx:compose-constraint-layout-android;io.github.woody230.ktx;compose-constraint-layout-android
io.github.woody230.ktx:coroutine-jvm;io.github.woody230.ktx;coroutine-jvm
io.github.woody230.ktx:serialization-xml-android;io.github.woody230.ktx;serialization-xml-android
io.github.woody230.ktx:coroutine-android;io.github.woody230.ktx;coroutine-android
io.github.woody230.ktx:serialization-xml-android-debug;io.github.woody230.ktx;serialization-xml-android-debug
io.github.woody230.ktx:coroutine-android-debug;io.github.woody230.ktx;coroutine-android-debug
io.github.woody230.ktx:serialization-json;io.github.woody230.ktx;serialization-json
io.github.woody230.ktx:compose-constraint-layout-android-debug;io.github.woody230.ktx;compose-constraint-layout-android-debug
io.github.woody230.ktx:comparator;io.github.woody230.ktx;comparator
io.github.woody230.ktx:serialization-json-jvm;io.github.woody230.ktx;serialization-json-jvm
io.github.woody230.ktx:compose-accompanist;io.github.woody230.ktx;compose-accompanist
io.github.woody230.ktx:comparator-jvm;io.github.woody230.ktx;comparator-jvm
io.github.woody230.ktx:serialization-json-android;io.github.woody230.ktx;serialization-json-android
io.github.woody230.ktx:compose-accompanist-jvm;io.github.woody230.ktx;compose-accompanist-jvm
io.github.woody230.ktx:comparator-android;io.github.woody230.ktx;comparator-android
io.github.woody230.ktx:serialization-json-android-debug;io.github.woody230.ktx;serialization-json-android-debug
io.github.woody230.ktx:compose-accompanist-android;io.github.woody230.ktx;compose-accompanist-android
io.github.woody230.ktx:comparator-android-debug;io.github.woody230.ktx;comparator-android-debug
io.github.woody230.ktx:serialization-core;io.github.woody230.ktx;serialization-core
io.github.woody230.ktx:compose-accompanist-android-debug;io.github.woody230.ktx;compose-accompanist-android-debug
io.github.woody230.ktx:aboutlibraries;io.github.woody230.ktx;aboutlibraries
io.github.woody230.ktx:serialization-core-jvm;io.github.woody230.ktx;serialization-core-jvm
io.github.woody230.ktx:compose-aboutlibraries;io.github.woody230.ktx;compose-aboutlibraries
io.github.woody230.ktx:aboutlibraries-jvm;io.github.woody230.ktx;aboutlibraries-jvm
io.github.woody230.ktx:serialization-core-android;io.github.woody230.ktx;serialization-core-android
io.github.woody230.ktx:compose-aboutlibraries-jvm;io.github.woody230.ktx;compose-aboutlibraries-jvm
io.github.woody230.ktx:logging;io.github.woody230.ktx;logging
io.github.woody230.ktx:aboutlibraries-android;io.github.woody230.ktx;aboutlibraries-android
io.github.woody230.ktx:serialization-core-android-debug;io.github.woody230.ktx;serialization-core-android-debug
io.github.woody230.ktx:compose-aboutlibraries-android;io.github.woody230.ktx;compose-aboutlibraries-android
io.github.woody230.ktx:logging-jvm;io.github.woody230.ktx;logging-jvm
io.github.woody230.ktx:aboutlibraries-android-debug;io.github.woody230.ktx;aboutlibraries-android-debug
io.github.woody230.ktx:compose-aboutlibraries-android-debug;io.github.woody230.ktx;compose-aboutlibraries-android-debug
io.github.woody230.ktx:logging-android;io.github.woody230.ktx;logging-android
io.github.woody230.ktx:logging-android-debug;io.github.woody230.ktx;logging-android-debug
com.ca.apim:masui;com.ca.apim;masui
com.ca.apim:mas-storage;com.ca.apim;mas-storage
com.ca.apim:mas-foundation;com.ca.apim;mas-foundation
com.ca.apim:mas-connecta;com.ca.apim;mas-connecta
com.ca.apim:mas;com.ca.apim;mas
io.smallrye.certs:private-key-pem-parser;io.smallrye.certs;private-key-pem-parser
io.github.woody230.gradle.internal:multiplatform-test-plugin;io.github.woody230.gradle.internal;multiplatform-test-plugin
io.github.woody230.gradle.internal.multiplatform-test:io.github.woody230.gradle.internal.multiplatform-test.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-test;io.github.woody230.gradle.internal.multiplatform-test.gradle.plugin
io.github.woody230.gradle.internal:multiplatform-publish-plugin;io.github.woody230.gradle.internal;multiplatform-publish-plugin
io.github.woody230.gradle.internal.multiplatform-publish:io.github.woody230.gradle.internal.multiplatform-publish.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-publish;io.github.woody230.gradle.internal.multiplatform-publish.gradle.plugin
io.github.woody230.gradle.internal:multiplatform-plugin;io.github.woody230.gradle.internal;multiplatform-plugin
io.github.woody230.gradle.internal.multiplatform:io.github.woody230.gradle.internal.multiplatform.gradle.plugin;io.github.woody230.gradle.internal.multiplatform;io.github.woody230.gradle.internal.multiplatform.gradle.plugin
io.github.woody230.gradle.internal.multiplatform-jvm-target:io.github.woody230.gradle.internal.multiplatform-jvm-target.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-jvm-target;io.github.woody230.gradle.internal.multiplatform-jvm-target.gradle.plugin
io.github.woody230.gradle.internal.multiplatform-android-target:io.github.woody230.gradle.internal.multiplatform-android-target.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-android-target;io.github.woody230.gradle.internal.multiplatform-android-target.gradle.plugin
io.github.woody230.gradle.internal:multiplatform-compose-test-plugin;io.github.woody230.gradle.internal;multiplatform-compose-test-plugin
io.github.woody230.gradle.internal.multiplatform-compose-test:io.github.woody230.gradle.internal.multiplatform-compose-test.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-compose-test;io.github.woody230.gradle.internal.multiplatform-compose-test.gradle.plugin
io.github.woody230.gradle.internal:multiplatform-compose-plugin;io.github.woody230.gradle.internal;multiplatform-compose-plugin
io.github.woody230.gradle.internal.multiplatform-compose:io.github.woody230.gradle.internal.multiplatform-compose.gradle.plugin;io.github.woody230.gradle.internal.multiplatform-compose;io.github.woody230.gradle.internal.multiplatform-compose.gradle.plugin
io.github.woody230.gradle.internal:buildkonfig-plugin;io.github.woody230.gradle.internal;buildkonfig-plugin
io.github.woody230.gradle.internal.buildkonfig:io.github.woody230.gradle.internal.buildkonfig.gradle.plugin;io.github.woody230.gradle.internal.buildkonfig;io.github.woody230.gradle.internal.buildkonfig.gradle.plugin
io.github.woody230.gradle.internal:android-plugin;io.github.woody230.gradle.internal;android-plugin
io.github.woody230.gradle.internal.android-library:io.github.woody230.gradle.internal.android-library.gradle.plugin;io.github.woody230.gradle.internal.android-library;io.github.woody230.gradle.internal.android-library.gradle.plugin
io.github.woody230.gradle.internal.android-application:io.github.woody230.gradle.internal.android-application.gradle.plugin;io.github.woody230.gradle.internal.android-application;io.github.woody230.gradle.internal.android-application.gradle.plugin
io.github.woody230.gradle.internal:version-catalog-plugin;io.github.woody230.gradle.internal;version-catalog-plugin
io.github.woody230.gradle.internal:android-desugar-plugin;io.github.woody230.gradle.internal;android-desugar-plugin
io.github.woody230.gradle.internal.version-catalog:io.github.woody230.gradle.internal.version-catalog.gradle.plugin;io.github.woody230.gradle.internal.version-catalog;io.github.woody230.gradle.internal.version-catalog.gradle.plugin
io.github.woody230.gradle.internal.android-desugar:io.github.woody230.gradle.internal.android-desugar.gradle.plugin;io.github.woody230.gradle.internal.android-desugar;io.github.woody230.gradle.internal.android-desugar.gradle.plugin
io.github.woody230.gradle.internal:composite-test-plugin;io.github.woody230.gradle.internal;composite-test-plugin
io.github.woody230.gradle.internal:aboutlibraries-plugin;io.github.woody230.gradle.internal;aboutlibraries-plugin
io.github.woody230.gradle.internal.composite-test:io.github.woody230.gradle.internal.composite-test.gradle.plugin;io.github.woody230.gradle.internal.composite-test;io.github.woody230.gradle.internal.composite-test.gradle.plugin
io.github.woody230.gradle.internal.aboutlibraries:io.github.woody230.gradle.internal.aboutlibraries.gradle.plugin;io.github.woody230.gradle.internal.aboutlibraries;io.github.woody230.gradle.internal.aboutlibraries.gradle.plugin
io.github.woody230.gradle.internal:composite-publish-plugin;io.github.woody230.gradle.internal;composite-publish-plugin
io.github.woody230.gradle.internal.composite-publish:io.github.woody230.gradle.internal.composite-publish.gradle.plugin;io.github.woody230.gradle.internal.composite-publish;io.github.woody230.gradle.internal.composite-publish.gradle.plugin
io.github.woody230.gradle:multiplatform;io.github.woody230.gradle;multiplatform
io.github.woody230.gradle.internal:composite-property-plugin;io.github.woody230.gradle.internal;composite-property-plugin
io.github.woody230.gradle:function;io.github.woody230.gradle;function
io.github.woody230.gradle.internal:models;io.github.woody230.gradle.internal;models
io.github.woody230.gradle.internal.composite-property:io.github.woody230.gradle.internal.composite-property.gradle.plugin;io.github.woody230.gradle.internal.composite-property;io.github.woody230.gradle.internal.composite-property.gradle.plugin
io.github.woody230.gradle.internal:composite-build-plugin;io.github.woody230.gradle.internal;composite-build-plugin
io.github.woody230.gradle:android;io.github.woody230.gradle;android
io.github.woody230.gradle.internal:composite-task;io.github.woody230.gradle.internal;composite-task
io.github.woody230.gradle.internal.composite-build:io.github.woody230.gradle.internal.composite-build.gradle.plugin;io.github.woody230.gradle.internal.composite-build;io.github.woody230.gradle.internal.composite-build.gradle.plugin
io.github.woody230.gradle.internal:plugin-publish-plugin;io.github.woody230.gradle.internal;plugin-publish-plugin
io.github.woody230.gradle.internal:bundled-plugin;io.github.woody230.gradle.internal;bundled-plugin
io.github.woody230.gradle.internal.plugin-publish:io.github.woody230.gradle.internal.plugin-publish.gradle.plugin;io.github.woody230.gradle.internal.plugin-publish;io.github.woody230.gradle.internal.plugin-publish.gradle.plugin
io.github.woody230.gradle.internal.bundled:io.github.woody230.gradle.internal.bundled.gradle.plugin;io.github.woody230.gradle.internal.bundled;io.github.woody230.gradle.internal.bundled.gradle.plugin
io.github.woody230.gradle.internal:maven-publish-plugin;io.github.woody230.gradle.internal;maven-publish-plugin
io.github.woody230.gradle.internal:jvm-publish-plugin;io.github.woody230.gradle.internal;jvm-publish-plugin
io.github.woody230.gradle.internal.jvm-publish:io.github.woody230.gradle.internal.jvm-publish.gradle.plugin;io.github.woody230.gradle.internal.jvm-publish;io.github.woody230.gradle.internal.jvm-publish.gradle.plugin
org.apache.sling:sling-bundle-parent;org.apache.sling;sling-bundle-parent
org.apache.sling:sling;org.apache.sling;sling
com.datasonnet:datasonnet-mapper;com.datasonnet;datasonnet-mapper
io.quarkiverse.jackson-jq:quarkus-jackson-jq;io.quarkiverse.jackson-jq;quarkus-jackson-jq
io.quarkiverse.jackson-jq:quarkus-jackson-jq-parent;io.quarkiverse.jackson-jq;quarkus-jackson-jq-parent
io.quarkiverse.jackson-jq:quarkus-jackson-jq-deployment;io.quarkiverse.jackson-jq;quarkus-jackson-jq-deployment
ch.ubique.gradle:poeditor;ch.ubique.gradle;poeditor
ch.ubique.gradle.poeditor:ch.ubique.gradle.poeditor.gradle.plugin;ch.ubique.gradle.poeditor;ch.ubique.gradle.poeditor.gradle.plugin
jakarta.tck.coreprofile:cdi-lite-tck-suite;jakarta.tck.coreprofile;cdi-lite-tck-suite
jakarta.tck.coreprofile:core-tck-parent;jakarta.tck.coreprofile;core-tck-parent
