com.exactpro.th2:grpc-sim-template;com.exactpro.th2;grpc-sim-template
com.typesafe.akka:akka-cluster_2.13;com.typesafe.akka;akka-cluster_2.13
com.typesafe.akka:akka-testkit_2.13;com.typesafe.akka;akka-testkit_2.13
com.typesafe.akka:akka-distributed-data_2.13;com.typesafe.akka;akka-distributed-data_2.13
com.typesafe.akka:akka-stream_3;com.typesafe.akka;akka-stream_3
com.typesafe.akka:akka-actor-typed_3;com.typesafe.akka;akka-actor-typed_3
com.typesafe.akka:akka-cluster-metrics_3;com.typesafe.akka;akka-cluster-metrics_3
com.typesafe.akka:akka-cluster-metrics_2.13;com.typesafe.akka;akka-cluster-metrics_2.13
com.typesafe.akka:akka-coordination_2.13;com.typesafe.akka;akka-coordination_2.13
com.typesafe.akka:akka-actor-testkit-typed_3;com.typesafe.akka;akka-actor-testkit-typed_3
com.typesafe.akka:akka-stream_2.13;com.typesafe.akka;akka-stream_2.13
com.typesafe.akka:akka-persistence-query_3;com.typesafe.akka;akka-persistence-query_3
com.typesafe.akka:akka-discovery_2.13;com.typesafe.akka;akka-discovery_2.13
com.typesafe.akka:akka-cluster-sharding_2.13;com.typesafe.akka;akka-cluster-sharding_2.13
com.typesafe.akka:akka-discovery_3;com.typesafe.akka;akka-discovery_3
com.typesafe.akka:akka-remote_3;com.typesafe.akka;akka-remote_3
com.typesafe.akka:akka-persistence-typed_3;com.typesafe.akka;akka-persistence-typed_3
com.typesafe.akka:akka-coordination_3;com.typesafe.akka;akka-coordination_3
com.typesafe.akka:akka-stream-typed_2.13;com.typesafe.akka;akka-stream-typed_2.13
com.typesafe.akka:akka-multi-node-testkit_2.13;com.typesafe.akka;akka-multi-node-testkit_2.13
com.typesafe.akka:akka-persistence_2.13;com.typesafe.akka;akka-persistence_2.13
com.typesafe.akka:akka-cluster_3;com.typesafe.akka;akka-cluster_3
com.typesafe.akka:akka-actor-typed_2.13;com.typesafe.akka;akka-actor-typed_2.13
com.typesafe.akka:akka-testkit_3;com.typesafe.akka;akka-testkit_3
com.typesafe.akka:akka-persistence-typed_2.13;com.typesafe.akka;akka-persistence-typed_2.13
com.typesafe.akka:akka-persistence-testkit_2.13;com.typesafe.akka;akka-persistence-testkit_2.13
com.typesafe.akka:akka-stream-testkit_3;com.typesafe.akka;akka-stream-testkit_3
com.typesafe.akka:akka-persistence-tck_2.13;com.typesafe.akka;akka-persistence-tck_2.13
com.typesafe.akka:akka-distributed-data_3;com.typesafe.akka;akka-distributed-data_3
com.typesafe.akka:akka-serialization-jackson_3;com.typesafe.akka;akka-serialization-jackson_3
com.typesafe.akka:akka-cluster-sharding-typed_3;com.typesafe.akka;akka-cluster-sharding-typed_3
com.typesafe.akka:akka-cluster-tools_3;com.typesafe.akka;akka-cluster-tools_3
com.typesafe.akka:akka-cluster-sharding-typed_2.13;com.typesafe.akka;akka-cluster-sharding-typed_2.13
com.typesafe.akka:akka-persistence_3;com.typesafe.akka;akka-persistence_3
com.typesafe.akka:akka-stream-testkit_2.13;com.typesafe.akka;akka-stream-testkit_2.13
com.typesafe.akka:akka-actor-testkit-typed_2.13;com.typesafe.akka;akka-actor-testkit-typed_2.13
com.typesafe.akka:akka-bom_3;com.typesafe.akka;akka-bom_3
com.typesafe.akka:akka-stream-typed_3;com.typesafe.akka;akka-stream-typed_3
com.typesafe.akka:akka-protobuf-v3_3;com.typesafe.akka;akka-protobuf-v3_3
com.typesafe.akka:akka-serialization-jackson_2.13;com.typesafe.akka;akka-serialization-jackson_2.13
com.typesafe.akka:akka-persistence-tck_3;com.typesafe.akka;akka-persistence-tck_3
com.typesafe.akka:akka-cluster-sharding_3;com.typesafe.akka;akka-cluster-sharding_3
com.typesafe.akka:akka-protobuf-v3_2.13;com.typesafe.akka;akka-protobuf-v3_2.13
com.typesafe.akka:akka-cluster-tools_2.13;com.typesafe.akka;akka-cluster-tools_2.13
com.typesafe.akka:akka-persistence-testkit_3;com.typesafe.akka;akka-persistence-testkit_3
com.typesafe.akka:akka-cluster-typed_2.13;com.typesafe.akka;akka-cluster-typed_2.13
com.typesafe.akka:akka-cluster-typed_3;com.typesafe.akka;akka-cluster-typed_3
com.typesafe.akka:akka-remote_2.13;com.typesafe.akka;akka-remote_2.13
com.typesafe.akka:akka-slf4j_3;com.typesafe.akka;akka-slf4j_3
com.typesafe.akka:akka-slf4j_2.13;com.typesafe.akka;akka-slf4j_2.13
com.typesafe.akka:akka-pki_3;com.typesafe.akka;akka-pki_3
com.typesafe.akka:akka-persistence-query_2.13;com.typesafe.akka;akka-persistence-query_2.13
com.typesafe.akka:akka-actor_2.13;com.typesafe.akka;akka-actor_2.13
io.github.sanao1006:compose-duck;io.github.sanao1006;compose-duck
club.bigtian:method-mapping;club.bigtian;method-mapping
io.funkode:arangodb-docker_3;io.funkode;arangodb-docker_3
io.funkode:zio-arangodb_3;io.funkode;zio-arangodb_3
io.funkode:zio-arangodb-http_3;io.funkode;zio-arangodb-http_3
io.funkode:zio-velocypack_3;io.funkode;zio-velocypack_3
org.sonarsource.sonar-packaging-maven-plugin:sonar-packaging-maven-plugin;org.sonarsource.sonar-packaging-maven-plugin;sonar-packaging-maven-plugin
com.oracle.database.observability:dms;com.oracle.database.observability;dms
com.gitee.tiamosu:StockChart;com.gitee.tiamosu;StockChart
com.raw-labs:raw-auth-api_2.12;com.raw-labs;raw-auth-api_2.12
com.raw-labs:raw-compiler-rql2-truffle_2.12;com.raw-labs;raw-compiler-rql2-truffle_2.12
com.raw-labs:raw-sources-github_2.12;com.raw-labs;raw-sources-github_2.12
com.raw-labs:raw-sources-pgsql_2.12;com.raw-labs;raw-sources-pgsql_2.12
com.raw-labs:raw-sources-snowflake_2.12;com.raw-labs;raw-sources-snowflake_2.12
com.raw-labs:raw-runtime-rql2-truffle_2.12;com.raw-labs;raw-runtime-rql2-truffle_2.12
com.raw-labs:raw-sources-dropbox_2.12;com.raw-labs;raw-sources-dropbox_2.12
com.raw-labs:raw-sources-http_2.12;com.raw-labs;raw-sources-http_2.12
com.raw-labs:raw-inferrer-local_2.12;com.raw-labs;raw-inferrer-local_2.12
com.raw-labs:raw-runtime-api_2.12;com.raw-labs;raw-runtime-api_2.12
com.raw-labs:raw-sources-in-memory_2.12;com.raw-labs;raw-sources-in-memory_2.12
com.raw-labs:raw-sources-mssql_2.12;com.raw-labs;raw-sources-mssql_2.12
com.raw-labs:raw-sources-s3_2.12;com.raw-labs;raw-sources-s3_2.12
com.raw-labs:raw-compiler-common_2.12;com.raw-labs;raw-compiler-common_2.12
com.raw-labs:raw-compiler_2.12;com.raw-labs;raw-compiler_2.12
com.raw-labs:raw-creds-api_2.12;com.raw-labs;raw-creds-api_2.12
com.raw-labs:raw-sources-sqlite_2.12;com.raw-labs;raw-sources-sqlite_2.12
com.raw-labs:raw-compiler-rql2_2.12;com.raw-labs;raw-compiler-rql2_2.12
com.raw-labs:raw-sources-mock_2.12;com.raw-labs;raw-sources-mock_2.12
com.raw-labs:raw-sources-local_2.12;com.raw-labs;raw-sources-local_2.12
com.raw-labs:raw-sources-mysql_2.12;com.raw-labs;raw-sources-mysql_2.12
com.raw-labs:raw-inferrer-api_2.12;com.raw-labs;raw-inferrer-api_2.12
org.webjars.npm:douglassllc__videojs-framebyframe;org.webjars.npm;douglassllc__videojs-framebyframe
io.springboot.plugin:captcha-core;io.springboot.plugin;captcha-core
io.springboot.plugin:easy-captcha;io.springboot.plugin;easy-captcha
io.springboot.plugin:captcha-spring-boot-starter;io.springboot.plugin;captcha-spring-boot-starter
io.weaviate:confluent-connector_2.12;io.weaviate;confluent-connector_2.12
io.weaviate:confluent-connector_2.13;io.weaviate;confluent-connector_2.13
org.typelevel:frameless-refined-spark32_2.12;org.typelevel;frameless-refined-spark32_2.12
org.typelevel:frameless-cats-spark32_2.13;org.typelevel;frameless-cats-spark32_2.13
org.typelevel:frameless-cats-spark32_2.12;org.typelevel;frameless-cats-spark32_2.12
org.typelevel:frameless-refined-spark32_2.13;org.typelevel;frameless-refined-spark32_2.13
org.typelevel:frameless-dataset-spark32_2.12;org.typelevel;frameless-dataset-spark32_2.12
org.typelevel:frameless-dataset-spark32_2.13;org.typelevel;frameless-dataset-spark32_2.13
org.typelevel:frameless-ml-spark32_2.12;org.typelevel;frameless-ml-spark32_2.12
org.typelevel:frameless-ml-spark32_2.13;org.typelevel;frameless-ml-spark32_2.13
io.github.hoc081098:kmp-viewmodel-savedstate-watchosx86;io.github.hoc081098;kmp-viewmodel-savedstate-watchosx86
io.github.hoc081098:kmp-viewmodel-compose-watchosx86;io.github.hoc081098;kmp-viewmodel-compose-watchosx86
io.github.hoc081098:kmp-viewmodel-watchosx86;io.github.hoc081098;kmp-viewmodel-watchosx86
io.github.hoc081098:kmp-viewmodel-savedstate-iosarm32;io.github.hoc081098;kmp-viewmodel-savedstate-iosarm32
io.github.hoc081098:kmp-viewmodel-iosarm32;io.github.hoc081098;kmp-viewmodel-iosarm32
net.sf.gavgav:amqp-doge;net.sf.gavgav;amqp-doge
com.github.i21mscz23:xmaodou-server;com.github.i21mscz23;xmaodou-server
com.github.i21mscz23:xmaodou-jwt;com.github.i21mscz23;xmaodou-jwt
com.github.i21mscz23:xmaodou-security;com.github.i21mscz23;xmaodou-security
org.webjars.npm:videojs-vtt.js;org.webjars.npm;videojs-vtt.js
org.webjars.npm:jolokia.js;org.webjars.npm;jolokia.js
com.salesforce.vador:vador-vador-root;com.salesforce.vador;vador-vador-root
cn.herodotus.engine:rest-server-spring-boot-starter;cn.herodotus.engine;rest-server-spring-boot-starter
cn.herodotus.engine:rest-sdk-client;cn.herodotus.engine;rest-sdk-client
cn.herodotus.engine:rest-sdk-scan;cn.herodotus.engine;rest-sdk-scan
io.github.gerrykwok:takephoto;io.github.gerrykwok;takephoto
com.github.JoeKerouac:async-task-starter;com.github.JoeKerouac;async-task-starter
com.github.JoeKerouac:async-task-core;com.github.JoeKerouac;async-task-core
com.github.JoeKerouac:async-task;com.github.JoeKerouac;async-task
com.github.openequella.legacy:oaicat;com.github.openequella.legacy;oaicat
io.github.plz-no-anr:card-stack;io.github.plz-no-anr;card-stack
io.github.errantfiddle:test;io.github.errantfiddle;test
io.github.mayuehappy:frocksdbjni;io.github.mayuehappy;frocksdbjni
io.github.stars-coding:starsspring;io.github.stars-coding;starsspring
io.github.awidesky:JBruteTester;io.github.awidesky;JBruteTester
dev.elide:elide-bom;dev.elide;elide-bom
dev.elide:elide-platform;dev.elide;elide-platform
com.gitee.tiamosu:beemanscommon;com.gitee.tiamosu;beemanscommon
com.aliyun:docmind_api20220729;com.aliyun;docmind_api20220729
io.github.wendy512:stream-mqtt-sample;io.github.wendy512;stream-mqtt-sample
io.github.wendy512:stream-samples;io.github.wendy512;stream-samples
io.github.wendy512:stream-kafka-sample;io.github.wendy512;stream-kafka-sample
io.github.wendy512:stream-local-sample;io.github.wendy512;stream-local-sample
io.github.wendy512:stream-rabbitmq-sample;io.github.wendy512;stream-rabbitmq-sample
com.aliyun:alibabacloud-docmind_api20220729;com.aliyun;alibabacloud-docmind_api20220729
com.gitee.tiamosu:itemdecoration;com.gitee.tiamosu;itemdecoration
io.github.shichuanenhui:xmlclassguard;io.github.shichuanenhui;xmlclassguard
com.gitee.tiamosu:lunar;com.gitee.tiamosu;lunar
io.github.funicornframework:funicorn-framework-parent;io.github.funicornframework;funicorn-framework-parent
io.github.funicornframework:funicorn-framework-dependencies;io.github.funicornframework;funicorn-framework-dependencies
com.shr25.robot.plugin:group-manager-plugin;com.shr25.robot.plugin;group-manager-plugin
io.github.funicornframework:funicorn-logger-core;io.github.funicornframework;funicorn-logger-core
org.eclipse.dirigible:dirigible-components-api-modules;org.eclipse.dirigible;dirigible-components-api-modules
dev.zio:zio-query_2.11;dev.zio;zio-query_2.11
com.gradleup.gr8.external:com.gradleup.gr8.external.gradle.plugin;com.gradleup.gr8.external;com.gradleup.gr8.external.gradle.plugin
com.segment.analytics.android.integrations:comscore;com.segment.analytics.android.integrations;comscore
com.github.btheu.estivate:estivate;com.github.btheu.estivate;estivate
com.github.romastyi:play-boilerplate-scaldi-play27_2.12;com.github.romastyi;play-boilerplate-scaldi-play27_2.12
com.github.romastyi:play-boilerplate-scaldi-play27_2.11;com.github.romastyi;play-boilerplate-scaldi-play27_2.11
com.github.romastyi:play-boilerplate-scaldi-play26_2.11;com.github.romastyi;play-boilerplate-scaldi-play26_2.11
com.github.romastyi:play-boilerplate-scaldi-play26_2.12;com.github.romastyi;play-boilerplate-scaldi-play26_2.12
com.github.romastyi:play-boilerplate-scaldi-play25_2.11;com.github.romastyi;play-boilerplate-scaldi-play25_2.11
com.github.romastyi:play-boilerplate-scaldi-play24_2.11;com.github.romastyi;play-boilerplate-scaldi-play24_2.11
com.github.romastyi:play-boilerplate-api-server-play27_2.12;com.github.romastyi;play-boilerplate-api-server-play27_2.12
com.github.romastyi:play-boilerplate-api-server-play27_2.11;com.github.romastyi;play-boilerplate-api-server-play27_2.11
com.github.romastyi:play-boilerplate-api-server-play26_2.11;com.github.romastyi;play-boilerplate-api-server-play26_2.11
com.github.romastyi:play-boilerplate-api-server-play26_2.12;com.github.romastyi;play-boilerplate-api-server-play26_2.12
com.github.romastyi:play-boilerplate-api-server-play25_2.11;com.github.romastyi;play-boilerplate-api-server-play25_2.11
com.github.romastyi:play-boilerplate-api-server-play24_2.11;com.github.romastyi;play-boilerplate-api-server-play24_2.11
com.github.romastyi:play-boilerplate-api-client-play27_2.12;com.github.romastyi;play-boilerplate-api-client-play27_2.12
com.github.romastyi:play-boilerplate-api-client-play27_2.11;com.github.romastyi;play-boilerplate-api-client-play27_2.11
com.github.romastyi:play-boilerplate-api-client-play26_2.11;com.github.romastyi;play-boilerplate-api-client-play26_2.11
com.github.romastyi:play-boilerplate-api-client-play26_2.12;com.github.romastyi;play-boilerplate-api-client-play26_2.12
com.github.romastyi:play-boilerplate-api-client-play25_2.11;com.github.romastyi;play-boilerplate-api-client-play25_2.11
com.github.romastyi:play-boilerplate-api-client-play24_2.11;com.github.romastyi;play-boilerplate-api-client-play24_2.11
com.github.romastyi:play-boilerplate-api-client-consul_2.11;com.github.romastyi;play-boilerplate-api-client-consul_2.11
com.github.romastyi:play-boilerplate-api-client-consul_2.12;com.github.romastyi;play-boilerplate-api-client-consul_2.12
com.github.romastyi:play-boilerplate-api-client-core_2.11;com.github.romastyi;play-boilerplate-api-client-core_2.11
com.github.romastyi:play-boilerplate-api-client-core_2.12;com.github.romastyi;play-boilerplate-api-client-core_2.12
com.github.romastyi:sbt-play-boilerplate-plugin724599971;com.github.romastyi;sbt-play-boilerplate-plugin
com.github.romastyi:sbt-play-boilerplate-plugin920682454;com.github.romastyi;sbt-play-boilerplate-plugin
com.github.romastyi:sbt-play-boilerplate-lib_2.10;com.github.romastyi;sbt-play-boilerplate-lib_2.10
com.github.romastyi:sbt-play-boilerplate-lib_2.12;com.github.romastyi;sbt-play-boilerplate-lib_2.12
com.bertramlabs.plugins:asset-pipeline-micronaut;com.bertramlabs.plugins;asset-pipeline-micronaut
net.mbonnin.r8:r8;net.mbonnin.r8;r8
org.webjars.npm:iconify__tailwind;org.webjars.npm;iconify__tailwind
org.webjars.npm:iconify__types;org.webjars.npm;iconify__types
io.github.churunfa:spring-boot-security-rbac-starter;io.github.churunfa;spring-boot-security-rbac-starter
io.github.churunfa:spring-boot-security-rbac-starter-autoconfigure;io.github.churunfa;spring-boot-security-rbac-starter-autoconfigure
com.microsoft.azure:onnx-protobuf_2.12;com.microsoft.azure;onnx-protobuf_2.12
dev.amaro.atairu:compose-ui;dev.amaro.atairu;compose-ui
net.degreedays:degreedays-api;net.degreedays;degreedays-api
org.xerial.sbt:sbt-sql724599971;org.xerial.sbt;sbt-sql
com.itsaky.androidide:tree-sitter-xml;com.itsaky.androidide;tree-sitter-xml
com.itsaky.androidide:tree-sitter-python;com.itsaky.androidide;tree-sitter-python
com.itsaky.androidide:tree-sitter-log;com.itsaky.androidide;tree-sitter-log
com.itsaky.androidide:tree-sitter-kotlin;com.itsaky.androidide;tree-sitter-kotlin
com.itsaky.androidide:tree-sitter-json;com.itsaky.androidide;tree-sitter-json
com.itsaky.androidide:tree-sitter-java;com.itsaky.androidide;tree-sitter-java
com.itsaky.androidide:tree-sitter-aidl;com.itsaky.androidide;tree-sitter-aidl
com.itsaky.androidide:android-tree-sitter;com.itsaky.androidide;android-tree-sitter
com.salesforce.mce:stargate-redis_2.12;com.salesforce.mce;stargate-redis_2.12
com.salesforce.mce:stargate-core_2.12;com.salesforce.mce;stargate-core_2.12
com.liferay:com.github.jsqlparser;com.liferay;com.github.jsqlparser
se.bjurr.bom:bjurr-bom;se.bjurr.bom;bjurr-bom
edu.jhuapl.ses:picante;edu.jhuapl.ses;picante
dev.amaro.atairu:core;dev.amaro.atairu;core
com.kohlschutter.animalsniffer:signatures-java-7;com.kohlschutter.animalsniffer;signatures-java-7
com.kohlschutter.animalsniffer:signatures;com.kohlschutter.animalsniffer;signatures
com.aliyun:ettrafficisp20230830;com.aliyun;ettrafficisp20230830
com.aliyun:cloudapi20160701;com.aliyun;cloudapi20160701
com.aliyun:alibabacloud-ettrafficisp20230830;com.aliyun;alibabacloud-ettrafficisp20230830
gov.nist.secauto:oss-parent;gov.nist.secauto;oss-parent
gov.nist.secauto:oss-build-support;gov.nist.secauto;oss-build-support
gov.nist.secauto:oss-maven;gov.nist.secauto;oss-maven
com.github.bumptech.glide:gifdecoder;com.github.bumptech.glide;gifdecoder
com.github.bumptech.glide:disklrucache;com.github.bumptech.glide;disklrucache
com.github.bumptech.glide:volley-integration;com.github.bumptech.glide;volley-integration
com.github.bumptech.glide:sqljournaldiskcache;com.github.bumptech.glide;sqljournaldiskcache
com.github.bumptech.glide:recyclerview-integration;com.github.bumptech.glide;recyclerview-integration
com.github.bumptech.glide:okhttp4-integration;com.github.bumptech.glide;okhttp4-integration
com.github.bumptech.glide:okhttp3-integration;com.github.bumptech.glide;okhttp3-integration
com.github.bumptech.glide:okhttp-integration;com.github.bumptech.glide;okhttp-integration
com.github.bumptech.glide:ktx;com.github.bumptech.glide;ktx
com.github.bumptech.glide:gifencoder-integration;com.github.bumptech.glide;gifencoder-integration
com.github.bumptech.glide:cronet-integration;com.github.bumptech.glide;cronet-integration
com.github.bumptech.glide:concurrent-integration;com.github.bumptech.glide;concurrent-integration
com.github.bumptech.glide:compose;com.github.bumptech.glide;compose
com.github.bumptech.glide:avif-integration;com.github.bumptech.glide;avif-integration
com.github.bumptech.glide:ksp;com.github.bumptech.glide;ksp
com.github.bumptech.glide:compiler;com.github.bumptech.glide;compiler
com.github.bumptech.glide:mocks;com.github.bumptech.glide;mocks
com.github.bumptech.glide:glide;com.github.bumptech.glide;glide
com.github.bumptech.glide:annotations;com.github.bumptech.glide;annotations
org.glassfish.docs:distribution;org.glassfish.docs;distribution
org.toile-libre.libe:domain-driven-design-ktlint-rules;org.toile-libre.libe;domain-driven-design-ktlint-rules
com.github.houbb:auto-trace-test;com.github.houbb;auto-trace-test
com.github.houbb:auto-trace-spring;com.github.houbb;auto-trace-spring
com.github.houbb:auto-trace-core;com.github.houbb;auto-trace-core
com.github.houbb:auto-trace-api;com.github.houbb;auto-trace-api
com.github.houbb:auto-trace;com.github.houbb;auto-trace
com.jamesward.kotlin-universe-catalog:kotlin-universe-catalog;com.jamesward.kotlin-universe-catalog;kotlin-universe-catalog
com.wuyushuo:spring-valve-boxes-boot-starter;com.wuyushuo;spring-valve-boxes-boot-starter
com.wuyushuo:spring-lock-boxes-boot-starter;com.wuyushuo;spring-lock-boxes-boot-starter
com.wuyushuo:spring-metric-boxes-boot-starter;com.wuyushuo;spring-metric-boxes-boot-starter
io.github.lakatamster:klaymore;io.github.lakatamster;klaymore
com.github.liming495:tools;com.github.liming495;tools
io.github.funkatronics:web3kt-solana-macosx64;io.github.funkatronics;web3kt-solana-macosx64
io.github.funkatronics:web3kt-solana-macosarm64;io.github.funkatronics;web3kt-solana-macosarm64
io.github.funkatronics:web3kt-solana;io.github.funkatronics;web3kt-solana
io.github.funkatronics:web3kt-solana-jvm;io.github.funkatronics;web3kt-solana-jvm
io.github.funkatronics:web3kt-solana-iosx64;io.github.funkatronics;web3kt-solana-iosx64
io.github.funkatronics:web3kt-solana-iossimulatorarm64;io.github.funkatronics;web3kt-solana-iossimulatorarm64
io.github.funkatronics:web3kt-solana-iosarm64;io.github.funkatronics;web3kt-solana-iosarm64
io.github.funkatronics:web3kt-macosx64;io.github.funkatronics;web3kt-macosx64
io.github.funkatronics:web3kt-macosarm64;io.github.funkatronics;web3kt-macosarm64
io.github.funkatronics:web3kt;io.github.funkatronics;web3kt
io.github.funkatronics:web3kt-jvm;io.github.funkatronics;web3kt-jvm
io.github.funkatronics:web3kt-iosx64;io.github.funkatronics;web3kt-iosx64
io.github.funkatronics:web3kt-iossimulatorarm64;io.github.funkatronics;web3kt-iossimulatorarm64
io.github.funkatronics:web3kt-iosarm64;io.github.funkatronics;web3kt-iosarm64
com.aigoox.library:utils;com.aigoox.library;utils
com.github.valdr:valdr-bean-validation-demo;com.github.valdr;valdr-bean-validation-demo
com.github.valdr:valdr-bean-validation;com.github.valdr;valdr-bean-validation
com.github.valdr:valdr-bean-validation-parent;com.github.valdr;valdr-bean-validation-parent
com.gu:play-brotli-filter_2.12;com.gu;play-brotli-filter_2.12
icu.qimuu:EasyWeb;icu.qimuu;EasyWeb
io.jpower.kcp:kcp-netty;io.jpower.kcp;kcp-netty
io.jpower.kcp:kcp-example;io.jpower.kcp;kcp-example
io.jpower.kcp:kcp-parent;io.jpower.kcp;kcp-parent
org.brightify.hyperdrive:runtime-watchosx64;org.brightify.hyperdrive;runtime-watchosx64
org.brightify.hyperdrive:runtime-watchossimulatorarm64;org.brightify.hyperdrive;runtime-watchossimulatorarm64
org.brightify.hyperdrive:runtime-watchosdevicearm64;org.brightify.hyperdrive;runtime-watchosdevicearm64
org.brightify.hyperdrive:runtime-tvosx64;org.brightify.hyperdrive;runtime-tvosx64
org.brightify.hyperdrive:runtime-tvossimulatorarm64;org.brightify.hyperdrive;runtime-tvossimulatorarm64
org.brightify.hyperdrive:runtime-tvosarm64;org.brightify.hyperdrive;runtime-tvosarm64
org.brightify.hyperdrive:runtime-macosx64;org.brightify.hyperdrive;runtime-macosx64
org.brightify.hyperdrive:runtime-macosarm64;org.brightify.hyperdrive;runtime-macosarm64
org.brightify.hyperdrive:runtime;org.brightify.hyperdrive;runtime
org.brightify.hyperdrive:runtime-iosx64;org.brightify.hyperdrive;runtime-iosx64
org.brightify.hyperdrive:runtime-iossimulatorarm64;org.brightify.hyperdrive;runtime-iossimulatorarm64
org.brightify.hyperdrive:runtime-iosarm64;org.brightify.hyperdrive;runtime-iosarm64
org.brightify.hyperdrive:logging-watchosx64;org.brightify.hyperdrive;logging-watchosx64
org.brightify.hyperdrive:logging-watchossimulatorarm64;org.brightify.hyperdrive;logging-watchossimulatorarm64
org.brightify.hyperdrive:logging-watchosdevicearm64;org.brightify.hyperdrive;logging-watchosdevicearm64
org.brightify.hyperdrive:logging-tvosx64;org.brightify.hyperdrive;logging-tvosx64
org.brightify.hyperdrive:logging-tvossimulatorarm64;org.brightify.hyperdrive;logging-tvossimulatorarm64
org.brightify.hyperdrive:logging-tvosarm64;org.brightify.hyperdrive;logging-tvosarm64
org.brightify.hyperdrive:logging-macosx64;org.brightify.hyperdrive;logging-macosx64
org.brightify.hyperdrive:logging-macosarm64;org.brightify.hyperdrive;logging-macosarm64
org.brightify.hyperdrive:logging;org.brightify.hyperdrive;logging
org.brightify.hyperdrive:logging-iosx64;org.brightify.hyperdrive;logging-iosx64
org.brightify.hyperdrive:logging-iossimulatorarm64;org.brightify.hyperdrive;logging-iossimulatorarm64
org.brightify.hyperdrive:logging-iosarm64;org.brightify.hyperdrive;logging-iosarm64
org.brightify.hyperdrive:kotlin-utils-watchosx64;org.brightify.hyperdrive;kotlin-utils-watchosx64
org.brightify.hyperdrive:kotlin-utils-watchossimulatorarm64;org.brightify.hyperdrive;kotlin-utils-watchossimulatorarm64
org.brightify.hyperdrive:kotlin-utils-watchosdevicearm64;org.brightify.hyperdrive;kotlin-utils-watchosdevicearm64
org.brightify.hyperdrive:kotlin-utils-tvosx64;org.brightify.hyperdrive;kotlin-utils-tvosx64
org.brightify.hyperdrive:kotlin-utils-tvossimulatorarm64;org.brightify.hyperdrive;kotlin-utils-tvossimulatorarm64
org.brightify.hyperdrive:kotlin-utils-tvosarm64;org.brightify.hyperdrive;kotlin-utils-tvosarm64
org.brightify.hyperdrive:kotlin-utils-macosx64;org.brightify.hyperdrive;kotlin-utils-macosx64
org.brightify.hyperdrive:kotlin-utils-macosarm64;org.brightify.hyperdrive;kotlin-utils-macosarm64
org.brightify.hyperdrive:kotlin-utils;org.brightify.hyperdrive;kotlin-utils
org.brightify.hyperdrive:runtime-js;org.brightify.hyperdrive;runtime-js
org.brightify.hyperdrive:logging-js;org.brightify.hyperdrive;logging-js
org.brightify.hyperdrive:kotlin-utils-js;org.brightify.hyperdrive;kotlin-utils-js
org.brightify.hyperdrive:kotlin-utils-iosx64;org.brightify.hyperdrive;kotlin-utils-iosx64
org.brightify.hyperdrive:kotlin-utils-iossimulatorarm64;org.brightify.hyperdrive;kotlin-utils-iossimulatorarm64
org.brightify.hyperdrive:compose;org.brightify.hyperdrive;compose
org.brightify.hyperdrive:compose-debug;org.brightify.hyperdrive;compose-debug
org.brightify.hyperdrive:kotlin-utils-iosarm64;org.brightify.hyperdrive;kotlin-utils-iosarm64
org.brightify.hyperdrive:runtime-jvm;org.brightify.hyperdrive;runtime-jvm
org.brightify.hyperdrive:plugin;org.brightify.hyperdrive;plugin
org.brightify.hyperdrive:logging-jvm;org.brightify.hyperdrive;logging-jvm
org.brightify.hyperdrive:kotlin-utils-jvm;org.brightify.hyperdrive;kotlin-utils-jvm
com.aliyun:alibabacloud-dts20160801;com.aliyun;alibabacloud-dts20160801
com.jyuzawa:onnxruntime-gpu;com.jyuzawa;onnxruntime-gpu
com.jyuzawa:onnxruntime-cpu;com.jyuzawa;onnxruntime-cpu
io.github.walaniam:maven-build-profiler;io.github.walaniam;maven-build-profiler
com.github.lftao:jkami;com.github.lftao;jkami
com.gitee.tiamosu:fly-imageloader-glide;com.gitee.tiamosu;fly-imageloader-glide
com.gitee.tiamosu:fly-http;com.gitee.tiamosu;fly-http
com.gitee.tiamosu:fly;com.gitee.tiamosu;fly
org.finos.legend.engine:legend-engine-xt-relationalStore-postgres-connection-tests;org.finos.legend.engine;legend-engine-xt-relationalStore-postgres-connection-tests
io.johnsonlee.layoutlib:native-win;io.johnsonlee.layoutlib;native-win
io.johnsonlee.layoutlib:native-macosx;io.johnsonlee.layoutlib;native-macosx
io.johnsonlee.layoutlib:native-macarm;io.johnsonlee.layoutlib;native-macarm
io.johnsonlee.layoutlib:native-linux;io.johnsonlee.layoutlib;native-linux
io.johnsonlee.layoutlib:native-jdk11;io.johnsonlee.layoutlib;native-jdk11
com.gitee.tiamosu:RxErrorHandler;com.gitee.tiamosu;RxErrorHandler
com.gitee.tiamosu:loadsir;com.gitee.tiamosu;loadsir
org.apache.dubbo:dubbo-xds;org.apache.dubbo;dubbo-xds
org.apache.dubbo:dubbo-plugin-proxy-bytebuddy;org.apache.dubbo;dubbo-plugin-proxy-bytebuddy
org.apache.dubbo:dubbo-plugin-token;org.apache.dubbo;dubbo-plugin-token
org.apache.dubbo:dubbo-plugin-tps;org.apache.dubbo;dubbo-plugin-tps
org.apache.dubbo:dubbo-plugin-loadbalance-adaptive;org.apache.dubbo;dubbo-plugin-loadbalance-adaptive
org.apache.dubbo:dubbo-plugin-router-script;org.apache.dubbo;dubbo-plugin-router-script
