io.github.dlgrech:khelius-common;io.github.dlgrech;khelius-common
io.github.dlgrech:khelius-nft;io.github.dlgrech;khelius-nft
io.github.dlgrech:khelius-name;io.github.dlgrech;khelius-name
io.github.dlgrech:khelius-core;io.github.dlgrech;khelius-core
org.aya-prover:lsp;org.aya-prover;lsp
org.aya-prover:cli;org.aya-prover;cli
org.scalameta:mtags_3.3.0-RC1-bin-20230112-be10bc6-NIGHTLY;org.scalameta;mtags_3.3.0-RC1-bin-20230112-be10bc6-NIGHTLY
com.yikuni.mc:rumiya-lib;com.yikuni.mc;rumiya-lib
com.yikuni:spigot-reflect;com.yikuni;spigot-reflect
io.github.jwdeveloper.spigot:plugin-tester;io.github.jwdeveloper.spigot;plugin-tester
dev.erikchristensen.javamath2kmp:javamath2kmp-watchosx86;dev.erikchristensen.javamath2kmp;javamath2kmp-watchosx86
dev.erikchristensen.javamath2kmp:javamath2kmp-mingwx86;dev.erikchristensen.javamath2kmp;javamath2kmp-mingwx86
dev.erikchristensen.javamath2kmp:javamath2kmp-linuxarm32hfp;dev.erikchristensen.javamath2kmp;javamath2kmp-linuxarm32hfp
dev.erikchristensen.javamath2kmp:javamath2kmp-iosarm32;dev.erikchristensen.javamath2kmp;javamath2kmp-iosarm32
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-opentelemetry-api-logs-1.19;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-opentelemetry-api-logs-1.19
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-jsf-common;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-jsf-common
io.github.jwdeveloper.spigot.tester:spigot-tester;io.github.jwdeveloper.spigot.tester;spigot-tester
com.squidpony:squidlib-util;com.squidpony;squidlib-util
com.squidpony:squidlib-extra;com.squidpony;squidlib-extra
com.squidpony:squidlib;com.squidpony;squidlib
com.squidpony:squidlib-parent;com.squidpony;squidlib-parent
io.github.azhur:kafka-serde-jackson_2.11;io.github.azhur;kafka-serde-jackson_2.11
io.github.azhur:kafka-serde-json4s_2.11;io.github.azhur;kafka-serde-json4s_2.11
io.github.azhur:kafka-serde-jsoniter-scala_2.11;io.github.azhur;kafka-serde-jsoniter-scala_2.11
com.slack.gradle:sgp-agp-handler-73;com.slack.gradle;sgp-agp-handler-73
de.tototec:de.tobiasroeser.mill.integrationtest_mill0.11.0-M1_2.13;de.tototec;de.tobiasroeser.mill.integrationtest_mill0.11.0-M1_2.13
io.github.crossmint:Mobile-UI;io.github.crossmint;Mobile-UI
org.apache.samza:samza-test_2.12;org.apache.samza;samza-test_2.12
org.apache.samza:samza-yarn3_2.12;org.apache.samza;samza-yarn3_2.12
org.apache.samza:samza-sql_2.12;org.apache.samza;samza-sql_2.12
org.apache.samza:samza-yarn_2.12;org.apache.samza;samza-yarn_2.12
org.apache.samza:samza-sql-shell_2.12;org.apache.samza;samza-sql-shell_2.12
org.apache.samza:samza-tools_2.12;org.apache.samza;samza-tools_2.12
org.apache.samza:samza-kv-rocksdb_2.12;org.apache.samza;samza-kv-rocksdb_2.12
org.apache.samza:samza-hdfs_2.12;org.apache.samza;samza-hdfs_2.12
org.apache.samza:samza-kv-inmemory_2.12;org.apache.samza;samza-kv-inmemory_2.12
org.apache.samza:samza-kafka_2.12;org.apache.samza;samza-kafka_2.12
org.apache.samza:samza-kv_2.12;org.apache.samza;samza-kv_2.12
org.apache.samza:samza-rest_2.12;org.apache.samza;samza-rest_2.12
org.apache.samza:samza-core_2.12;org.apache.samza;samza-core_2.12
org.apache.samza:samza-azure_2.12;org.apache.samza;samza-azure_2.12
org.apache.samza:samza-aws_2.12;org.apache.samza;samza-aws_2.12
org.apache.samza:samza-elasticsearch_2.12;org.apache.samza;samza-elasticsearch_2.12
org.apache.samza:samza-kv-couchbase_2.12;org.apache.samza;samza-kv-couchbase_2.12
org.apache.samza:samza-log4j2_2.12;org.apache.samza;samza-log4j2_2.12
org.apache.samza:samza-log4j_2.12;org.apache.samza;samza-log4j_2.12
org.apache.samza:samza-api;org.apache.samza;samza-api
org.apache.samza:samza-shell;org.apache.samza;samza-shell
org.apache.samza:samza-shell-yarn3;org.apache.samza;samza-shell-yarn3
io.github.ikstewa:opentelemetry-rxjava3-tracer;io.github.ikstewa;opentelemetry-rxjava3-tracer
io.github.ikstewa:opentelemetry-rxjava2-tracer;io.github.ikstewa;opentelemetry-rxjava2-tracer
io.nosqlbench:engine-cli;io.nosqlbench;engine-cli
io.nosqlbench:engine-docker;io.nosqlbench;engine-docker
io.nosqlbench:nosqlbench;io.nosqlbench;nosqlbench
io.nosqlbench:virtdata-lib-basics;io.nosqlbench;virtdata-lib-basics
io.nosqlbench:virtdata-realdata;io.nosqlbench;virtdata-realdata
