com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
com.softwaremill.sttp.client4:async-http-client-backend-zio_2.12;com.softwaremill.sttp.client4;async-http-client-backend-zio_2.12
com.softwaremill.sttp.client4:async-http-client-backend-zio_2.13;com.softwaremill.sttp.client4;async-http-client-backend-zio_2.13
com.softwaremill.sttp.client4:async-http-client-backend-monix_2.12;com.softwaremill.sttp.client4;async-http-client-backend-monix_2.12
com.softwaremill.sttp.client4:async-http-client-backend-monix_3;com.softwaremill.sttp.client4;async-http-client-backend-monix_3
com.softwaremill.sttp.client4:async-http-client-backend-zio1_2.13;com.softwaremill.sttp.client4;async-http-client-backend-zio1_2.13
com.softwaremill.sttp.client4:async-http-client-backend-fs2-ce2_2.12;com.softwaremill.sttp.client4;async-http-client-backend-fs2-ce2_2.12
com.softwaremill.sttp.client4:async-http-client-backend-future_3;com.softwaremill.sttp.client4;async-http-client-backend-future_3
com.softwaremill.sttp.client4:async-http-client-backend-cats-ce2_2.12;com.softwaremill.sttp.client4;async-http-client-backend-cats-ce2_2.12
com.softwaremill.sttp.client4:async-http-client-backend-fs2-ce2_2.13;com.softwaremill.sttp.client4;async-http-client-backend-fs2-ce2_2.13
com.softwaremill.sttp.client4:async-http-client-backend_2.13;com.softwaremill.sttp.client4;async-http-client-backend_2.13
com.softwaremill.sttp.client4:async-http-client-backend-fs2_3;com.softwaremill.sttp.client4;async-http-client-backend-fs2_3
org.jboss.ws.plugins:jaxws-tools-maven-plugin;org.jboss.ws.plugins;jaxws-tools-maven-plugin
io.quarkiverse.githubaction:quarkus-github-action;io.quarkiverse.githubaction;quarkus-github-action
io.quarkiverse.githubaction:quarkus-github-action-testing;io.quarkiverse.githubaction;quarkus-github-action-testing
io.quarkiverse.githubaction:quarkus-github-action-deployment;io.quarkiverse.githubaction;quarkus-github-action-deployment
io.quarkiverse.githubaction:quarkus-github-action-parent;io.quarkiverse.githubaction;quarkus-github-action-parent
fish.focus.uvms.plugins.ais:ais-module;fish.focus.uvms.plugins.ais;ais-module
fish.focus.uvms.plugins.ais:ais-service;fish.focus.uvms.plugins.ais;ais-service
fish.focus.uvms.plugins.ais:ais-ra-rar;fish.focus.uvms.plugins.ais;ais-ra-rar
fish.focus.uvms.plugins.ais:ais-ra;fish.focus.uvms.plugins.ais;ais-ra
fish.focus.uvms.plugins.ais:ais;fish.focus.uvms.plugins.ais;ais
io.kokuwa.maven:maven-parent-reduced;io.kokuwa.maven;maven-parent-reduced
io.kokuwa.maven:maven-parent;io.kokuwa.maven;maven-parent
io.github.icodegarden:nursery-spring-cloud-starter-gateway;io.github.icodegarden;nursery-spring-cloud-starter-gateway
io.github.icodegarden:nursery-spring-cloud-dependencies;io.github.icodegarden;nursery-spring-cloud-dependencies
io.github.icodegarden:nursery-spring-boot-starter-shardingsphere;io.github.icodegarden;nursery-spring-boot-starter-shardingsphere
io.github.icodegarden:nursery-spring-boot-starter-redis-spring;io.github.icodegarden;nursery-spring-boot-starter-redis-spring
io.github.icodegarden:nursery-spring-boot-starter-redis-jedis;io.github.icodegarden;nursery-spring-boot-starter-redis-jedis
io.github.icodegarden:nursery-spring-boot-starter-hbase-aliyun;io.github.icodegarden;nursery-spring-boot-starter-hbase-aliyun
se.ade.kuri:kuri-processor;se.ade.kuri;kuri-processor
io.github.icodegarden:nursery-spring-boot-starter-elasticsearch-v7;io.github.icodegarden;nursery-spring-boot-starter-elasticsearch-v7
