com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
org.webjars.npm:alpinejs__ui;org.webjars.npm;alpinejs__ui
io.github.microsphere-projects:microsphere-spring-context;io.github.microsphere-projects;microsphere-spring-context
io.github.microsphere-projects:microsphere-spring-jdbc;io.github.microsphere-projects;microsphere-spring-jdbc
io.github.microsphere-projects:microsphere-spring-web;io.github.microsphere-projects;microsphere-spring-web
io.github.microsphere-projects:microsphere-spring-webmvc;io.github.microsphere-projects;microsphere-spring-webmvc
io.github.microsphere-projects:microsphere-spring-parent;io.github.microsphere-projects;microsphere-spring-parent
io.github.microsphere-projects:microsphere-spring-dependencies;io.github.microsphere-projects;microsphere-spring-dependencies
io.github.microsphere-projects:microsphere-spring-guice;io.github.microsphere-projects;microsphere-spring-guice
io.github.microsphere-projects:microsphere-spring-webflux;io.github.microsphere-projects;microsphere-spring-webflux
io.github.microsphere-projects:microsphere-spring;io.github.microsphere-projects;microsphere-spring
io.github.microsphere-projects:microsphere-spring-compatible;io.github.microsphere-projects;microsphere-spring-compatible
org.cryptomator:integrations-mac;org.cryptomator;integrations-mac
com.github.jamesnetherton:zulip-java-client;com.github.jamesnetherton;zulip-java-client
io.gitee.jinceon:simple-ppt-engine;io.gitee.jinceon;simple-ppt-engine
io.github.songyao1987:MinesecToolKit;io.github.songyao1987;MinesecToolKit
org.oxerr.jackson.module:jackson-module-jsr250;org.oxerr.jackson.module;jackson-module-jsr250
com.gitee.l0km:sql2java-redis;com.gitee.l0km;sql2java-redis
com.gitee.l0km:sql2java-pagehelper;com.gitee.l0km;sql2java-pagehelper
com.gitee.l0km:sql2java-observer-cli;com.gitee.l0km;sql2java-observer-cli
com.gitee.l0km:sql2java-observer;com.gitee.l0km;sql2java-observer
com.gitee.l0km:sql2java-maven-plugin;com.gitee.l0km;sql2java-maven-plugin
com.gitee.l0km:sql2java-manager;com.gitee.l0km;sql2java-manager
com.gitee.l0km:sql2java-store;com.gitee.l0km;sql2java-store
com.gitee.l0km:sql2java-generator;com.gitee.l0km;sql2java-generator
com.gitee.l0km:sql2java-excel;com.gitee.l0km;sql2java-excel
com.gitee.l0km:sql2java-base;com.gitee.l0km;sql2java-base
com.gitee.l0km:sql2java-velocity;com.gitee.l0km;sql2java-velocity
com.gitee.l0km:sql2java;com.gitee.l0km;sql2java
org.mybatis.caches:mybatis-redis;org.mybatis.caches;mybatis-redis
org.kie.j2cl.tools.di.ui:generator;org.kie.j2cl.tools.di.ui;generator
org.kie.j2cl.tools.di.ui:core;org.kie.j2cl.tools.di.ui;core
org.kie.j2cl.tools.di:processor;org.kie.j2cl.tools.di;processor
org.kie.j2cl.tools.di:core;org.kie.j2cl.tools.di;core
org.kie.j2cl.tools.di:annotations;org.kie.j2cl.tools.di;annotations
org.kie.j2cl.tools.di:bom;org.kie.j2cl.tools.di;bom
org.kie.j2cl.tools.di:internal-bom;org.kie.j2cl.tools.di;internal-bom
org.kie.j2cl.tools.processors:processors;org.kie.j2cl.tools.processors;processors
org.kie.j2cl.tools.processors:utils;org.kie.j2cl.tools.processors;utils
org.kie.j2cl.tools.processors:annotations;org.kie.j2cl.tools.processors;annotations
org.kie.j2cl.tools.processors:common;org.kie.j2cl.tools.processors;common
org.kie.j2cl.tools.processors:parent;org.kie.j2cl.tools.processors;parent
org.mvnpm.at.lit-labs:ssr-dom-shim;org.mvnpm.at.lit-labs;ssr-dom-shim
org.typelevel:kind-projector_2.13.16;org.typelevel;kind-projector_2.13.16
com.github.nscala-time:nscala-time_2.13;com.github.nscala-time;nscala-time_2.13
com.github.nscala-time:nscala-time_2.12;com.github.nscala-time;nscala-time_2.12
com.github.nscala-time:nscala-time_2.11;com.github.nscala-time;nscala-time_2.11
com.github.nscala-time:nscala-time_3;com.github.nscala-time;nscala-time_3
design.aem:cloning;design.aem;cloning
com.autonomousapps:kotlin-editor-relocated;com.autonomousapps;kotlin-editor-relocated
com.github.wnameless.spring:spring-paper-trail;com.github.wnameless.spring;spring-paper-trail
com.autonomousapps:antlr;com.autonomousapps;antlr
com.gartapar:orientexpress;com.gartapar;orientexpress
org.apache.beam:beam-sdks-java-io-kinesis-expansion-service;org.apache.beam;beam-sdks-java-io-kinesis-expansion-service
org.wartremover:wartremover_2.12.3;org.wartremover;wartremover_2.12.3
org.apache.beam:beam-sdks-java-io-kinesis;org.apache.beam;beam-sdks-java-io-kinesis
io.perfana:event-scheduler;io.perfana;event-scheduler
org.apache.beam:beam-sdks-java-io-amazon-web-services;org.apache.beam;beam-sdks-java-io-amazon-web-services
com.pixelduke:FXSkins;com.pixelduke;FXSkins
org.web3j:android-test-utils;org.web3j;android-test-utils
com.eygraber:uri-kmp-watchosx64;com.eygraber;uri-kmp-watchosx64
com.eygraber:uri-kmp-watchossimulatorarm64;com.eygraber;uri-kmp-watchossimulatorarm64
com.eygraber:uri-kmp-watchosdevicearm64;com.eygraber;uri-kmp-watchosdevicearm64
com.eygraber:uri-kmp-watchosarm64;com.eygraber;uri-kmp-watchosarm64
com.eygraber:uri-kmp-watchosarm32;com.eygraber;uri-kmp-watchosarm32
com.eygraber:uri-kmp-wasm-wasi;com.eygraber;uri-kmp-wasm-wasi
com.eygraber:uri-kmp-wasm-js;com.eygraber;uri-kmp-wasm-js
com.eygraber:uri-kmp-tvosx64;com.eygraber;uri-kmp-tvosx64
com.eygraber:uri-kmp-tvossimulatorarm64;com.eygraber;uri-kmp-tvossimulatorarm64
com.eygraber:uri-kmp-tvosarm64;com.eygraber;uri-kmp-tvosarm64
com.eygraber:uri-kmp-mingwx64;com.eygraber;uri-kmp-mingwx64
com.eygraber:uri-kmp-macosx64;com.eygraber;uri-kmp-macosx64
com.eygraber:uri-kmp-macosarm64;com.eygraber;uri-kmp-macosarm64
com.eygraber:uri-kmp-linuxx64;com.eygraber;uri-kmp-linuxx64
com.eygraber:uri-kmp-linuxarm64;com.eygraber;uri-kmp-linuxarm64
com.eygraber:uri-kmp;com.eygraber;uri-kmp
com.eygraber:uri-kmp-jvm;com.eygraber;uri-kmp-jvm
com.eygraber:uri-kmp-js;com.eygraber;uri-kmp-js
com.eygraber:uri-kmp-iosx64;com.eygraber;uri-kmp-iosx64
com.eygraber:uri-kmp-iossimulatorarm64;com.eygraber;uri-kmp-iossimulatorarm64
com.eygraber:uri-kmp-iosarm64;com.eygraber;uri-kmp-iosarm64
com.eygraber:uri-kmp-android;com.eygraber;uri-kmp-android
com.eygraber:uri-kmp-androidnativex86;com.eygraber;uri-kmp-androidnativex86
com.eygraber:uri-kmp-androidnativex64;com.eygraber;uri-kmp-androidnativex64
com.eygraber:uri-kmp-androidnativearm64;com.eygraber;uri-kmp-androidnativearm64
com.eygraber:uri-kmp-androidnativearm32;com.eygraber;uri-kmp-androidnativearm32
id.vouched.android:vouched-sdk;id.vouched.android;vouched-sdk
io.github.dfianthdl:dfhdl-plugin_3.5.2;io.github.dfianthdl;dfhdl-plugin_3.5.2
dev.romainguy:kotlin-math-watchosx64;dev.romainguy;kotlin-math-watchosx64
dev.romainguy:kotlin-math-watchossimulatorarm64;dev.romainguy;kotlin-math-watchossimulatorarm64
dev.romainguy:kotlin-math-watchosarm64;dev.romainguy;kotlin-math-watchosarm64
dev.romainguy:kotlin-math-mingwx64;dev.romainguy;kotlin-math-mingwx64
dev.romainguy:kotlin-math-macosx64;dev.romainguy;kotlin-math-macosx64
dev.romainguy:kotlin-math-macosarm64;dev.romainguy;kotlin-math-macosarm64
dev.romainguy:kotlin-math-linuxx64;dev.romainguy;kotlin-math-linuxx64
dev.romainguy:kotlin-math;dev.romainguy;kotlin-math
dev.romainguy:kotlin-math-jvm;dev.romainguy;kotlin-math-jvm
dev.romainguy:kotlin-math-js;dev.romainguy;kotlin-math-js
dev.romainguy:kotlin-math-iosx64;dev.romainguy;kotlin-math-iosx64
dev.romainguy:kotlin-math-iossimulatorarm64;dev.romainguy;kotlin-math-iossimulatorarm64
dev.romainguy:kotlin-math-iosarm64;dev.romainguy;kotlin-math-iosarm64
com.kuaishou:kbf-biz-scene-starter;com.kuaishou;kbf-biz-scene-starter
com.kuaishou:kbf-common-starter;com.kuaishou;kbf-common-starter
com.kuaishou:kbf-starters;com.kuaishou;kbf-starters
com.kuaishou:kbf-biz-scene-extension;com.kuaishou;kbf-biz-scene-extension
com.kuaishou:kbf-spring-extension;com.kuaishou;kbf-spring-extension
com.kuaishou:kbf-extension;com.kuaishou;kbf-extension
com.kuaishou:kbf-engine;com.kuaishou;kbf-engine
com.kuaishou:kbf-core;com.kuaishou;kbf-core
com.kuaishou:kwai-business-extension-framwork;com.kuaishou;kwai-business-extension-framwork
org.openrewrite.recipe:rewrite-recommendations;org.openrewrite.recipe;rewrite-recommendations
com.sendsafely:sendsafely-java-api;com.sendsafely;sendsafely-java-api
org.demoiselle.signer:chain-iti-homolog;org.demoiselle.signer;chain-iti-homolog
org.demoiselle.signer:policy-impl-pades;org.demoiselle.signer;policy-impl-pades
org.demoiselle.signer:policy-impl-xades;org.demoiselle.signer;policy-impl-xades
org.demoiselle.signer:policy-impl-cades;org.demoiselle.signer;policy-impl-cades
org.demoiselle.signer:signer-timestamp;org.demoiselle.signer;signer-timestamp
org.demoiselle.signer:chain-iti;org.demoiselle.signer;chain-iti
org.demoiselle.signer:policy-engine;org.demoiselle.signer;policy-engine
com.github.marlonlom:timeago;com.github.marlonlom;timeago
org.demoiselle.signer:chain-serpro-neosigner;org.demoiselle.signer;chain-serpro-neosigner
org.demoiselle.signer:chain-icp-brasil-homolog;org.demoiselle.signer;chain-icp-brasil-homolog
org.demoiselle.signer:chain-icp-brasil;org.demoiselle.signer;chain-icp-brasil
org.demoiselle.signer:signer-cryptography;org.demoiselle.signer;signer-cryptography
org.demoiselle.signer:signer-core;org.demoiselle.signer;signer-core
org.demoiselle.signer:parent;org.demoiselle.signer;parent
org.demoiselle.signer:bom;org.demoiselle.signer;bom
org.demoiselle.signer:build;org.demoiselle.signer;build
io.github.acoboh:query-filter-jpa-parent;io.github.acoboh;query-filter-jpa-parent
io.github.acoboh:query-filter-jpa-3;io.github.acoboh;query-filter-jpa-3
io.github.acoboh:query-filter-jpa;io.github.acoboh;query-filter-jpa
io.github.acoboh:query-filter-jpa-openapi-3;io.github.acoboh;query-filter-jpa-openapi-3
io.github.acoboh:query-filter-jpa-openapi;io.github.acoboh;query-filter-jpa-openapi
com.amazon.ion:ion-java-path-extraction;com.amazon.ion;ion-java-path-extraction
ch.epfl.lamp:steps_3;ch.epfl.lamp;steps_3
de.neuland-bfi:spring-pug4j;de.neuland-bfi;spring-pug4j
com.commercetools:fs2-queues-docs_3;com.commercetools;fs2-queues-docs_3
com.commercetools:fs2-queues-docs_2.13;com.commercetools;fs2-queues-docs_2.13
com.commercetools:fs2-queues-circe_3;com.commercetools;fs2-queues-circe_3
com.commercetools:fs2-queues-core_3;com.commercetools;fs2-queues-core_3
com.commercetools:fs2-queues-testing_3;com.commercetools;fs2-queues-testing_3
com.commercetools:fs2-queues-gcp-pubsub_3;com.commercetools;fs2-queues-gcp-pubsub_3
com.commercetools:fs2-queues-gcp-pubsub_2.13;com.commercetools;fs2-queues-gcp-pubsub_2.13
com.commercetools:fs2-queues-otel4s_3;com.commercetools;fs2-queues-otel4s_3
com.commercetools:fs2-queues-circe_2.13;com.commercetools;fs2-queues-circe_2.13
com.commercetools:fs2-queues-testing_2.13;com.commercetools;fs2-queues-testing_2.13
com.commercetools:fs2-queues-otel4s_2.13;com.commercetools;fs2-queues-otel4s_2.13
com.commercetools:fs2-queues-core_2.13;com.commercetools;fs2-queues-core_2.13
com.commercetools:fs2-queues-aws-sqs_3;com.commercetools;fs2-queues-aws-sqs_3
com.commercetools:fs2-queues-aws-sqs_2.13;com.commercetools;fs2-queues-aws-sqs_2.13
com.commercetools:fs2-queues-azure-service-bus_3;com.commercetools;fs2-queues-azure-service-bus_3
com.commercetools:fs2-queues-azure-service-bus_2.13;com.commercetools;fs2-queues-azure-service-bus_2.13
de.neuland-bfi:pug4j;de.neuland-bfi;pug4j
net.optionfactory.spring:oidc-authorization-code;net.optionfactory.spring;oidc-authorization-code
net.optionfactory.spring:authentication-token;net.optionfactory.spring;authentication-token
net.optionfactory.spring:feedback-web;net.optionfactory.spring;feedback-web
com.outr:scribe-rapid_3;com.outr;scribe-rapid_3
com.outr:scribe-rapid_2.13;com.outr;scribe-rapid_2.13
org.glassfish.jersey.bundles:jersey-examples;org.glassfish.jersey.bundles;jersey-examples
org.glassfish.jersey.bundles:apidocs;org.glassfish.jersey.bundles;apidocs
org.glassfish.jersey:jersey-documentation;org.glassfish.jersey;jersey-documentation
org.glassfish.jersey.test-framework.maven:custom-enforcer-rules;org.glassfish.jersey.test-framework.maven;custom-enforcer-rules
org.glassfish.jersey.bundles:project;org.glassfish.jersey.bundles;project
org.glassfish.jersey.examples:xml-moxy;org.glassfish.jersey.examples;xml-moxy
org.glassfish.jersey.examples:system-properties-example;org.glassfish.jersey.examples;system-properties-example
org.glassfish.jersey.examples:sse-twitter-aggregator;org.glassfish.jersey.examples;sse-twitter-aggregator
org.glassfish.jersey.examples:sse-item-store-jaxrs-webapp;org.glassfish.jersey.examples;sse-item-store-jaxrs-webapp
org.glassfish.jersey.examples:sse-item-store-jersey-webapp;org.glassfish.jersey.examples;sse-item-store-jersey-webapp
org.glassfish.jersey.examples:simple-console;org.glassfish.jersey.examples;simple-console
org.glassfish.jersey.examples:servlet3-webapp;org.glassfish.jersey.examples;servlet3-webapp
org.glassfish.jersey.examples:server-sent-events-jaxrs;org.glassfish.jersey.examples;server-sent-events-jaxrs
org.glassfish.jersey.examples:server-async-standalone-webapp;org.glassfish.jersey.examples;server-async-standalone-webapp
org.glassfish.jersey.examples:server-async-standalone-client;org.glassfish.jersey.examples;server-async-standalone-client
org.glassfish.jersey.examples:server-async-standalone;org.glassfish.jersey.examples;server-async-standalone
org.glassfish.jersey.examples:server-async-managed;org.glassfish.jersey.examples;server-async-managed
org.glassfish.jersey.examples:server-async;org.glassfish.jersey.examples;server-async
org.glassfish.jersey.examples:rx-client-webapp;org.glassfish.jersey.examples;rx-client-webapp
org.glassfish.jersey.examples:rest31-sebootstrap-multipart;org.glassfish.jersey.examples;rest31-sebootstrap-multipart
org.glassfish.jersey.examples:reload;org.glassfish.jersey.examples;reload
org.glassfish.jersey.examples:oauth-client-twitter;org.glassfish.jersey.examples;oauth-client-twitter
org.glassfish.jersey.examples.osgi-helloworld-webapp:functional-test;org.glassfish.jersey.examples.osgi-helloworld-webapp;functional-test
org.glassfish.jersey.examples.osgi-helloworld-webapp:war-bundle;org.glassfish.jersey.examples.osgi-helloworld-webapp;war-bundle
org.glassfish.jersey.examples.osgi-helloworld-webapp:alternate-version-bundle;org.glassfish.jersey.examples.osgi-helloworld-webapp;alternate-version-bundle
org.glassfish.jersey.examples.osgi-helloworld-webapp:additional-bundle;org.glassfish.jersey.examples.osgi-helloworld-webapp;additional-bundle
org.glassfish.jersey.examples.osgi-helloworld-webapp:lib-bundle;org.glassfish.jersey.examples.osgi-helloworld-webapp;lib-bundle
org.glassfish.jersey.examples:osgi-helloworld-webapp;org.glassfish.jersey.examples;osgi-helloworld-webapp
org.glassfish.jersey.examples:open-tracing;org.glassfish.jersey.examples;open-tracing
org.glassfish.jersey.examples:jersey-micrometer-webapp;org.glassfish.jersey.examples;jersey-micrometer-webapp
org.glassfish.jersey.examples:multipart-webapp;org.glassfish.jersey.examples;multipart-webapp
org.glassfish.jersey.examples:managed-client-simple-webapp;org.glassfish.jersey.examples;managed-client-simple-webapp
org.glassfish.jersey.examples:managed-client-webapp;org.glassfish.jersey.examples;managed-client-webapp
org.glassfish.jersey.examples:managed-client;org.glassfish.jersey.examples;managed-client
org.glassfish.jersey.examples:json-with-padding;org.glassfish.jersey.examples;json-with-padding
org.glassfish.jersey.examples:json-processing-webapp;org.glassfish.jersey.examples;json-processing-webapp
org.glassfish.jersey.examples:json-moxy;org.glassfish.jersey.examples;json-moxy
org.glassfish.jersey.examples:json-jettison;org.glassfish.jersey.examples;json-jettison
org.glassfish.jersey.examples:json-jackson;org.glassfish.jersey.examples;json-jackson
org.glassfish.jersey.examples:json-binding-webapp;org.glassfish.jersey.examples;json-binding-webapp
org.glassfish.jersey.examples:jersey-ejb;org.glassfish.jersey.examples;jersey-ejb
org.glassfish.jersey.examples:jaxrs-types-injection;org.glassfish.jersey.examples;jaxrs-types-injection
org.glassfish.jersey.examples:jaxb;org.glassfish.jersey.examples;jaxb
org.glassfish.jersey.examples:java8-webapp;org.glassfish.jersey.examples;java8-webapp
org.glassfish.jersey.examples:https-server-glassfish;org.glassfish.jersey.examples;https-server-glassfish
org.glassfish.jersey.examples:https-clientserver-grizzly;org.glassfish.jersey.examples;https-clientserver-grizzly
org.glassfish.jersey.examples:http-trace;org.glassfish.jersey.examples;http-trace
org.glassfish.jersey.examples:http-patch;org.glassfish.jersey.examples;http-patch
org.glassfish.jersey.examples:helloworld-weld;org.glassfish.jersey.examples;helloworld-weld
org.glassfish.jersey.examples:helloworld-spring-annotations;org.glassfish.jersey.examples;helloworld-spring-annotations
org.glassfish.jersey.examples:helloworld-spring-webapp;org.glassfish.jersey.examples;helloworld-spring-webapp
org.glassfish.jersey.examples:helloworld-pure-jax-rs;org.glassfish.jersey.examples;helloworld-pure-jax-rs
org.glassfish.jersey.examples:helloworld-programmatic;org.glassfish.jersey.examples;helloworld-programmatic
org.glassfish.jersey.examples:helloworld-netty;org.glassfish.jersey.examples;helloworld-netty
org.glassfish.jersey.examples:helloworld-cdi2-se;org.glassfish.jersey.examples;helloworld-cdi2-se
org.glassfish.jersey.examples:helloworld-benchmark;org.glassfish.jersey.examples;helloworld-benchmark
org.glassfish.jersey.examples:helloworld;org.glassfish.jersey.examples;helloworld
org.glassfish.jersey.examples:groovy;org.glassfish.jersey.examples;groovy
org.glassfish.jersey.examples:freemarker-webapp;org.glassfish.jersey.examples;freemarker-webapp
org.glassfish.jersey.examples:exception-mapping;org.glassfish.jersey.examples;exception-mapping
org.glassfish.jersey.examples:extended-wadl-webapp;org.glassfish.jersey.examples;extended-wadl-webapp
org.glassfish.jersey.examples:entity-filtering-security;org.glassfish.jersey.examples;entity-filtering-security
org.glassfish.jersey.examples:entity-filtering-selectable;org.glassfish.jersey.examples;entity-filtering-selectable
org.glassfish.jersey.examples:entity-filtering;org.glassfish.jersey.examples;entity-filtering
org.glassfish.jersey.examples:declarative-linking;org.glassfish.jersey.examples;declarative-linking
org.glassfish.jersey.examples:configured-client;org.glassfish.jersey.examples;configured-client
org.glassfish.jersey.examples:clipboard-programmatic;org.glassfish.jersey.examples;clipboard-programmatic
org.glassfish.jersey.examples:clipboard;org.glassfish.jersey.examples;clipboard
org.glassfish.jersey.examples:cdi-webapp;org.glassfish.jersey.examples;cdi-webapp
org.glassfish.jersey.examples:bookstore-webapp;org.glassfish.jersey.examples;bookstore-webapp
org.glassfish.jersey.examples:bookmark-em;org.glassfish.jersey.examples;bookmark-em
org.glassfish.jersey.examples:bookmark;org.glassfish.jersey.examples;bookmark
org.glassfish.jersey.examples:assemblies;org.glassfish.jersey.examples;assemblies
de.codecentric:chaos-monkey-spring-boot;de.codecentric;chaos-monkey-spring-boot
de.taimos:dvalin-dynamodb;de.taimos;dvalin-dynamodb
de.taimos:dvalin-notification-aws;de.taimos;dvalin-notification-aws
de.taimos:dvalin-archetype-docker;de.taimos;dvalin-archetype-docker
de.taimos:dvalin-template-velocity;de.taimos;dvalin-template-velocity
de.taimos:dvalin-i18n;de.taimos;dvalin-i18n
de.taimos:dvalin-test;de.taimos;dvalin-test
de.taimos:dvalin-interconnect-core;de.taimos;dvalin-interconnect-core
de.taimos:interconnect-maven-plugin;de.taimos;interconnect-maven-plugin
de.taimos:dvalin-orchestration-etcd;de.taimos;dvalin-orchestration-etcd
de.taimos:dvalin-interconnect-test-legacy;de.taimos;dvalin-interconnect-test-legacy
de.taimos:dvalin-template-parent;de.taimos;dvalin-template-parent
de.taimos:dvalin-archetype-parent;de.taimos;dvalin-archetype-parent
de.taimos:dvalin-interconnect-core-legacy;de.taimos;dvalin-interconnect-core-legacy
de.taimos:dvalin-jaxrs-swagger;de.taimos;dvalin-jaxrs-swagger
de.taimos:dvalin-parent;de.taimos;dvalin-parent
de.taimos:dvalin-orchestration-parent;de.taimos;dvalin-orchestration-parent
de.taimos:dvalin-jms-test;de.taimos;dvalin-jms-test
de.taimos:dvalin-cloud-aws-ssm;de.taimos;dvalin-cloud-aws-ssm
de.taimos:dvalin-cluster-parent;de.taimos;dvalin-cluster-parent
de.taimos:dvalin-cloud-aws;de.taimos;dvalin-cloud-aws
de.taimos:dvalin-jaxrs;de.taimos;dvalin-jaxrs
de.taimos:dvalin-orchestration-core;de.taimos;dvalin-orchestration-core
de.taimos:dvalin-jms-core;de.taimos;dvalin-jms-core
de.taimos:dvalin-monitoring-core;de.taimos;dvalin-monitoring-core
de.taimos:dvalin-notification-parent;de.taimos;dvalin-notification-parent
de.taimos:dvalin-archetype-basic;de.taimos;dvalin-archetype-basic
de.taimos:dvalin-mongodb-legacy;de.taimos;dvalin-mongodb-legacy
de.taimos:dvalin-monitoring-aws;de.taimos;dvalin-monitoring-aws
de.taimos:dvalin-interconnect-metamodel;de.taimos;dvalin-interconnect-metamodel
de.taimos:dvalin-monitoring-parent;de.taimos;dvalin-monitoring-parent
de.taimos:dvalin-jms-activemq-classic;de.taimos;dvalin-jms-activemq-classic
de.taimos:dvalin-notification-core;de.taimos;dvalin-notification-core
de.taimos:dvalin-template-xdocreport;de.taimos;dvalin-template-xdocreport
de.taimos:dvalin-interconnect-model;de.taimos;dvalin-interconnect-model
de.taimos:dvalin-interconnect-parent;de.taimos;dvalin-interconnect-parent
de.taimos:dvalin-mongodb;de.taimos;dvalin-mongodb
de.taimos:dvalin-jms-parent;de.taimos;dvalin-jms-parent
de.taimos:dvalin-jpa;de.taimos;dvalin-jpa
de.taimos:dvalin-cluster-hazelcast;de.taimos;dvalin-cluster-hazelcast
de.taimos:dvalin-monitoring-logging;de.taimos;dvalin-monitoring-logging
de.taimos:dvalin-daemon;de.taimos;dvalin-daemon
de.taimos:dvalin-jaxrs-jwtauth;de.taimos;dvalin-jaxrs-jwtauth
de.taimos:dvalin-cloud-parent;de.taimos;dvalin-cloud-parent
org.glassfish.jersey.test-framework.maven:container-runner-maven-plugin;org.glassfish.jersey.test-framework.maven;container-runner-maven-plugin
org.glassfish.jersey.test-framework.maven:project;org.glassfish.jersey.test-framework.maven;project
org.glassfish.jersey.examples:helloworld-webapp;org.glassfish.jersey.examples;helloworld-webapp
org.glassfish.jersey.examples:webapp-example-parent;org.glassfish.jersey.examples;webapp-example-parent
org.glassfish.jersey.test-framework:memleak-test-common;org.glassfish.jersey.test-framework;memleak-test-common
org.glassfish.jersey.examples:server-sent-events-jersey;org.glassfish.jersey.examples;server-sent-events-jersey
org.glassfish.jersey.examples:project;org.glassfish.jersey.examples;project
org.glassfish.jersey.test-framework:jersey-test-framework-util;org.glassfish.jersey.test-framework;jersey-test-framework-util
org.glassfish.jersey.security:oauth2-client;org.glassfish.jersey.security;oauth2-client
org.glassfish.jersey.security:oauth1-server;org.glassfish.jersey.security;oauth1-server
org.glassfish.jersey.security:oauth1-client;org.glassfish.jersey.security;oauth1-client
org.glassfish.jersey.security:oauth1-signature;org.glassfish.jersey.security;oauth1-signature
org.glassfish.jersey.security:project;org.glassfish.jersey.security;project
org.glassfish.jersey.media:jersey-media-multipart;org.glassfish.jersey.media;jersey-media-multipart
org.glassfish.jersey.media:jersey-media-moxy;org.glassfish.jersey.media;jersey-media-moxy
org.glassfish.jersey.media:jersey-media-json-processing;org.glassfish.jersey.media;jersey-media-json-processing
org.glassfish.jersey.media:jersey-media-json-jettison;org.glassfish.jersey.media;jersey-media-json-jettison
org.glassfish.jersey.media:jersey-media-json-gson;org.glassfish.jersey.media;jersey-media-json-gson
org.glassfish.jersey.inject:jersey-cdi2-se;org.glassfish.jersey.inject;jersey-cdi2-se
org.glassfish.jersey.media:html-json;org.glassfish.jersey.media;html-json
org.glassfish.jersey.incubator:jersey-open-tracing;org.glassfish.jersey.incubator;jersey-open-tracing
org.glassfish.jersey.media:jersey-media-kryo;org.glassfish.jersey.media;jersey-media-kryo
org.glassfish.jersey.incubator:jersey-injectless-client;org.glassfish.jersey.incubator;jersey-injectless-client
org.glassfish.jersey.incubator:jersey-gae-integration;org.glassfish.jersey.incubator;jersey-gae-integration
de.fraunhofer.aisec:cpg;de.fraunhofer.aisec;cpg
org.glassfish.jersey.ext:jersey-declarative-linking;org.glassfish.jersey.ext;jersey-declarative-linking
org.glassfish.jersey.incubator:jersey-cdi-inject-weld;org.glassfish.jersey.incubator;jersey-cdi-inject-weld
org.glassfish.jersey.incubator:project;org.glassfish.jersey.incubator;project
org.glassfish.jersey.ext.microprofile:jersey-mp-config;org.glassfish.jersey.ext.microprofile;jersey-mp-config
org.glassfish.jersey.ext.microprofile:jersey-mp-rest-client;org.glassfish.jersey.ext.microprofile;jersey-mp-rest-client
org.glassfish.jersey.ext.microprofile:project;org.glassfish.jersey.ext.microprofile;project
org.glassfish.jersey.media:jersey-media-json-binding;org.glassfish.jersey.media;jersey-media-json-binding
org.glassfish.jersey.ext:jersey-wadl-doclet;org.glassfish.jersey.ext;jersey-wadl-doclet
org.glassfish.jersey.ext:jersey-spring6;org.glassfish.jersey.ext;jersey-spring6
org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava2;org.glassfish.jersey.ext.rx;jersey-rx-client-rxjava2
org.glassfish.jersey.ext.rx:jersey-rx-client-rxjava;org.glassfish.jersey.ext.rx;jersey-rx-client-rxjava
org.glassfish.jersey.ext.rx:jersey-rx-client-guava;org.glassfish.jersey.ext.rx;jersey-rx-client-guava
org.glassfish.jersey.ext.rx:project;org.glassfish.jersey.ext.rx;project
org.glassfish.jersey.ext:jersey-proxy-client;org.glassfish.jersey.ext;jersey-proxy-client
org.glassfish.jersey.ext:jersey-mvc-thymeleaf;org.glassfish.jersey.ext;jersey-mvc-thymeleaf
org.glassfish.jersey.ext:jersey-mvc-mustache;org.glassfish.jersey.ext;jersey-mvc-mustache
org.glassfish.jersey.ext:jersey-mvc-jsp;org.glassfish.jersey.ext;jersey-mvc-jsp
org.glassfish.jersey.ext:jersey-mvc-freemarker;org.glassfish.jersey.ext;jersey-mvc-freemarker
org.glassfish.jersey.ext:jersey-mvc-bean-validation;org.glassfish.jersey.ext;jersey-mvc-bean-validation
org.glassfish.jersey.ext:jersey-mvc;org.glassfish.jersey.ext;jersey-mvc
org.glassfish.jersey.ext:jersey-micrometer;org.glassfish.jersey.ext;jersey-micrometer
org.glassfish.jersey.ext:jersey-metainf-services;org.glassfish.jersey.ext;jersey-metainf-services
org.glassfish.jersey.ext.cdi:jersey-weld2-se;org.glassfish.jersey.ext.cdi;jersey-weld2-se
org.glassfish.jersey.ext.cdi:jersey-cdi1x-validation;org.glassfish.jersey.ext.cdi;jersey-cdi1x-validation
org.glassfish.jersey.ext.cdi:jersey-cdi1x-transaction;org.glassfish.jersey.ext.cdi;jersey-cdi1x-transaction
org.glassfish.jersey.ext.cdi:jersey-cdi1x-servlet;org.glassfish.jersey.ext.cdi;jersey-cdi1x-servlet
org.glassfish.jersey.ext.cdi:jersey-cdi-rs-inject;org.glassfish.jersey.ext.cdi;jersey-cdi-rs-inject
org.glassfish.jersey.ext.cdi:jersey-cdi1x-ban-custom-hk2-binding;org.glassfish.jersey.ext.cdi;jersey-cdi1x-ban-custom-hk2-binding
org.glassfish.jersey.ext:jersey-bean-validation;org.glassfish.jersey.ext;jersey-bean-validation
